root,geom,btag,horizon,M,estimator,lam,var_log_rv,in_unit,n_windows,mean_eff_M,share_full_M
NQ,RTH,B0,30min,5,E2,1.026990861334638,2.1287262213323292,False,22812,4.9997808171138,0.9998684902682798
NQ,RTH,B0,30min,5,E4,0.9994473912761087,2.1287262213323292,True,22812,4.9997808171138,0.9998684902682798
NQ,RTH,B0,30min,6,E2,0.7586559482866004,2.0228871089574083,True,22812,5.99973698053656,0.9998684902682798
NQ,RTH,B0,30min,6,E4,0.9969398600655783,2.0228871089574083,True,22812,5.99973698053656,0.9998684902682798
NQ,RTH,B0,30min,10,E2,0.8508392215038726,1.8345025886879487,True,22812,9.99947396107312,0.9998246536910398
NQ,RTH,B0,30min,10,E4,0.9127900521811058,1.8345025886879487,True,22812,9.99947396107312,0.9998246536910398
NQ,RTH,B0,30min,15,E2,0.8920178499081837,1.7209164536623864,True,22812,14.999123268455198,0.9998246536910398
NQ,RTH,B0,30min,15,E4,0.9330153710379877,1.7209164536623864,True,22812,14.999123268455198,0.9998246536910398
NQ,RTH,B0,30min,30,E2,0.926678286455522,1.581459570379477,True,22812,29.998071190601436,0.9998246536910398
NQ,RTH,B0,30min,30,E4,0.9606047460549625,1.581459570379477,True,22812,29.998071190601436,0.9998246536910398
NQ,RTH,B1,1day,5,E2,0.6209129301298665,1.829057875616709,True,1901,5.0,1.0
NQ,RTH,B1,1day,5,E4,0.8738080671014525,1.829057875616709,True,1901,5.0,1.0
NQ,RTH,B1,1day,6,E2,0.6995618886199811,1.6686856049236658,True,1901,6.0,1.0
NQ,RTH,B1,1day,6,E4,0.8595891891521094,1.6686856049236658,True,1901,6.0,1.0
NQ,RTH,B1,1day,10,E2,0.7776223299810816,1.4545083766691576,True,1901,10.0,1.0
NQ,RTH,B1,1day,10,E4,0.889741003300674,1.4545083766691576,True,1901,10.0,1.0
NQ,RTH,B1,1day,13,E2,0.7958158177144552,1.3364855446170083,True,1901,13.0,1.0
NQ,RTH,B1,1day,13,E4,0.8997271610369526,1.3364855446170083,True,1901,13.0,1.0
NQ,RTH,B1,1day,26,E2,0.8611460461543524,1.2108957402637766,True,1901,26.0,1.0
NQ,RTH,B1,1day,26,E4,0.9384970693577793,1.2108957402637766,True,1901,26.0,1.0
NQ,RTH,B1,1day,78,E2,0.9103359256522467,1.139477312048904,True,1901,77.99684376643872,0.9984218832193582
NQ,RTH,B1,1day,78,E4,0.9764399715505667,1.139477312048904,True,1901,77.99684376643872,0.9984218832193582
NQ,RTH,B1,1day,195,E2,0.9319654593142096,1.0875629267884028,True,1901,194.98947922146237,0.9984218832193582
NQ,RTH,B1,1day,195,E4,0.9896827294335296,1.0875629267884028,True,1901,194.98947922146237,0.9984218832193582
NQ,RTH,B1,1day,389,E2,0.9354902943015015,1.0533897866525956,True,1901,388.97685428721724,0.9984218832193582
NQ,RTH,B1,1day,389,E4,0.9946420674959459,1.0533897866525956,True,1901,388.97685428721724,0.9984218832193582
NQ,RTH,B1,1h,4,E2,0.8298242199637966,2.2264862610953573,True,11406,4.0,1.0
NQ,RTH,B1,1h,4,E4,0.9988229853303163,2.2264862610953573,True,11406,4.0,1.0
NQ,RTH,B1,1h,5,E2,0.7976208676177797,2.0622287427979322,True,11406,5.0,1.0
NQ,RTH,B1,1h,5,E4,0.998240026338354,2.0622287427979322,True,11406,5.0,1.0
NQ,RTH,B1,1h,6,E2,0.7724446442772913,1.9800747414262503,True,11406,5.99982465369104,0.9998246536910398
NQ,RTH,B1,1h,6,E4,0.887325241227482,1.9800747414262503,True,11406,5.99982465369104,0.9998246536910398
NQ,RTH,B1,1h,10,E2,0.8471966832148821,1.7937918426167916,True,11406,9.9995616342276,0.9997369805365597
NQ,RTH,B1,1h,10,E4,0.9108712143185751,1.7937918426167916,True,11406,9.9995616342276,0.9997369805365597
NQ,RTH,B1,1h,12,E2,0.8633743488211745,1.7446494154728054,True,11406,11.99947396107312,0.9997369805365597
NQ,RTH,B1,1h,12,E4,0.9210240074844556,1.7446494154728054,True,11406,11.99947396107312,0.9997369805365597
NQ,RTH,B1,1h,15,E2,0.8755181302961506,1.6863651360685346,True,11406,14.99929861476416,0.9997369805365597
NQ,RTH,B1,1h,15,E4,0.9313696370691738,1.6863651360685346,True,11406,14.99929861476416,0.9997369805365597
NQ,RTH,B1,1h,20,E2,0.9018225863386671,1.6479888301248116,True,11406,19.99894792214624,0.9997369805365597
NQ,RTH,B1,1h,20,E4,0.9453831724022639,1.6479888301248116,True,11406,19.99894792214624,0.9997369805365597
NQ,RTH,B1,1h,30,E2,0.919723339055273,1.5823829340890303,True,11406,29.998246536910397,0.9997369805365597
NQ,RTH,B1,1h,30,E4,0.9604070320053256,1.5823829340890303,True,11406,29.998246536910397,0.9997369805365597
NQ,RTH,B1,1h,60,E2,0.9378998453073689,1.4887492060386187,True,11406,59.99614238120287,0.9997369805365597
