cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
NQ/RTH/B0/1day,1445,True,-1.4777512337144185,0.3274966990810392,0.5569894424668766,0.3917690369596891,1.0622244632195144,-0.19779551404384998,0.08138908574430431,-1.4905672604507876,0.9191445106243538
NQ/RTH/B0/1day,1508,True,-1.1168030506228095,0.32898818545381664,0.5785313956564468,0.022428652062843668,1.0262596108413247,-0.19259284877253036,0.08057935980418918,-1.4852230592871045,0.9227115904196903
NQ/RTH/B0/1day,1571,True,-1.035116534249976,0.33389797217577455,0.5796618996945555,0.019629278359261024,1.0256497707336494,-0.1872651660466293,0.07952088124433684,-1.4781043985326434,0.928428066700527
NQ/RTH/B0/1day,1634,True,-1.0170172490619627,0.34378691377954607,0.5714938210369294,0.02405325252247302,1.0270224481347476,-0.1835441014408124,0.08209404813236808,-1.488061964220151,0.9307238969547746
NQ/RTH/B0/1day,1697,True,-1.0620165110175763,0.3572476975886478,0.5563088237715387,0.10148818017290175,1.0355872826920955,-0.17477664601815943,0.08576170476308642,-1.4825761190089155,0.9333540407358514
NQ/RTH/B0/1day,1760,True,-1.064490480936902,0.3583828627899266,0.5554359398005682,0.0843413644117275,1.0332867727187312,-0.17603207563821838,0.08515624188357258,-1.4903418607439471,0.9323074724784511
NQ/RTH/B0/1day,1823,True,-1.0636399106076473,0.3618970276562474,0.5520975424707909,0.07964813686999615,1.0333424988472086,-0.17566774859239143,0.08214835337828955,-1.5049246006406036,0.9324028818004174
NQ/RTH/B0/1day,1886,True,-1.0702993511222025,0.36328516962339596,0.5508935304632411,0.08258566045167891,1.0329537502910955,-0.1738392564695478,0.0819019254638853,-1.5273791193483184,0.9323327079265027
ES/RTH/B0/1h,500,True,-0.7794494390250523,0.15039487884276886,0.7871894050891974,-1.4359459807962862,0.8833898492957768,-0.05516110905474858,0.07934871279034336,-1.3685647622969996,0.8457900087717471
ES/RTH/B0/1h,878,True,-3.258657691320172,0.23611324380816145,0.5512798845809486,1.8571511274535488,1.1640814744672274,-0.02722131964306493,0.08074077094169232,-1.343236151579262,0.877847944695275
ES/RTH/B0/1h,1256,True,-2.8075728419558796,0.26786845348103094,0.5588846321941817,0.9540080548733216,1.0859560327918218,-0.04805483134996426,0.08568952868861329,-1.2872446128445794,0.874792591446941
ES/RTH/B0/1h,1634,True,-2.649125515187536,0.2914009205351955,0.553597263821936,0.7849643492533838,1.0692313367901725,-0.052810487758152405,0.08766074130973167,-1.2996408853620554,0.8833244629749059
ES/RTH/B0/1h,2012,True,-2.486407373505374,0.32383172786731734,0.5389301902744201,0.5638121276621558,1.0499388100648779,-0.05132266613972245,0.08817678535461085,-1.3272867333720275,0.8896754505520803
ES/RTH/B0/1h,2390,True,-2.741460143069502,0.3249590171329139,0.5257879185686996,0.8562484812549992,1.0725048601113412,-0.05903402583174581,0.0870266758275992,-1.293937792854105,0.8888691151856702
ES/RTH/B0/1h,2768,True,-1.9888673459655124,0.3061845417563894,0.5834687129859373,-0.06277357141984011,0.9984520892077909,-0.06284265420216692,0.08276051172718527,-1.2704679090592075,0.8887500972245794
ES/RTH/B0/1h,3146,True,-1.9362096392030486,0.31961282500268107,0.5748627907821472,0.19288992524655527,1.018139753163707,-0.06378462356787137,0.08693760105578185,-1.2608116277072763,0.9049034849126162
ES/RTH/B0/1h,3524,True,-1.8506518953502245,0.2983012526599118,0.5971789104156499,0.16103514637048943,1.0153552354576867,-0.06908191722702788,0.08807339261424453,-1.273383510063323,0.9046499858553587
ES/RTH/B0/1h,3902,True,-2.003361696811371,0.27665218147986115,0.606578343843431,0.17979425447752365,1.0175194913474994,-0.06724744854120182,0.09144663150059536,-1.2705710394925882,0.8938574693698377
ES/RTH/B0/1h,4280,True,-1.5651433035819857,0.3106555820188227,0.600304994921761,0.10058127799339228,1.0124480022800078,-0.06825017362078262,0.093337410296239,-1.269981274744329,0.9184331748860699
ES/RTH/B0/1h,4658,True,-1.6225957035454235,0.27908559448697356,0.624649799704751,0.0158277284009445,1.0052860468076963,-0.06687984108689904,0.09466742259123977,-1.2523447088745283,0.907037322271382
ES/RTH/B0/1h,5036,True,-1.732857308608295,0.24700443493543336,0.6451780798596967,0.014976008756081226,1.0061655478430187,-0.06668320624596735,0.09939013058070059,-1.2418858641421648,0.8961603911137719
ES/RTH/B0/1h,5414,True,-1.695532544348161,0.23016722560079417,0.6608255875769998,-0.16748453632865204,0.9927273656223006,-0.07609512087095038,0.10183343343734101,-1.2066164153272045,0.8861868702919181
ES/RTH/B0/1h,5792,True,-2.2922684682742682,0.21914770679043846,0.6322089201349386,0.4454073954127152,1.0437797934213942,-0.07364984606906783,0.0992453690671475,-1.1693584053546184,0.8790346028480474
ES/RTH/B0/1h,6170,True,-1.9845584035426675,0.2724709380311813,0.6058705167075357,0.6938360830312649,1.064045051586959,-0.06831329431786211,0.10190456522203555,-1.1487787250509163,0.9171444632362686
