test,cell,model,result,message
assert_loss_finite,ES_GLOBEX_B1_1h/S-A,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_1h/S-A: 113 non-finite of 9821 entries (shape (1403, 7)); by model: M1_EWMA=15, M2_HAR=15, M3_HARJ=15, M4_HARQ=15, M5_RGARCH=16, M6_PARK=22, M6_GK=15"
assert_loss_finite,ES_GLOBEX_B1_1h/S-B_q0.80,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1h/S-C_q0.80,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_1h/S-C_q0.80: 23 non-finite of 1967 entries (shape (281, 7)); by model: M1_EWMA=3, M2_HAR=3, M3_HARJ=3, M4_HARQ=3, M5_RGARCH=4, M6_PARK=4, M6_GK=3"
assert_loss_finite,ES_GLOBEX_B1_1h/S-B_q0.90,,PASS,
assert_loss_finite,ES_GLOBEX_B1_1h/S-C_q0.90,,PASS,
assert_loss_finite,ES_GLOBEX_B1_30min/S-A,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_30min/S-A: 71866 non-finite of 556766 entries (shape (79538, 7)); by model: M1_EWMA=399, M2_HAR=399, M3_HARJ=399, M4_HARQ=399, M5_RGARCH=69413, M6_PARK=458, M6_GK=399"
assert_loss_finite,ES_GLOBEX_B1_30min/S-B_q0.80,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_30min/S-B_q0.80: 13939 non-finite of 111356 entries (shape (15908, 7)); by model: M5_RGARCH=13929, M6_PARK=10"
assert_loss_finite,ES_GLOBEX_B1_30min/S-C_q0.80,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_30min/S-C_q0.80: 14417 non-finite of 111356 entries (shape (15908, 7)); by model: M1_EWMA=51, M2_HAR=51, M3_HARJ=51, M4_HARQ=51, M5_RGARCH=14103, M6_PARK=59, M6_GK=51"
assert_loss_finite,ES_GLOBEX_B1_30min/S-B_q0.90,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_30min/S-B_q0.90: 6939 non-finite of 55678 entries (shape (7954, 7)); by model: M5_RGARCH=6930, M6_PARK=9"
assert_loss_finite,ES_GLOBEX_B1_30min/S-C_q0.90,,FAIL,"[assert_loss_finite] cell=ES_GLOBEX_B1_30min/S-C_q0.90: 7315 non-finite of 55678 entries (shape (7954, 7)); by model: M1_EWMA=42, M2_HAR=42, M3_HARJ=42, M4_HARQ=42, M5_RGARCH=7056, M6_PARK=49, M6_GK=42"
assert_loss_finite,ES_RTH_B0_1day/S-A,,PASS,
assert_loss_finite,ES_RTH_B0_1day/S-B_q0.80,,PASS,
assert_loss_finite,ES_RTH_B0_1day/S-C_q0.80,,PASS,
assert_loss_finite,ES_RTH_B0_1day/S-B_q0.90,,PASS,
assert_loss_finite,ES_RTH_B0_1day/S-C_q0.90,,PASS,
assert_loss_finite,ES_RTH_B0_1h/S-A,,PASS,
assert_loss_finite,ES_RTH_B0_1h/S-B_q0.80,,PASS,
assert_loss_finite,ES_RTH_B0_1h/S-C_q0.80,,PASS,
assert_loss_finite,ES_RTH_B0_1h/S-B_q0.90,,PASS,
assert_loss_finite,ES_RTH_B0_1h/S-C_q0.90,,PASS,
assert_loss_finite,ES_RTH_B0_30min/S-A,,PASS,
assert_loss_finite,ES_RTH_B0_30min/S-B_q0.80,,PASS,
assert_loss_finite,ES_RTH_B0_30min/S-C_q0.80,,PASS,
