cell_id,root,geom,btag,horizon,scheme,n_obs,n_distinct_75,modal_75,modal_freq_75,n_distinct_90,modal_90,modal_freq_90,all_75,all_90,elapsed_s,s05_75_in_seed_set,s05_90_in_seed_set,s05_mcs75,s05_mcs90
ES/RTH/B1/30min/S-C_q0.90,ES,RTH,B1,30min,S-C_q0.90,2232,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",6.6,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ/GLOBEX/B0/1day/S-B_q0.80,NQ,GLOBEX,B0,1day,S-B_q0.80,290,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",3.2,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ/GLOBEX/B0/1day/S-B_q0.90,NQ,GLOBEX,B0,1day,S-B_q0.90,145,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.7,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ/GLOBEX/B0/1day/S-C_q0.80,NQ,GLOBEX,B0,1day,S-C_q0.80,290,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.9,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ/GLOBEX/B0/1day/S-C_q0.90,NQ,GLOBEX,B0,1day,S-C_q0.90,145,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ|M6_PARK""]",2.2,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK
NQ/GLOBEX/B0/1h/S-B_q0.80,NQ,GLOBEX,B0,1h,S-B_q0.80,4452,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",7.8,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/1h/S-B_q0.90,NQ,GLOBEX,B0,1h,S-B_q0.90,2226,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",4.6,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/1h/S-C_q0.80,NQ,GLOBEX,B0,1h,S-C_q0.80,4452,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",7.1,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/1h/S-C_q0.90,NQ,GLOBEX,B0,1h,S-C_q0.90,2226,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",4.4,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/30min/S-B_q0.80,NQ,GLOBEX,B0,30min,S-B_q0.80,16180,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",17.9,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/30min/S-B_q0.90,NQ,GLOBEX,B0,30min,S-B_q0.90,8090,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",10.9,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/30min/S-C_q0.80,NQ,GLOBEX,B0,30min,S-C_q0.80,16180,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",17.3,True,True,M6_GK,M6_GK
NQ/GLOBEX/B0/30min/S-C_q0.90,NQ,GLOBEX,B0,30min,S-C_q0.90,8090,1,M6_GK,20,1,M6_GK,20,"[""M6_GK""]","[""M6_GK""]",11.4,True,True,M6_GK,M6_GK
NQ/GLOBEX/B1/1day/S-B_q0.80,NQ,GLOBEX,B1,1day,S-B_q0.80,290,1,M2_HAR|M3_HARJ|M4_HARQ,20,1,M2_HAR|M3_HARJ|M4_HARQ,20,"[""M2_HAR|M3_HARJ|M4_HARQ""]","[""M2_HAR|M3_HARJ|M4_HARQ""]",2.1,True,True,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
