geom,df,nu,subarm,seed_index,seed,n_grid,b,c,A,rmse,cond,b_trigamma_analytic
RTH,gaussian,,reference,3,1710503735,8,-1.1654950107511193,0.004800442006907107,3.0001887480711718,0.001995110222301798,98.00099179839076,-1.144373249661363
RTH,gaussian,,reference,4,489425811,8,-1.0435452226250763,-0.0009259019341058634,2.555981563812053,0.00866258366436963,75.36322338065021,-1.144373249661363
RTH,nu2.95,2.95,signal,0,2752852513,8,-1.2156323966608447,1.1302290962000945,3.523678635264664,0.0075998249374955055,110.13942722009769,-1.144373249661363
RTH,nu2.95,2.95,signal,1,877112899,8,-1.2093408515708006,1.1725433097511742,3.230473036594607,0.009601335095984405,107.94346867274812,-1.144373249661363
RTH,nu2.95,2.95,signal,2,911778694,8,-0.993429852941529,1.105522746704959,2.2479861679319613,0.0077002266307254225,67.45182873619743,-1.144373249661363
RTH,nu2.95,2.95,signal,3,3479316923,8,-1.033130450686932,1.13476537819991,2.454137459952077,0.006087219739832303,73.55831676254715,-1.144373249661363
RTH,nu2.95,2.95,signal,4,4024663592,8,-0.9907242253030807,1.1130322803979047,2.280803104242414,0.007401753734299372,67.14415765063856,-1.144373249661363
RTH,nu2.95,2.95,reference,0,1518444259,8,-1.241355530993597,0.10439788331315168,3.890489381097481,0.01728442327827038,117.24731327739411,-1.144373249661363
RTH,nu2.95,2.95,reference,1,992630097,8,-1.1123085338998742,0.10602897012861248,2.7315271837501456,0.005318754710412653,87.19515810942869,-1.144373249661363
RTH,nu2.95,2.95,reference,2,1780395167,8,-1.0928292634125472,0.0991181384858442,2.7877144338437825,0.0013663484120003868,83.90012695309136,-1.144373249661363
RTH,nu2.95,2.95,reference,3,2060574957,8,-1.1353653854843735,0.08364060870905442,3.197874300159797,0.007814560298399454,92.6486906792351,-1.144373249661363
RTH,nu2.95,2.95,reference,4,2673895515,8,-1.186410533086586,0.07608373014367908,3.265719904280702,0.0030365227978075672,103.01336005786877,-1.144373249661363
RTH,nu3,3.0,signal,0,3760201663,8,-1.2615652527361898,1.1338833112752855,3.820799779642832,0.008434807499459457,121.97322429427908,-1.144373249661363
RTH,nu3,3.0,signal,1,429701574,8,-1.0210952966234224,1.1521603786652022,2.3942062742064123,0.007730511919824743,71.6530233737524,-1.144373249661363
