cell,stratum,key,n_windows,n_grid,b,c,A,rmse,cond,degenerate,reason
ES/RTH/B1/1day,year,2021,239,8,-0.6517373114243409,0.7494709842165336,2.1042645433235005,0.028984296954597276,36.3618728938237,False,
ES/RTH/B1/1day,year,2022,238,8,-1.4793008201988131,0.4376991877843362,6.327843785752146,0.02275442823101824,201.13312319708703,False,
ES/RTH/B1/1day,year,2023,236,8,-1.2076717629611526,0.3891124503344818,4.759164937976817,0.017395194191705127,113.33873346087123,False,
ES/RTH/B1/1day,vol_tercile,1,634,8,-0.0001024803145919652,-533.3926720666014,534.0658293446003,0.04977045729541842,316018212706.89954,True,|b|=0.000102 <= 0.01; cond=3.16e+11 > 1e8
ES/RTH/B1/1day,vol_tercile,2,633,8,-8.214161175867254,0.3558502938987557,-128188.82238128914,0.027769692374088186,66744857.7236875,True,A=-1.28e+05 <= 0
ES/RTH/B1/1day,vol_tercile,3,634,8,-1.465338699548554,0.6808316356077239,-1.0733593883694945,0.02321485772325114,208.95756039827958,True,A=-1.07 <= 0
ES/RTH/B1/1h,pooled,all,11406,9,-0.46580633009280553,1.051936782682572,2.3263875438801134,0.015092670186828512,37.39987622887221,False,
ES/RTH/B1/1h,year,2016,1434,9,-0.48320865923575645,0.6047741241571651,2.1853389386324724,0.01818209210916724,35.2142727725341,False,
ES/RTH/B1/1h,year,2017,1422,9,-0.5638411334843415,0.2767807282231566,2.550447608671612,0.017946743048922343,37.4066235734662,False,
ES/RTH/B1/1h,year,2018,1416,9,-0.6624663141919006,1.199296794352984,2.3607023643197858,0.023350805366848425,40.04045447832669,False,
ES/RTH/B1/1h,year,2019,1422,9,-0.6710487259449076,0.8666519396042294,2.566100593579534,0.02041423827692091,41.80490729111788,False,
ES/RTH/B1/1h,year,2020,1434,9,-0.5940920656470665,1.6613703695673048,2.022046649536689,0.01617880091339176,35.220155443771795,False,
ES/RTH/B1/1h,year,2021,1434,9,-0.5785686346356195,1.001935875212445,2.0132925657094596,0.030673100797162775,34.63757766878008,False,
ES/RTH/B1/1h,year,2022,1428,9,-1.1794090178334444,0.7347529161917478,3.406491424010386,0.013759893480316181,89.80677933157014,False,
ES/RTH/B1/1h,year,2023,1416,9,-0.670155247784134,0.5126728063723547,1.928280526371777,0.01871180576171163,38.19859715681739,False,
ES/RTH/B1/1h,vol_tercile,1,3802,9,-0.00014571293637988516,-653.6258864739376,654.5346362400027,0.06608444503379558,329187329196.3368,True,|b|=0.000146 <= 0.01; cond=3.29e+11 > 1e8
ES/RTH/B1/1h,vol_tercile,2,3802,9,-56.88550992634562,0.41886674666174545,-4.846049346610003e+33,0.023341515204504098,3.0026984776262235e+300,True,A=-4.85e+33 <= 0; cond=3e+300 > 1e8
ES/RTH/B1/1h,vol_tercile,3,3802,9,-55.14123540691664,0.7740076346046388,-2.5236958514206485e+32,0.03488456242356445,3.0009136424921195e+300,True,A=-2.52e+32 <= 0; cond=3e+300 > 1e8
ES/RTH/B1/30min,pooled,all,22812,5,-0.4111082270680417,0.8153215401312074,2.5881134751747803,0.004457446926737112,97.82048294779273,False,
ES/RTH/B1/30min,year,2016,2868,5,-0.5942360773642839,0.6144233076274085,2.6613644023719925,0.011153892411508222,69.66965164051017,False,
