cell,candidate,n,n_zero,share_zero,r2_floored,r2_repaired,lift,lam_intercept,keep_floored,keep_repaired,keep_floored_corr,keep_repaired_corr,status_changes
NQ/RTH/B1/1h,RS_up,11405,2,0.00017536168347216134,0.009197027693348825,0.3623314419780962,0.35313441428474734,0.8101747602302579,False,True,False,True,True
NQ/RTH/B1/1h,RS_down,11405,5,0.00043840420868040335,0.008074076164735811,0.41849688433361576,0.41042280816887994,0.8101747602302579,False,True,False,True,True
NQ/RTH/B1/1h,JumpVar,11405,5467,0.479351161771153,0.00027633895851643386,0.00708541572786473,0.006809076769348296,0.8101747602302579,False,False,False,False,False
NQ/RTH/B1/1h,Parkinson,11405,0,0.0,0.4751419532255242,0.4751419532255242,0.0,0.8101747602302579,True,True,True,True,False
NQ/RTH/B1/1h,GarmanKlass,11405,0,0.0,0.48813978264851454,0.48813978264851454,0.0,0.8101747602302579,True,True,True,True,False
NQ/RTH/B1/1h,RealizedQuarticity,11405,0,0.0,0.48186585713220115,0.48186585713220115,0.0,0.8101747602302579,True,True,True,True,False
NQ/RTH/B1/30min,RS_up,22811,294,0.012888518697119811,0.0006665643679355158,0.1838777077578967,0.18321114338996117,0.6765338975574761,False,True,False,True,True
NQ/RTH/B1/30min,RS_down,22811,406,0.01779843058173688,0.0020078075687155698,0.2516662104616301,0.24965840289291455,0.6765338975574761,False,True,False,True,True
NQ/RTH/B1/30min,JumpVar,22811,11265,0.49384069089474375,0.00014258706074411371,0.008044665417509093,0.007902078356764979,0.6765338975574761,False,False,False,False,False
NQ/RTH/B1/30min,Parkinson,22811,0,0.0,0.5121480743998015,0.5121480743998015,0.0,0.6765338975574761,True,True,True,True,False
NQ/RTH/B1/30min,GarmanKlass,22811,0,0.0,0.5265260809726553,0.5265260809726553,0.0,0.6765338975574761,True,True,True,True,False
NQ/RTH/B1/30min,RealizedQuarticity,22811,0,0.0,0.48122894222210616,0.48122894222210616,0.0,0.6765338975574761,True,True,True,True,False
