root,geom,horizon,M,rq_over_rv2,n_windows,constant_vol_value,excess,asym_var,trigamma,ratio_to_trigamma,is_5min
ES,RTH,1h,30,1.123412525479083,11406,1.0,0.12341252547908299,0.0748941683652722,0.0689382278476838,1.0863953238071016,False
ES,RTH,1h,60,1.2314642099892676,11406,1.0,0.23146420998926764,0.04104880699964225,0.033895060357739946,1.211055728073626,False
ES,RTH,30min,5,0.7371255464674497,22812,1.0,-0.26287445353255035,0.29485021858697985,0.4903577561002349,0.6012961249596488,False
ES,RTH,30min,6,0.7782860419536861,22812,1.0,-0.22171395804631389,0.2594286806512287,0.39493406684822646,0.6568911178556986,True
ES,RTH,30min,10,0.8977168825693476,22812,1.0,-0.10228311743065244,0.17954337651386953,0.22132295573711533,0.8112279899565815,False
ES,RTH,30min,15,0.9838766815677987,22812,1.0,-0.016123318432201272,0.13118355754237315,0.1426158966967038,0.9198382549271952,False
ES,RTH,30min,30,1.1008467921443719,22812,1.0,0.10084679214437187,0.07338978614295813,0.0689382278476838,1.064573146630776,False
NQ,RTH,1day,5,0.784826611801029,1901,1.0,-0.21517338819897103,0.3139306447204116,0.4903577561002349,0.6402073604730348,False
NQ,RTH,1day,6,0.8378405731299368,1901,1.0,-0.16215942687006324,0.27928019104331225,0.39493406684822646,0.7071564964554954,False
NQ,RTH,1day,10,0.9818129752257356,1901,1.0,-0.01818702477426437,0.19636259504514714,0.22132295573711533,0.8872219982385569,False
NQ,RTH,1day,13,1.0701824929625985,1901,1.0,0.07018249296259849,0.1646434604557844,0.16628453574995827,0.9901309205526991,False
NQ,RTH,1day,26,1.2879560975565012,1901,1.0,0.2879560975565012,0.09907354596588472,0.07995742842732394,1.239078693681802,False
NQ,RTH,1day,78,1.5856516357311756,1901,1.0,0.5856516357311756,0.040657734249517324,0.025972566037214765,1.56541075653676,True
NQ,RTH,1day,195,1.8484377522067845,1901,1.0,0.8484377522067845,0.018958335920069586,0.01030918704702152,1.8389748710153568,False
