root,geom,btag,horizon,sample,candidate,n,n_dropped_predictor,share_dropped,n_dropped_target,ic,r2,lam_intercept,lam_theory,valid,r2_corr_measured,keep_raw,keep_measured,band_lo,band_hi,in_flip_band
NQ,GLOBEX,B1,1day,insample,Parkinson,1947,0,0.0,0,0.7581485788787211,0.5747892676558244,0.9399469453085768,0.9933437324775314,True,0.6115124587879008,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,GarmanKlass,1947,0,0.0,0,0.7694288322229118,0.5920207278559138,0.9399469453085768,0.9933437324775314,True,0.6298448341268434,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,VolumeSurprise,1947,0,0.0,0,0.16661646268860061,0.02776104563886184,0.9399469453085768,0.9933437324775314,True,0.029534694247820677,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,CrossLeadLag,1947,0,0.0,0,0.6386871406633694,0.4079212636487506,0.9399469453085768,0.9933437324775314,True,0.4339832856362264,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,RealizedQuarticity,1947,0,0.0,0,0.7614788580025851,0.5798500511849212,0.9399469453085768,0.9933437324775314,True,0.6168965749386645,True,True,0.018798938906171538,0.02,False
NQ,GLOBEX,B1,1day,insample,SignatureSlope,1947,0,0.0,0,0.024414953071242498,0.0005960899334709734,0.9399469453085768,0.9933437324775314,True,0.0006341740206148359,False,False,0.018798938906171538,0.02,False
ES,RTH,B0,1day,insample,RS_up,1900,0,0.0,0,0.8011678062543423,0.6418698537783953,0.8397800078923314,0.9765359952651714,True,0.7643309530425136,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,RS_down,1900,0,0.0,0,0.7935941391800414,0.629791657740911,0.8397800078923314,0.9765359952651714,True,0.7499483815071445,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,JumpVar,1251,649,0.34157894736842104,0,0.5447501596036155,0.2967527363881646,0.8397800078923314,0.9765359952651714,True,0.3533696129929916,True,True,0.01679560015784663,0.02,False
ES,RTH,B0,1day,insample,Parkinson,1900,0,0.0,0,0.7798775040010456,0.608208921246901,0.8397800078923314,0.9765359952651714,True,0.7242479167530739,True,True,0.01679560015784663,0.02,False
