root,geom,H,sigma_w,seed_index,seed,b,c,A,rmse,cond,emb_neg_eig,emb_min_eig
NQ,RTH,0.3,1.8008003694117072,2,3320913209,-0.9044133342194534,1.0334095362621307,2.4070954474429986,0.014771952045683616,57.088799062937966,0,0.05528646592043529
NQ,RTH,0.3,1.8008003694117072,3,1579173077,-0.9297064093951816,1.032257202340533,2.902450241616273,0.02746323287093656,61.87268605362225,0,0.05528646592043529
NQ,RTH,0.3,1.8008003694117072,4,441560153,-1.0382836022720414,1.0353934166023726,3.4173306737368754,0.009245245501150471,77.68113606718086,0,0.05528646592043529
NQ,RTH,0.45,2.17533488997817,0,326860511,-0.9643550876540731,0.945459410590566,3.619148627910026,0.008177465453378156,69.51771571945237,0,0.49586035817205243
NQ,RTH,0.45,2.17533488997817,1,3500261156,-0.875411243383481,0.9915345079847291,2.82651703217432,0.011929521914853962,56.08522623741565,0,0.49586035817205243
NQ,RTH,0.45,2.17533488997817,2,4233369705,-0.9492449844826538,1.0390790281187738,3.1940916067699976,0.0173214196896629,65.46265603193075,0,0.49586035817205243
NQ,RTH,0.45,2.17533488997817,3,2408615095,-1.0311359433377985,1.0028334134552526,3.6821256543072387,0.011660555066578825,78.01514717341902,0,0.49586035817205243
NQ,RTH,0.45,2.17533488997817,4,506071616,-1.089782754084356,1.0435483012884297,4.252744558666091,0.019622240802991176,89.52897121458471,0,0.49586035817205243
NQ,RTH,0.5,2.245863799780608,0,1075613666,-0.8838742106614076,1.0571682918303764,2.7259430023614195,0.016918703337110826,56.37049819287273,0,1.0
NQ,RTH,0.5,2.245863799780608,1,448675414,-1.0730650276593763,1.0087143901946132,3.51440645093554,0.013386408479154647,83.24132606525825,0,1.0
NQ,RTH,0.5,2.245863799780608,2,3140793274,-0.8779516185515112,1.0285580583412495,2.58979171564491,0.011633172927490876,55.1628998743246,0,1.0
NQ,RTH,0.5,2.245863799780608,3,524003847,-0.9626290055020618,1.031085768888277,2.7986079544515525,0.007786731778991706,65.1504133064462,0,1.0
NQ,RTH,0.5,2.245863799780608,4,3217138522,-0.89907796768777,1.0156189675340765,2.532481211043296,0.008002467363172143,57.0123725963202,0,1.0
