root,geom,btag,horizon,M,c,c_lo,c_hi,sd_log_iv,sd_log_iv_lo,sd_log_iv_hi,vol_ratio_1sd,var_log_rv_naive,sd_log_iv_naive,overstatement_var,overstatement_sd,is_five_min
NQ,RTH,B0,1day,195,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.0804412819338867,1.0394427747278283,0.0223974691738289,0.01113672130618859,False
NQ,RTH,B0,1day,389,1.0567722578646066,0.9861349099479804,1.122810834100859,1.0279942888287885,0.9930432568362672,1.0596276865488456,1.671960925401744,1.0465876249207384,1.023028653030177,-0.009637490829337292,-0.004830411854008343,False
NQ,RTH,B0,1h,4,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,2.242986168005198,1.4976602311623282,0.5741396788910449,0.2546472328471636,False
NQ,RTH,B0,1h,5,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,2.0781772580569497,1.44158844961277,0.4584759051750238,0.20767375775704577,False
NQ,RTH,B0,1h,6,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.994221769422511,1.412169171672612,0.39955549460571094,0.1830281038951318,False
NQ,RTH,B0,1h,10,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.8084635417682893,1.3447912632703594,0.26918937777359475,0.1265830540948123,False
NQ,RTH,B0,1h,12,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.7587520585567455,1.3261794971106835,0.23430159320494925,0.1109912660345036,True
NQ,RTH,B0,1h,15,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.6990643159460856,1.3034816131983165,0.19241241647835539,0.09197638091597726,False
NQ,RTH,B0,1h,20,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.6603110366329128,1.2885305726419194,0.16521515796460085,0.07945132264711252,False
NQ,RTH,B0,1h,30,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.595144578551451,1.2629903319311082,0.11948098944315633,0.058055286572094245,False
NQ,RTH,B0,1h,60,1.424896531154938,1.3780583977392191,1.4692998836242692,1.193690299514467,1.1739073207622563,1.2121468077853728,1.8163793467695082,1.5002402055213815,1.2248429309594686,0.05287659329577732,0.026097750360937644,False
NQ,RTH,B0,30min,5,1.3684356791732393,1.3079703138026089,1.418375772266111,1.1698015554670969,1.1436652979795308,1.1909558229699837,1.794812891401648,2.1285236764311564,1.4589460841412736,0.5554429841504391,0.2471739991478492,False
NQ,RTH,B0,30min,6,1.3684356791732393,1.3079703138026089,1.418375772266111,1.1698015554670969,1.1436652979795308,1.1909558229699837,1.794812891401648,2.0227156240960893,1.4222220727073847,0.4781225415856907,0.21578063053566154,True
NQ,RTH,B0,30min,10,1.3684356791732393,1.3079703138026089,1.418375772266111,1.1698015554670969,1.1436652979795308,1.1909558229699837,1.794812891401648,1.8342459020025375,1.3543433471622097,0.34039613985417594,0.15775478399105558,False
NQ,RTH,B0,30min,15,1.3684356791732393,1.3079703138026089,1.418375772266111,1.1698015554670969,1.1436652979795308,1.1909558229699837,1.794812891401648,1.720732921252032,1.3117670987077057,0.25744523286007737,0.12135865487366582,False
NQ,RTH,B0,30min,30,1.3684356791732393,1.3079703138026089,1.418375772266111,1.1698015554670969,1.1436652979795308,1.1909558229699837,1.794812891401648,1.581309746889761,1.257501390412655,0.15556015599149875,0.07496983957295233,False
NQ,RTH,B1,1day,5,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.8174300346069436,1.3481209272935955,0.7197934759182449,0.3114089659287238,False
NQ,RTH,B1,1day,6,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.6648754610695002,1.2903005312986198,0.5754344880643183,0.2551631320526899,False
NQ,RTH,B1,1day,10,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.452688150140284,1.2052751346229142,0.3746463718452402,0.17245314270773315,False
NQ,RTH,B1,1day,13,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.3361575822638212,1.15592282712291,0.26437609647679583,0.12444479476619752,False
NQ,RTH,B1,1day,26,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.2047578070193181,1.0976145985815413,0.14003542206316255,0.06772441297516596,False
NQ,RTH,B1,1day,78,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.13474711756856,1.0652450974158765,0.07378586930500552,0.036236396439058405,True
NQ,RTH,B1,1day,195,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.0804412819338867,1.0394427747278283,0.0223974691738289,0.01113672130618859,False
NQ,RTH,B1,1day,389,1.0567722578646066,0.9903368974003532,1.12024619795379,1.0279942888287885,0.9951567200196928,1.058416835634142,1.671960925401744,1.0465876249207384,1.023028653030177,-0.009637490829337292,-0.004830411854008343,False
NQ,RTH,B1,1h,4,1.424896531154938,1.3794630242511596,1.4694619829807138,1.193690299514467,1.1745054381530806,1.2122136705138717,1.8163793467695082,2.242986168005198,1.4976602311623282,0.5741396788910449,0.2546472328471636,False
NQ,RTH,B1,1h,5,1.424896531154938,1.3794630242511596,1.4694619829807138,1.193690299514467,1.1745054381530806,1.2122136705138717,1.8163793467695082,2.0781772580569497,1.44158844961277,0.4584759051750238,0.20767375775704577,False
