root,geom,btag,horizon,M,minutes_per_sub_bar,s2_intercept,s2_intercept_lo,s2_intercept_hi,s2_naive,adj_exact_intercept_vp,adj_exact_intercept_vp_lo,adj_exact_intercept_vp_hi,adj_exact_naive_vp,bias_vp,overstatement_prop,overstatement_lo,overstatement_hi,adj_BL_naive_vp,below_5pct,is_5min
ES,RTH,B1,1h,10,6.0,1.051936782682572,0.9573569615098012,1.1270853695805287,1.8322413755367215,2.4642759276121895,2.255729885339335,2.6282277856627645,4.093909254787063,1.629633327174873,0.6613031068943402,0.557669117235474,0.8148933883416658,13.119687025185186,False,False
ES,RTH,B1,1h,12,5.0,1.051936782682572,0.9573569615098012,1.1270853695805287,1.7888437170876814,2.4642759276121895,2.255729885339335,2.6282277856627645,4.007388906499456,1.5431129788872666,0.6261932609074736,0.5247494636348295,0.7765375777235912,12.45632741804715,False,True
ES,RTH,B1,1h,15,4.0,1.051936782682572,0.9573569615098012,1.1270853695805287,1.7091831593719378,2.4642759276121895,2.255729885339335,2.6282277856627645,3.847345869164782,1.3830699415525927,0.5612480023260815,0.4638555646327247,0.7055880201658173,11.311117603241513,False,False
ES,RTH,B1,1h,20,3.0,1.051936782682572,0.9573569615098012,1.1270853695805287,1.644980250875517,2.4642759276121895,2.255729885339335,2.6282277856627645,3.7171933853264005,1.252917457714211,0.508432291885532,0.41433455867259616,0.6478894079852182,10.45226896887317,False,False
ES,RTH,B1,1h,30,2.0,1.051936782682572,0.9573569615098012,1.1270853695805287,1.5483813167693106,2.4642759276121895,2.255729885339335,2.6282277856627645,3.5193888364949855,1.055112908882796,0.4281634605363245,0.3390729889142754,0.5601995874455312,9.259624934575468,False,False
ES,RTH,B1,1h,60,1.0,1.051936782682572,0.9573569615098012,1.1270853695805287,1.3792227089749467,2.4642759276121895,2.255729885339335,2.6282277856627645,3.1671988050536726,0.7029228774414831,0.28524519903199086,0.20507013217463377,0.4040682909945237,7.429532931509649,False,False
ES,RTH,B1,30min,5,6.0,0.8153215401312074,0.6384866973095559,0.9399249735833916,2.1480929177266677,1.937877228394096,1.5341803558051725,2.21702299172287,4.7096691376822815,2.771791909288186,1.4303237938273048,1.1243212881713744,2.069827559622572,18.921254918488813,False,False
ES,RTH,B1,30min,6,5.0,0.8153215401312074,0.6384866973095559,0.9399249735833916,2.059807974863609,1.937877228394096,1.5341803558051725,2.21702299172287,4.5399963895212085,2.602119161127112,1.3427678095394455,1.047789493600665,1.959232512880479,17.111158328852575,False,True
ES,RTH,B1,30min,10,3.0,0.8153215401312074,0.6384866973095559,0.9399249735833916,1.8132086626561317,1.937877228394096,1.5341803558051725,2.21702299172287,4.0560221970382955,2.1181449686442,1.0930233028226923,0.8294903626084282,1.6437714325377368,12.825213213733466,False,False
ES,RTH,B1,30min,15,2.0,0.8153215401312074,0.6384866973095559,0.9399249735833916,1.6699301967974305,1.937877228394096,1.5341803558051725,2.21702299172287,3.7678961728032156,1.8300189444091197,0.9443420447876578,0.6995295884934178,1.4559669002056403,10.779492509494426,False,False
