arm,root,geom,position,H,sigma_w,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab
A7,NQ,GLOBEX,mid,,0.0,3.139910523314029,1,688761151,-0.9725154100442346,0.9852293209263081,2.142759718879731,0.007787506264686638,64.3422230168249,-0.6894615075604509,-0.971920220000346
A7,NQ,GLOBEX,mid,,0.0,3.139910523314029,2,591937548,-1.1375099862719862,1.0332568542893026,3.1075340205836697,0.009669426604494323,93.62659752137911,-0.6377688100272589,-0.9782696987170022
A7,NQ,GLOBEX,mid,,0.0,3.139910523314029,3,3966160705,-1.2564027152558392,1.0434672803721308,3.3828783450666458,0.003137365096675062,121.80967529531867,-0.6095098381944167,-0.9817094349583947
A7,NQ,GLOBEX,mid,,0.0,3.139910523314029,4,1026502563,-1.322233297134265,0.968608852653527,3.9759532296930367,0.006321726802948168,141.73071195513953,-0.5965156720167769,-0.9833219181595118
A7,NQ,GLOBEX,end,,0.0,3.139910523314029,0,3153987004,-0.9819858613323438,1.0179478764283125,2.2412199046100385,0.019116413566475334,65.7807934427984,-0.686058727610916,-0.9723509071571849
A7,NQ,GLOBEX,end,,0.0,3.139910523314029,1,2768328188,-1.1618839230824214,1.0017934867155154,3.353427888610886,0.006106340191582601,99.16726949739038,-0.6314181689793609,-0.9790382347930666
A7,NQ,GLOBEX,end,,0.0,3.139910523314029,2,4240595460,-1.1349946390399661,0.9917792557968546,2.8786666936045564,0.008919209482568389,92.73033993570313,-0.638442201605704,-0.9781882455432109
A7,NQ,GLOBEX,end,,0.0,3.139910523314029,3,3020711143,-1.0094694552427275,1.0053084461568587,2.509711742807696,0.005878755768924388,70.1916242905413,-0.6764912382444723,-0.9735479893756298
A7,NQ,GLOBEX,end,,0.0,3.139910523314029,4,3227927698,-1.228484558155998,1.0021332375861072,3.6199316427070687,0.00254181314720839,115.01751721457819,-0.6155551145557966,-0.9809676811031113
A7,ES,RTH,start,,0.0,7.245331012178212,0,1071398362,-1.0204815301706534,0.9488296742666318,2.5324509058277824,0.008025940547488127,71.88330813634597,-0.7329220246981616,-0.9742514042505782
A7,ES,RTH,start,,0.0,7.245331012178212,1,3186279637,-1.2507213161646906,1.067155084494555,3.630177598110177,0.006824450998585515,118.72743125806545,-0.6719444350885451,-0.9817931569174545
