root,geom,btag,M,variant,year,n,median,iqr,p95,p99,share_gt10x_med,ref_2overM,med_over_ref,acf1,acf5,acf10,acf_full
ES,RTH,B1,390,MEDRQ_MEDRV,2020,239,0.0073668221598996745,0.0027331241464281855,0.014050958223538242,0.032779574697460095,0.0,0.005128205128205128,1.4365303211804366,0.15933701174796547,-0.03898498465462097,0.03297957033947058,"[0.159, 0.024, 0.097, 0.028, -0.039, -0.008, 0.031, -0.032, -0.071, 0.033]"
ES,RTH,B1,390,MEDRQ_MEDRV,2021,239,0.007727144699608129,0.00265744536679109,0.014920882660861778,0.01911753882520413,0.0,0.005128205128205128,1.506793216423585,0.03884182492454131,0.059771447975468385,0.0642283258318438,"[0.039, 0.119, 0.148, 0.024, 0.06, 0.02, 0.117, -0.047, 0.036, 0.064]"
ES,RTH,B1,390,MEDRQ_MEDRV,2022,238,0.006827626026877549,0.0022356372675584766,0.013579354667110972,0.017868657375255642,0.0,0.005128205128205128,1.3313870752411219,0.0716880628393732,-0.07861155510557653,-0.0022275411255395427,"[0.072, 0.02, -0.074, -0.095, -0.079, 0.054, 0.045, 0.018, 0.147, -0.002]"
ES,RTH,B1,390,MEDRQ_MEDRV,2023,236,0.006762711772222986,0.002047182025908499,0.013782881950720945,0.019445719559618525,0.0,0.005128205128205128,1.3187287955834823,0.002687269963132309,0.09128734214820808,0.025656771998744804,"[0.003, 0.019, -0.027, 0.054, 0.091, 0.009, 0.092, -0.101, 0.065, 0.026]"
ES,RTH,B1,390,MEDRQ_MEDRV,0,1901,0.006968570292352794,0.0024503974110580296,0.013945785027839039,0.022010171274791768,0.0015781167806417674,0.005128205128205128,1.358871207008795,0.09813640661148375,0.07198413107240109,0.09271324523331285,"[0.098, 0.072, 0.095, 0.082, 0.072, 0.09, 0.109, 0.055, 0.081, 0.093]"
NQ,RTH,B0,13,RQ_RV,2016,239,0.1496222587057064,0.06798779507894101,0.2836219512130425,0.39875622190051546,0.0,0.15384615384615385,0.9725446815870915,-0.007930724819823109,-0.09377018400068561,0.041017924407121285,"[-0.008, 0.079, 0.054, -0.022, -0.094, -0.024, 0.097, -0.071, 0.13, 0.041]"
NQ,RTH,B0,13,RQ_RV,2017,237,0.1546866872775451,0.0738042923778748,0.3463395872187952,0.42502928732564615,0.0,0.15384615384615385,1.005463467304043,0.019340646873724464,0.07042036933826938,0.007246658368110401,"[0.019, 0.037, -0.043, 0.013, 0.07, 0.095, -0.035, 0.004, -0.012, 0.007]"
NQ,RTH,B0,13,RQ_RV,2018,236,0.14578863805673614,0.07724529990589357,0.30168788378821476,0.39097376498559444,0.0,0.15384615384615385,0.9476261473687849,0.09870998194161527,0.09608804750534485,-0.09648315301426044,"[0.099, -0.086, 0.003, 0.032, 0.096, 0.027, 0.027, 0.073, 0.008, -0.096]"
NQ,RTH,B0,13,RQ_RV,2019,237,0.1423188987250173,0.08415190856331685,0.31159720254451945,0.4454017341695781,0.0,0.15384615384615385,0.9250728417126124,0.10368495739022417,0.008851404823909503,-0.10094561824993857,"[0.104, -0.029, -0.021, -0.086, 0.009, -0.042, -0.021, -0.038, 0.011, -0.101]"
NQ,RTH,B0,13,RQ_RV,2020,239,0.13911513357162902,0.07475568990356596,0.29596362773411805,0.376493849213264,0.0,0.15384615384615385,0.9042483682155886,-0.008275450866737035,0.06795078224096604,-0.07548435433894042,"[-0.008, 0.114, 0.028, -0.031, 0.068, -0.047, 0.036, -0.055, -0.036, -0.075]"
NQ,RTH,B0,13,RQ_RV,2021,239,0.15027387576392728,0.078779126063505,0.3040355504240603,0.43989728492631613,0.0,0.15384615384615385,0.9767801924655273,-0.09278850971370727,0.13598976399944812,0.038277236582351486,"[-0.093, 0.146, -0.092, 0.003, 0.136, -0.06, 0.024, 0.043, -0.027, 0.038]"
NQ,RTH,B0,13,RQ_RV,2022,238,0.14985625013569756,0.06792084925822534,0.3042801039004613,0.41733284887992345,0.0,0.15384615384615385,0.974065625882034,0.031665029409923134,0.012588948173030452,0.042579517825682374,"[0.032, -0.029, 0.011, 0.017, 0.013, -0.01, -0.029, 0.025, 0.075, 0.043]"
NQ,RTH,B0,13,RQ_RV,2023,236,0.14157979788140024,0.07203589901314994,0.2706836012797685,0.377954996321443,0.0,0.15384615384615385,0.9202686862291015,-0.03143406010507788,-0.08247991262533842,-0.046753920276756525,"[-0.031, 0.005, -0.048, 0.07, -0.082, 0.018, -0.025, 0.037, 0.03, -0.047]"
NQ,RTH,B0,13,RQ_RV,0,1901,0.14605823044483182,0.07452861951820088,0.3059290110599529,0.4239944617795681,0.0,0.15384615384615385,0.9493784978914068,0.024114025893453215,0.037013372184358836,-0.029839334943205762,"[0.024, 0.032, -0.003, 0.004, 0.037, 0.008, 0.013, 0.007, 0.019, -0.03]"
