root,geom,btag,horizon,scheme,model,n,lam_hat,ic_pearson_log,ic_corrected,ic_spearman,r2_oos,r2_corrected,ic_ir,hit_rate,qlike_mean,m5_nonconv
ES,RTH,B1,30min,S-B_q0.90,M4_HARQ,2232,0.9989785910290314,-0.07276125015585722,-0.07279843814321525,0.51042200671721,-1061.7135255488236,-1062.7990780614928,1.1050547427852468,0.4634692962796952,1.5682556032128086e+293,0
ES,RTH,B1,30min,S-B_q0.90,M5_RGARCH,2232,0.9989785910290314,0.5526852221928131,0.5529676974253285,0.5046898372042502,-2.704220859455435,-2.706985799034854,1.2691887382681726,0.45271178843567905,1.8172668424925296,0
ES,RTH,B1,30min,S-B_q0.90,M6_PARK,2232,0.9989785910290314,0.4877473508379874,0.4879966365811272,0.43210875762571693,-2.629154122334289,-2.6318423096795707,1.335672863528439,0.49708650829224565,2.099747699638428,0
ES,RTH,B1,30min,S-B_q0.90,M6_GK,2232,0.9989785910290314,0.4893887268240567,0.48963885146797526,0.4325927257848844,-2.9714332177200253,-2.9744713694606815,1.3145793693526135,0.49170775437023756,2.4829193988345652,0
ES,RTH,B1,30min,S-C_q0.90,M1_EWMA,2232,0.9989785910290314,0.5347953588701398,0.5350686906642226,0.44775113080501455,0.1797744375696282,0.1799582485390858,0.8507009441406317,0.5163603765127746,0.39164509641375994,0
ES,RTH,B1,30min,S-C_q0.90,M2_HAR,2232,0.9989785910290314,0.7256759429948404,0.7260468331009934,0.629432188315035,0.510851790233166,0.5113741123390302,3.2036119791756064,0.4975347377857463,0.18257897918479501,0
ES,RTH,B1,30min,S-C_q0.90,M3_HARJ,2232,0.9989785910290314,0.7278153667537908,0.7281873503109706,0.631044354560548,0.5142853954260548,0.5148112282329272,3.250836866905315,0.4997758852532497,0.18227893984898874,0
ES,RTH,B1,30min,S-C_q0.90,M4_HARQ,2232,0.9989785910290314,-0.06218950011649397,-0.06222128492419286,0.645008037122728,-616.3900504969538,-617.0202805467738,2.012987231834807,0.5015688032272524,1.5682556032128086e+293,0
ES,RTH,B1,30min,S-C_q0.90,M5_RGARCH,2232,0.9989785910290314,0.7363752181407696,0.7367515766041596,0.6579586115536465,0.12930314943310406,0.12943535586674687,3.4485969157067506,0.4639175257731959,0.5085135947449573,0
ES,RTH,B1,30min,S-C_q0.90,M6_PARK,2232,0.9989785910290314,0.6234671428352012,0.6237857944275838,0.5571963726297059,0.05459367618474542,0.054649495669881545,3.33457573574366,0.5302554908112954,0.5143186320840814,0
