nu,nsr,n,M,master,estimator,mean_recovery,sd_recovery
3.0,1e-05,1380,23,1861959406,E1_d_L1-5,1.0614720699757998,0.04024556745591264
3.0,1e-05,1380,23,1861959406,E1_d_L1-10,1.136962402920154,0.05391497036871032
3.0,1e-05,1380,23,1861959406,E2,0.9979497071014289,0.02983809193187804
3.0,1e-05,1380,23,1861959406,E4,1.1442113237831655,0.04718090932706575
3.0,1e-05,1380,46,1861959406,E1_a_L1-5,0.997480235763163,0.024307817322530317
3.0,1e-05,1380,46,1861959406,E1_a_L1-10,0.9973932553167387,0.024531145037734264
3.0,1e-05,1380,46,1861959406,E1_d_L1-5,1.058684907143004,0.03095868244652983
3.0,1e-05,1380,46,1861959406,E1_d_L1-10,1.1350196672868278,0.0467988803815786
3.0,1e-05,1380,46,1861959406,E2,0.9962189902660649,0.021829227086211166
3.0,1e-05,1380,46,1861959406,E4,1.102156604308666,0.035503903685043595
3.0,1e-05,1380,138,1861959406,E1_a_L1-5,0.9915639693222025,0.01977056536016652
3.0,1e-05,1380,138,1861959406,E1_a_L1-10,0.9918417759630508,0.01996836095467053
3.0,1e-05,1380,138,1861959406,E1_d_L1-5,1.0519681346367866,0.02586336303811007
3.0,1e-05,1380,138,1861959406,E1_d_L1-10,1.1277000537553932,0.042390032009259
3.0,1e-05,1380,138,1861959406,E2,0.9881727737091833,0.015764203278587612
3.0,1e-05,1380,138,1861959406,E4,1.0757206632923566,0.029839073110604943
3.0,1e-05,1380,345,1861959406,E1_a_L1-5,0.9767492196204495,0.017814355671922556
3.0,1e-05,1380,345,1861959406,E1_a_L1-10,0.9770772728369513,0.01902780351392426
3.0,1e-05,1380,345,1861959406,E1_d_L1-5,1.0362006056015824,0.02441683080324979
3.0,1e-05,1380,345,1861959406,E1_d_L1-10,1.1105058623923147,0.04145329545745889
3.0,1e-05,1380,345,1861959406,E2,0.9702583189392692,0.014655771496669707
3.0,1e-05,1380,345,1861959406,E4,1.0558579980864202,0.028166317084243095
3.0,1e-05,1380,1380,1861959406,E1_a_L1-5,0.9142659174569908,0.022067015027038832
3.0,1e-05,1380,1380,1861959406,E1_a_L1-10,0.9147810935650743,0.02206224563941035
3.0,1e-05,1380,1380,1861959406,E1_d_L1-5,0.9692426885448634,0.02800852391750527
3.0,1e-05,1380,1380,1861959406,E1_d_L1-10,1.038268414203078,0.044739259990230894
3.0,1e-05,1380,1380,1861959406,E2,0.8928163739575763,0.02092698684930547
3.0,1e-05,1380,1380,1861959406,E4,0.9876024964764306,0.03133738178610277
3.0,3e-05,390,13,2092611599,E1_a_L1-5,0.995991036167664,0.0414310559463746
3.0,3e-05,390,13,2092611599,E1_a_L1-10,0.9963804335368988,0.04054827572001099
3.0,3e-05,390,13,2092611599,E1_d_L1-5,1.057906598575659,0.0478484699868757
3.0,3e-05,390,13,2092611599,E1_d_L1-10,1.125818031998042,0.05971087974502902
3.0,3e-05,390,13,2092611599,E2,0.9962062825955686,0.04319050473912326
3.0,3e-05,390,13,2092611599,E4,1.229346008043732,0.06669370036128511
3.0,3e-05,390,26,2092611599,E1_a_L1-5,0.9934423075643508,0.03303048354842445
3.0,3e-05,390,26,2092611599,E1_a_L1-10,0.9944284045661334,0.033079859556379064
3.0,3e-05,390,26,2092611599,E1_d_L1-5,1.0536532896904205,0.03870555546307989
3.0,3e-05,390,26,2092611599,E1_d_L1-10,1.1248265039166385,0.05107277424754504
3.0,3e-05,390,26,2092611599,E2,0.9938224220831046,0.03185837750592885
3.0,3e-05,390,26,2092611599,E4,1.1550795188182916,0.047722725075724615
3.0,3e-05,390,78,2092611599,E1_a_L1-5,0.9824617154767772,0.025806885170849492
3.0,3e-05,390,78,2092611599,E1_a_L1-10,0.9825463147813241,0.025541957897222578
3.0,3e-05,390,78,2092611599,E1_d_L1-5,1.040972736066546,0.03176461782088887
