root,geom,btag,horizon,M,year,tercile,n,estimator,lam
ES,GLOBEX,B0,1day,23,2021,0,246,E1_d_model_L1-5,1.4060521740255412
ES,GLOBEX,B0,1day,23,2021,0,246,E1_a_exp_L1-10,0.7720211278577639
ES,GLOBEX,B0,1day,23,2021,0,246,E1_d_model_L1-10,2.17076471492796
ES,GLOBEX,B0,1day,23,2021,0,246,E2,0.7420384291356271
ES,GLOBEX,B0,1day,23,2021,0,246,E4,0.9074192567152055
ES,GLOBEX,B0,1day,23,2022,2,42,E1_a_exp_L1-5,-0.1332297525741692
ES,GLOBEX,B0,1day,23,2022,2,42,E1_d_model_L1-5,-0.19753332055831335
ES,GLOBEX,B0,1day,23,2022,2,42,E1_a_exp_L1-10,-0.1198926756101148
ES,GLOBEX,B0,1day,23,2022,2,42,E1_d_model_L1-10,-0.2032347260769495
ES,GLOBEX,B0,1day,23,2022,2,42,E2,-1.7701815290757443
ES,GLOBEX,B0,1day,23,2022,2,42,E4,0.2593527940893614
ES,GLOBEX,B0,1day,23,2022,3,201,E1_a_exp_L1-5,0.35896518678667144
ES,GLOBEX,B0,1day,23,2022,3,201,E1_d_model_L1-5,0.5607247225002313
ES,GLOBEX,B0,1day,23,2022,3,201,E1_a_exp_L1-10,0.41372417075860674
ES,GLOBEX,B0,1day,23,2022,3,201,E1_d_model_L1-10,1.0576228170113493
ES,GLOBEX,B0,1day,23,2022,3,201,E2,0.1334656202389123
ES,GLOBEX,B0,1day,23,2022,3,201,E4,0.7752470524759337
ES,GLOBEX,B0,1day,23,2022,0,245,E1_a_exp_L1-5,0.4413846680318642
ES,GLOBEX,B0,1day,23,2022,0,245,E1_d_model_L1-5,0.5246633710867602
ES,GLOBEX,B0,1day,23,2022,0,245,E1_a_exp_L1-10,0.47337642921028733
ES,GLOBEX,B0,1day,23,2022,0,245,E1_d_model_L1-10,0.7699935001315653
ES,GLOBEX,B0,1day,23,2022,0,245,E2,0.39740566731192684
ES,GLOBEX,B0,1day,23,2022,0,245,E4,0.8412693831041593
ES,GLOBEX,B0,1day,23,2023,1,61,E1_a_exp_L1-5,-0.3222895615877918
ES,GLOBEX,B0,1day,23,2023,1,61,E1_d_model_L1-5,0.23154316096912783
ES,GLOBEX,B0,1day,23,2023,1,61,E1_a_exp_L1-10,-0.32130782360835597
ES,GLOBEX,B0,1day,23,2023,1,61,E1_d_model_L1-10,0.23102472281123806
ES,GLOBEX,B0,1day,23,2023,1,61,E2,0.12247990433846512
ES,GLOBEX,B0,1day,23,2023,1,61,E4,0.7511782875708806
ES,GLOBEX,B0,1day,23,2023,2,124,E1_a_exp_L1-5,0.20280419597936364
ES,GLOBEX,B0,1day,23,2023,2,124,E1_d_model_L1-5,0.22274868843998583
ES,GLOBEX,B0,1day,23,2023,2,124,E1_a_exp_L1-10,0.27752136967882646
ES,GLOBEX,B0,1day,23,2023,2,124,E1_d_model_L1-10,0.4609206521814294
ES,GLOBEX,B0,1day,23,2023,2,124,E2,-0.3177381528789201
ES,GLOBEX,B0,1day,23,2023,2,124,E4,0.4501764770613885
ES,GLOBEX,B0,1day,23,2023,3,59,E1_a_exp_L1-5,0.2603387743550168
ES,GLOBEX,B0,1day,23,2023,3,59,E1_d_model_L1-5,-0.539587783178043
ES,GLOBEX,B0,1day,23,2023,3,59,E1_a_exp_L1-10,0.26684801873082536
ES,GLOBEX,B0,1day,23,2023,3,59,E1_d_model_L1-10,-0.37601534866765446
ES,GLOBEX,B0,1day,23,2023,3,59,E2,-0.8321760863354787
ES,GLOBEX,B0,1day,23,2023,3,59,E4,0.6710844211988929
ES,GLOBEX,B0,1day,23,2023,0,244,E1_a_exp_L1-5,0.45372779635335303
ES,GLOBEX,B0,1day,23,2023,0,244,E1_d_model_L1-5,0.6154972228269713
ES,GLOBEX,B0,1day,23,2023,0,244,E1_a_exp_L1-10,0.43981611076237076
ES,GLOBEX,B0,1day,23,2023,0,244,E1_d_model_L1-10,0.7219748495772519
ES,GLOBEX,B0,1day,23,2023,0,244,E2,0.40571450046533786
ES,GLOBEX,B0,1day,23,2023,0,244,E4,0.8472504517973424
ES,GLOBEX,B0,1day,23,0,1,651,E1_a_exp_L1-5,0.27328114003800896
ES,GLOBEX,B0,1day,23,0,1,651,E1_d_model_L1-5,0.3706792322447086
ES,GLOBEX,B0,1day,23,0,1,651,E1_a_exp_L1-10,0.2560434522430528
ES,GLOBEX,B0,1day,23,0,1,651,E1_d_model_L1-10,0.405678000513751
ES,GLOBEX,B0,1day,23,0,1,651,E2,0.34625480773638295
ES,GLOBEX,B0,1day,23,0,1,651,E4,0.75456029969435
ES,GLOBEX,B0,1day,23,0,2,651,E1_a_exp_L1-5,0.15551848666823453
ES,GLOBEX,B0,1day,23,0,2,651,E1_d_model_L1-5,0.20744391023731912
ES,GLOBEX,B0,1day,23,0,2,651,E1_a_exp_L1-10,0.1978405871089623
ES,GLOBEX,B0,1day,23,0,2,651,E1_d_model_L1-10,0.4263218901490288
ES,GLOBEX,B0,1day,23,0,2,651,E2,-1.0808490084537532
ES,GLOBEX,B0,1day,23,0,2,651,E4,0.530271537577281
ES,GLOBEX,B0,1day,23,0,3,651,E1_a_exp_L1-5,0.5440179993645126
ES,GLOBEX,B0,1day,23,0,3,651,E1_d_model_L1-5,0.7005279575105449
ES,GLOBEX,B0,1day,23,0,3,651,E1_a_exp_L1-10,0.5379906754960366
ES,GLOBEX,B0,1day,23,0,3,651,E1_d_model_L1-10,0.8251256064315986
ES,GLOBEX,B0,1day,23,0,3,651,E2,0.5176305128683562
ES,GLOBEX,B0,1day,23,0,3,651,E4,0.8421906505699542
ES,GLOBEX,B0,1day,23,0,0,1953,E1_a_exp_L1-5,0.7769867321246533
ES,GLOBEX,B0,1day,23,0,0,1953,E1_d_model_L1-5,0.8829054960446913
ES,GLOBEX,B0,1day,23,0,0,1953,E1_a_exp_L1-10,0.7576333691691021
ES,GLOBEX,B0,1day,23,0,0,1953,E1_d_model_L1-10,0.9682530703428514
ES,GLOBEX,B0,1day,23,0,0,1953,E2,0.7892128372306398
ES,GLOBEX,B0,1day,23,0,0,1953,E4,0.932318376297791
ES,GLOBEX,B0,1day,46,2016,1,94,E1_a_exp_L1-5,0.6407762833791727
ES,GLOBEX,B0,1day,46,2016,1,94,E1_d_model_L1-5,-4.57289785470252
ES,GLOBEX,B0,1day,46,2016,1,94,E1_a_exp_L1-10,0.5942672116999871
ES,GLOBEX,B0,1day,46,2016,1,94,E1_d_model_L1-10,19.66959081259658
ES,GLOBEX,B0,1day,46,2016,1,94,E2,0.549559842013059
ES,GLOBEX,B0,1day,46,2016,1,94,E4,0.8543615939758589
ES,GLOBEX,B0,1day,46,2016,2,101,E1_a_exp_L1-5,0.04292485118779983
ES,GLOBEX,B0,1day,46,2016,2,101,E1_d_model_L1-5,0.12397018513083494
ES,GLOBEX,B0,1day,46,2016,2,101,E1_a_exp_L1-10,0.03468581082493585
ES,GLOBEX,B0,1day,46,2016,2,101,E1_d_model_L1-10,0.05499126177268398
ES,GLOBEX,B0,1day,46,2016,2,101,E2,-0.09762835661491183
ES,GLOBEX,B0,1day,46,2016,2,101,E4,0.7523268904220345
ES,GLOBEX,B0,1day,46,2016,3,50,E1_a_exp_L1-5,0.09793626527332705
ES,GLOBEX,B0,1day,46,2016,3,50,E1_d_model_L1-5,1.1383410163604764
ES,GLOBEX,B0,1day,46,2016,3,50,E1_a_exp_L1-10,0.12215705186288194
ES,GLOBEX,B0,1day,46,2016,3,50,E1_d_model_L1-10,0.2943993386944983
ES,GLOBEX,B0,1day,46,2016,3,50,E2,0.6159263272415492
ES,GLOBEX,B0,1day,46,2016,3,50,E4,0.8984201704125838
ES,GLOBEX,B0,1day,46,2016,0,245,E1_a_exp_L1-5,0.7227969051966426
ES,GLOBEX,B0,1day,46,2016,0,245,E1_d_model_L1-5,0.954364805132173
ES,GLOBEX,B0,1day,46,2016,0,245,E1_a_exp_L1-10,0.6790575147776649
ES,GLOBEX,B0,1day,46,2016,0,245,E1_d_model_L1-10,1.0214165484263655
ES,GLOBEX,B0,1day,46,2016,0,245,E2,0.8410996193162568
ES,GLOBEX,B0,1day,46,2016,0,245,E4,0.9477926218316969
ES,GLOBEX,B0,1day,46,2017,1,204,E1_a_exp_L1-5,0.32673081501697515
ES,GLOBEX,B0,1day,46,2017,1,204,E1_d_model_L1-5,0.530419178661364
ES,GLOBEX,B0,1day,46,2017,1,204,E1_a_exp_L1-10,0.35329988486091485
ES,GLOBEX,B0,1day,46,2017,1,204,E1_d_model_L1-10,0.8849397914400212
ES,GLOBEX,B0,1day,46,2017,1,204,E2,0.42613121150722555
ES,GLOBEX,B0,1day,46,2017,1,204,E4,0.8231999489558836
ES,GLOBEX,B0,1day,46,2017,2,37,E1_a_exp_L1-5,-0.07352565332802753
ES,GLOBEX,B0,1day,46,2017,2,37,E1_d_model_L1-5,0.13829679822447882
ES,GLOBEX,B0,1day,46,2017,2,37,E1_a_exp_L1-10,0.03212379626942034
ES,GLOBEX,B0,1day,46,2017,2,37,E1_d_model_L1-10,0.03555353396979747
ES,GLOBEX,B0,1day,46,2017,2,37,E2,-1.1700263636704717
ES,GLOBEX,B0,1day,46,2017,2,37,E4,0.6416868652940849
ES,GLOBEX,B0,1day,46,2017,0,243,E1_a_exp_L1-5,0.5126884907294752
ES,GLOBEX,B0,1day,46,2017,0,243,E1_d_model_L1-5,1.0519862517402565
