nu,nsr,n,M,estimator,recovery,between_seed_sd
3.4,1e-05,1380,23,E1_a_L1-5,0.9978203351630096,0.001530714001650134
3.4,1e-05,1380,23,E1_d_L1-10,1.1283121878993734,0.0031640360441206627
3.4,1e-05,1380,23,E1_d_L1-5,1.0571158956637992,0.0022436003978496466
3.4,1e-05,1380,23,E2,0.9978187345362517,0.0015887072179422692
3.4,1e-05,1380,23,E4,1.0951444788475646,0.00301695120436015
3.4,1e-05,1380,46,E1_a_L1-10,0.997222033329284,0.000926269493274208
3.4,1e-05,1380,46,E1_a_L1-5,0.996768503109692,0.0014118297019989077
3.4,1e-05,1380,46,E1_d_L1-10,1.1271526708933257,0.0034174045387431206
3.4,1e-05,1380,46,E1_d_L1-5,1.0552735141135576,0.002175567152579783
3.4,1e-05,1380,46,E2,0.9957151736611725,0.0012555685327074156
3.4,1e-05,1380,46,E4,1.056503986423593,0.0022219297027048176
3.4,1e-05,1380,138,E1_a_L1-10,0.9912394502585714,0.0007978311913402704
3.4,1e-05,1380,138,E1_a_L1-5,0.9908517148857328,0.0007238680262137718
3.4,1e-05,1380,138,E1_d_L1-10,1.1212549062709332,0.0033772426171918436
3.4,1e-05,1380,138,E1_d_L1-5,1.0488835556090588,0.0017075927579556338
3.4,1e-05,1380,138,E2,0.9880938789645437,0.0009471612568666081
3.4,1e-05,1380,138,E4,1.031983809152342,0.0012700628462646896
3.4,1e-05,1380,345,E1_a_L1-10,0.9782488172777823,0.0008726953018265299
3.4,1e-05,1380,345,E1_a_L1-5,0.9778590708042356,0.0009977585365050314
3.4,1e-05,1380,345,E1_d_L1-10,1.1061723448562681,0.0036761680328457566
3.4,1e-05,1380,345,E1_d_L1-5,1.0342938619097808,0.0017903228673964505
3.4,1e-05,1380,345,E2,0.9713947928856529,0.0012975116418151536
3.4,1e-05,1380,345,E4,1.0151102891527222,0.0016127929537736918
3.4,1e-05,1380,1380,E1_a_L1-10,0.9161757334615768,0.002486986835139778
3.4,1e-05,1380,1380,E1_a_L1-5,0.9162446859331436,0.0025716173222114598
3.4,1e-05,1380,1380,E1_d_L1-10,1.0363898283217523,0.004437178723628224
3.4,1e-05,1380,1380,E1_d_L1-5,0.9694138832395082,0.003710469241266666
3.4,1e-05,1380,1380,E2,0.8954722580815865,0.0030682456086603993
3.4,1e-05,1380,1380,E4,0.9503025644820333,0.0030566978772778503
3.4,3e-05,390,13,E1_a_L1-10,0.999241966560293,0.0018085615643548718
3.4,3e-05,390,13,E1_a_L1-5,0.9987590336276986,0.0022133470260119552
3.4,3e-05,390,13,E1_d_L1-10,1.1326265335892933,0.003551077645571957
3.4,3e-05,390,13,E1_d_L1-5,1.0609942867497044,0.0028158356975938343
3.4,3e-05,390,13,E2,1.0009543692406235,0.0035498179998168914
3.4,3e-05,390,13,E4,1.171563212833803,0.0027975639806346554
3.4,3e-05,390,26,E1_a_L1-10,0.9967309091304731,0.0012671233017244555
3.4,3e-05,390,26,E1_a_L1-5,0.9960727188691247,0.0014980388431022143
3.4,3e-05,390,26,E1_d_L1-10,1.12959985955573,0.002222551533445324
3.4,3e-05,390,26,E1_d_L1-5,1.0561927880535564,0.0018026706785089122
3.4,3e-05,390,26,E2,0.9963863201427919,0.0014003474125102455
3.4,3e-05,390,26,E4,1.0987038211374032,0.0022689132255882794
3.4,3e-05,390,78,E1_a_L1-10,0.9859047451456548,0.0020205755840351004
3.4,3e-05,390,78,E1_a_L1-5,0.9856179153505579,0.001763477789916303
3.4,3e-05,390,78,E1_d_L1-10,1.1184955424679175,0.0035339912375243723
