root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,23,2023,2,140,0.11861900747432388,0.12079239214322889,0.2585004166278931,0.216451165549133,-0.26636288750869885,0.4927406963559159,0.7591035838646147
NQ,GLOBEX,B0,1day,23,2023,3,55,0.23239140361134777,0.45378582969405923,0.4877980256905118,0.8634882231001557,-0.13641295503678877,0.720708978674175,0.9999011781369445
NQ,GLOBEX,B0,1day,46,0,0,1948,0.7697566902575017,0.7889464206945331,0.9693006717330586,0.8887931506487234,0.8219584768947115,0.9555881962862224,0.19954398147555685
NQ,GLOBEX,B0,1day,46,0,1,650,0.33342358587026394,0.365412776195177,0.6240691738833191,0.5650227753507246,0.5120969143934563,0.8668359658194618,0.5334123799491979
NQ,GLOBEX,B0,1day,46,0,2,649,0.24073954674134448,0.2268638978935175,0.3800203857426463,0.2845405039343751,-0.01735279393767696,0.7832990688521151,0.8006518627897921
NQ,GLOBEX,B0,1day,46,0,3,649,0.6069275210258573,0.6294527652857725,1.0470150499584745,0.8310923369766903,0.6043297882209954,0.8898056081822565,0.44268526173747913
NQ,GLOBEX,B0,1day,46,2016,0,241,0.6914139563525323,0.7160646912039093,0.9745044548029033,0.8755503215449689,0.8411491083058938,0.9417442510275333,0.28309049845037093
NQ,GLOBEX,B0,1day,46,2016,1,111,0.4352802068781681,0.5812062410602115,1.2890410807514596,1.5320519337214118,0.412977045224382,0.8337108008429936,1.1190748884970299
NQ,GLOBEX,B0,1day,46,2016,2,89,0.10285766592860011,0.07736508189325089,0.09873477638940421,0.08188949457957242,-0.33211846196992895,0.7886222046384616,1.1207406666083906
NQ,GLOBEX,B0,1day,46,2016,3,41,0.6348427961105567,0.5251174131203515,-1.288213409011927,2.5787005909412115,0.458024589250787,0.85966272430909,3.8669139999531383
NQ,GLOBEX,B0,1day,46,2017,0,242,0.6259234998859203,0.5977250338398544,2.2820202831467267,1.210384379686765,0.5199490406588908,0.8887447083488833,1.7620712424878358
NQ,GLOBEX,B0,1day,46,2017,1,194,0.46264909390331144,0.4303784755903519,2.5914390279417225,0.9393434170253465,0.41169499109141605,0.8317663600460414,2.1797440368503063
NQ,GLOBEX,B0,1day,46,2017,2,42,-0.428901537938112,-0.45115362878039933,1.458528319425117,1.0644733040292509,-0.8783053312011809,0.7365691915769887,2.336833650626298
NQ,GLOBEX,B0,1day,46,2018,0,243,0.8245637153795985,0.8032836253798827,1.40836893443197,1.0235530174665346,0.8247998863492636,0.9476061407672474,0.6050853090520874
NQ,GLOBEX,B0,1day,46,2018,1,72,0.10194762694690603,0.063975881015446,0.352472940913499,0.1266836180884529,0.35557234110255265,0.7767848771019762,0.7128089960865301
NQ,GLOBEX,B0,1day,46,2018,2,84,0.2802494334137326,0.2552511284239624,2.153009062044158,0.5489372984076617,0.18973828602396314,0.7947491838192667,1.963270776020195
NQ,GLOBEX,B0,1day,46,2018,3,87,1.231862343571103,1.1879546109448231,-1.5018996675172194,-2.1143767834013216,0.7385185221715289,0.8877575120519201,3.3462391269724243
NQ,GLOBEX,B0,1day,46,2019,0,243,0.6417949119115807,0.690514017866283,1.2149426203822307,1.0481867347627245,0.6452045139465469,0.921000651546392,0.57314770847065
NQ,GLOBEX,B0,1day,46,2019,1,100,0.29740615734424697,0.21929759080170566,0.721289571162889,0.3006868096306688,0.41255352810777596,0.842899841967901,0.6236022511661954
NQ,GLOBEX,B0,1day,46,2019,2,91,0.3971094872955037,0.3962629939757718,-0.2889131269572313,-0.33009145815288726,-0.17566978438539047,0.7434468427205039,1.0735383008733912
NQ,GLOBEX,B0,1day,46,2019,3,52,0.46005212457891587,0.319097675202561,-1.121122568181223,0.48478835464970793,-0.05446491827026918,0.7870258477289871,1.90814841591021
NQ,GLOBEX,B0,1day,46,2020,0,244,0.8336261232433563,0.8340586979353761,1.2801019822584405,1.0190285446512988,0.8582440759280463,0.9615559589517748,0.44647585901508424
NQ,GLOBEX,B0,1day,46,2020,1,35,0.4100993206237938,0.40934125918035213,-0.3715619494833039,-0.37185422615475555,0.5584889375903429,0.8789375341565192,1.2507917603112748
NQ,GLOBEX,B0,1day,46,2020,2,71,0.23466136918976535,0.1858696575820692,0.4654394414729033,0.23197991476489857,-0.06768773402723904,0.7172909561600129,0.784978690187252
NQ,GLOBEX,B0,1day,46,2020,3,138,0.7913603156783272,0.819928645509532,1.2612501448250926,1.0535932092573699,0.7957822627244262,0.9287795877609819,0.46988982914676536
NQ,GLOBEX,B0,1day,46,2021,0,246,0.7281724711299546,0.7056828878042714,1.6137776013339369,1.1043205680967387,0.7704507338249891,0.9403921879831117,0.9080947135296655
NQ,GLOBEX,B0,1day,46,2021,1,86,0.3036000819496943,0.2863854067934179,-0.5454234524608768,-0.5597031915294168,0.4434577753459442,0.8707323523739221,1.430435543903339
NQ,GLOBEX,B0,1day,46,2021,2,97,0.36124079780235585,0.3614160816231501,-0.24058959895025228,-0.38399534688625675,0.13800678059413618,0.7638218313986292,1.147817178284886
NQ,GLOBEX,B0,1day,46,2021,3,63,0.23302155967574176,0.4483497817524927,0.46414294219414526,1.5250263345932458,0.4165533017436735,0.8578885782166363,1.292004774917504
