root,geom,btag,horizon,scheme,n_obs,pvals,mcs75,mcs90
NQ,GLOBEX,B0,1h,S-C_q0.90,2226,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,30min,S-A,80900,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,30min,S-B_q0.80,16180,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,30min,S-C_q0.80,16180,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,30min,S-B_q0.90,8090,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B0,30min,S-C_q0.90,8090,"{""M1_EWMA"": 0.0, ""M2_HAR"": 0.0, ""M3_HARJ"": 0.0, ""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 1.0}",M6_GK,M6_GK
NQ,GLOBEX,B1,1day,S-A,1448,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M2_HAR"": 1.0, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,GLOBEX,B1,1day,S-B_q0.80,290,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0014, ""M6_GK"": 0.0014, ""M1_EWMA"": 0.011, ""M2_HAR"": 1.0, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,GLOBEX,B1,1day,S-C_q0.80,290,"{""M5_RGARCH"": 0.0003, ""M1_EWMA"": 0.0014, ""M6_PARK"": 0.0432, ""M6_GK"": 0.0432, ""M2_HAR"": 1.0, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
NQ,GLOBEX,B1,1day,S-B_q0.90,145,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0407, ""M6_GK"": 0.0407, ""M1_EWMA"": 0.0407, ""M2_HAR"": 1.0, ""M3_HARJ"": 1.0, ""M4_HARQ"": 1.0}",M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ
