arm,grid,seed_index,M,lam_true,var_log_rv,trv_over_rv,estimator,lam
A0,RTH_1day,1,5,0.6617793125442323,1.5324227967893713,0.9520685930679488,E1_d_model_L1-5,0.03295832326613399
A0,RTH_1day,1,5,0.6617793125442323,1.5324227967893713,0.9520685930679488,E1_d_model_L1-10,-0.007969439135178882
A0,RTH_1day,1,5,0.6617793125442323,1.5324227967893713,0.9520685930679488,E2,0.6806858542936378
A0,RTH_1day,1,5,0.6617793125442323,1.5324227967893713,0.9520685930679488,E4,0.8447591602083306
A0,RTH_1day,1,6,0.7084758376868217,1.431418901027743,0.9527857271447294,E1_a_exp_L1-5,-0.06407099211092437
A0,RTH_1day,1,6,0.7084758376868217,1.431418901027743,0.9527857271447294,E1_a_exp_L1-10,-0.008468671856335756
A0,RTH_1day,1,6,0.7084758376868217,1.431418901027743,0.9527857271447294,E1_d_model_L1-5,0.047294442025668695
A0,RTH_1day,1,6,0.7084758376868217,1.431418901027743,0.9527857271447294,E1_d_model_L1-10,0.047359656872522304
A0,RTH_1day,1,6,0.7084758376868217,1.431418901027743,0.9527857271447294,E2,0.7199311308478831
A0,RTH_1day,1,6,0.7084758376868217,1.431418901027743,0.9527857271447294,E4,0.8470898158694826
A0,RTH_1day,1,10,0.8317338916564132,1.219291067924057,0.957198036733592,E1_a_exp_L1-5,-0.013634674224646183
A0,RTH_1day,1,10,0.8317338916564132,1.219291067924057,0.957198036733592,E1_a_exp_L1-10,-0.00727042569736887
A0,RTH_1day,1,10,0.8317338916564132,1.219291067924057,0.957198036733592,E1_d_model_L1-5,-0.16667308903587735
A0,RTH_1day,1,10,0.8317338916564132,1.219291067924057,0.957198036733592,E1_d_model_L1-10,-0.008154443801946184
A0,RTH_1day,1,10,0.8317338916564132,1.219291067924057,0.957198036733592,E2,0.8122317792397185
A0,RTH_1day,1,10,0.8317338916564132,1.219291067924057,0.957198036733592,E4,0.8733828314251283
A0,RTH_1day,1,13,0.8822309768068446,1.149501356954067,0.9657705923384949,E1_a_exp_L1-5,-0.002379534885355561
A0,RTH_1day,1,13,0.8822309768068446,1.149501356954067,0.9657705923384949,E1_a_exp_L1-10,-0.005630938828155297
A0,RTH_1day,1,13,0.8822309768068446,1.149501356954067,0.9657705923384949,E1_d_model_L1-5,-0.0025236642248932396
A0,RTH_1day,1,13,0.8822309768068446,1.149501356954067,0.9657705923384949,E1_d_model_L1-10,-0.006152423258997163
A0,RTH_1day,1,13,0.8822309768068446,1.149501356954067,0.9657705923384949,E2,0.8445381824807217
A0,RTH_1day,1,13,0.8822309768068446,1.149501356954067,0.9657705923384949,E4,0.8902323458265714
A0,RTH_1day,1,26,0.940385158137576,1.0784152601842913,0.9717179218558901,E1_a_exp_L1-5,-0.0019052475899498259
A0,RTH_1day,1,26,0.940385158137576,1.0784152601842913,0.9717179218558901,E1_a_exp_L1-10,-0.006570046893425563
A0,RTH_1day,1,26,0.940385158137576,1.0784152601842913,0.9717179218558901,E1_d_model_L1-5,-0.002033833794951993
A0,RTH_1day,1,26,0.940385158137576,1.0784152601842913,0.9717179218558901,E1_d_model_L1-10,-0.007193178138807998
A0,RTH_1day,1,26,0.940385158137576,1.0784152601842913,0.9717179218558901,E2,0.9234918318071677
A0,RTH_1day,1,26,0.940385158137576,1.0784152601842913,0.9717179218558901,E4,0.9373007449604862
A0,RTH_1day,1,78,0.9769204444021001,1.0380842276333466,0.9707795577884041,E1_a_exp_L1-5,-0.0020640269265462755
A0,RTH_1day,1,78,0.9769204444021001,1.0380842276333466,0.9707795577884041,E1_a_exp_L1-10,-0.008982209041320707
A0,RTH_1day,1,78,0.9769204444021001,1.0380842276333466,0.9707795577884041,E1_d_model_L1-5,-0.002203035025621034
A0,RTH_1day,1,78,0.9769204444021001,1.0380842276333466,0.9707795577884041,E1_d_model_L1-10,-0.009841129951288712
A0,RTH_1day,1,78,0.9769204444021001,1.0380842276333466,0.9707795577884041,E2,0.9747856086978373
A0,RTH_1day,1,78,0.9769204444021001,1.0380842276333466,0.9707795577884041,E4,0.9772272137396517
A0,RTH_1day,1,195,0.9863970228556617,1.0281110764613244,0.9710410317594593,E1_a_exp_L1-5,0.01389639594738842
A0,RTH_1day,1,195,0.9863970228556617,1.0281110764613244,0.9710410317594593,E1_a_exp_L1-10,-0.007746921477558059
A0,RTH_1day,1,195,0.9863970228556617,1.0281110764613244,0.9710410317594593,E1_d_model_L1-5,-0.0018901523165353634
A0,RTH_1day,1,195,0.9863970228556617,1.0281110764613244,0.9710410317594593,E1_d_model_L1-10,-0.008450631692867795
A0,RTH_1day,1,195,0.9863970228556617,1.0281110764613244,0.9710410317594593,E2,0.990185166844335
A0,RTH_1day,1,195,0.9863970228556617,1.0281110764613244,0.9710410317594593,E4,0.9906462614434373
A0,RTH_1day,1,389,0.9945782848752349,1.0196539783830059,0.9711865568924426,E1_a_exp_L1-5,-0.001545002565979897
A0,RTH_1day,1,389,0.9945782848752349,1.0196539783830059,0.9711865568924426,E1_a_exp_L1-10,-0.006981209442984837
A0,RTH_1day,1,389,0.9945782848752349,1.0196539783830059,0.9711865568924426,E1_d_model_L1-5,-0.0016523815361641674
A0,RTH_1day,1,389,0.9945782848752349,1.0196539783830059,0.9711865568924426,E1_d_model_L1-10,-0.007639417966278599
A0,RTH_1day,1,389,0.9945782848752349,1.0196539783830059,0.9711865568924426,E2,0.9951336261535894
A0,RTH_1day,1,389,0.9945782848752349,1.0196539783830059,0.9711865568924426,E4,0.995251580794157
