arm,grid,seed_index,estimator,ratio_max_min,elasticity,mean_abs_error_vs_true,mean_lam,mean_lam_true
A2,GLOBEX_1day,2,E1_a_exp_L1-10,,,1.083777005200723,-0.06424325044132127,1.0195337547594017
A2,GLOBEX_1day,2,E1_a_exp_L1-5,,,1.0853340085326724,-0.06580025377327073,1.0195337547594017
A2,GLOBEX_1day,2,E1_d_model_L1-10,25.63954631120371,0.4436849818225415,1.0443872115091775,-0.02485345674977568,1.0195337547594017
A2,GLOBEX_1day,2,E1_d_model_L1-5,16.190164912700617,0.40345929071681075,1.110822126970479,0.45779107143104913,1.0195337547594017
A2,GLOBEX_1day,2,E2,1.0569176976215282,-0.3653791793075536,0.2723043172739663,0.7472294374854354,1.0195337547594017
A2,GLOBEX_1day,2,E4,1.396653174450876,-0.8660693118637294,0.13456731767836186,0.9190613468000074,1.0195337547594017
A2,GLOBEX_1day,3,E1_a_exp_L1-10,18.666096208499575,-0.328836314069159,0.9380913023082766,0.051377550919737974,0.9894688532280147
A2,GLOBEX_1day,3,E1_a_exp_L1-5,26.018012823926433,-0.3583140866623958,0.9378654168721182,0.051603436355896495,0.9894688532280147
A2,GLOBEX_1day,3,E1_d_model_L1-10,1.0,,1.0312757730539823,-0.04180691982596759,0.9894688532280147
A2,GLOBEX_1day,3,E1_d_model_L1-5,1.0,,1.0306584788751407,-0.04118962564712605,0.9894688532280147
A2,GLOBEX_1day,3,E2,1.0915315366107428,-0.3832899004671242,0.22979186054565848,0.7596769926823561,0.9894688532280147
A2,GLOBEX_1day,3,E4,1.3808130460494217,-0.8573554079447513,0.11080268300839557,0.9216594537505759,0.9894688532280147
A2,GLOBEX_1day,4,E1_a_exp_L1-10,32.13204138519793,4.303820640090987,1.014573819773283,0.0013209090683625434,1.0158947288416453
A2,GLOBEX_1day,4,E1_a_exp_L1-5,14.463023616364072,3.402087395440983,1.0127629805168132,0.003131748324832035,1.0158947288416453
A2,GLOBEX_1day,4,E1_d_model_L1-10,1.0,,1.0381428774956554,-0.02224814865401013,1.0158947288416453
A2,GLOBEX_1day,4,E1_d_model_L1-5,11.0281760430492,,1.0239101729844655,-0.008015444142820084,1.0158947288416453
A2,GLOBEX_1day,4,E2,1.0886795498392596,-0.4094144805154737,0.24744245383092503,0.7684522750107203,1.0158947288416453
A2,GLOBEX_1day,4,E4,1.3883459785313388,-0.8616465678293956,0.13535549053078436,0.9213107190712189,1.0158947288416453
A2,RTH_1day,0,E1_a_exp_L1-10,1.0,,0.9846370489672394,-0.004653861705611233,0.9799831872616281
A2,RTH_1day,0,E1_a_exp_L1-5,3.2050547880962754,0.35609699262223077,0.9890845689446459,-0.009101381683017783,0.9799831872616281
A2,RTH_1day,0,E1_d_model_L1-10,,,0.996792090404147,-0.016808903142518844,0.9799831872616281
A2,RTH_1day,0,E1_d_model_L1-5,67.06391282615438,-0.16184487613225096,0.9697608581904987,0.010222329071129427,0.9799831872616281
A2,RTH_1day,0,E2,1.0935943081915065,-0.7018238120830602,0.1429868689535333,0.8369963183080948,0.9799831872616281
A2,RTH_1day,0,E4,1.3346058042737867,-0.8650942150210952,0.1078170971344625,0.9177827719544263,0.9799831872616281
A2,RTH_1day,1,E1_a_exp_L1-10,1.0,,0.9821649485260371,-0.0021113321931844464,0.9800536163328526
A2,RTH_1day,1,E1_a_exp_L1-5,1.0,,0.9888904666736372,-0.008836850340784665,0.9800536163328526
