root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
ES,RTH,B0,1day,S-A,1401,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,629663445,"{""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0006, ""M3_HARJ"": 0.0006, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-B_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,4238439140,"{""M4_HARQ"": 0.0, ""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0018, ""M6_GK"": 0.0023, ""M1_EWMA"": 0.068, ""M3_HARJ"": 0.0817, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-C_q0.80,280,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,3945777218,"{""M4_HARQ"": 0.122, ""M1_EWMA"": 0.122, ""M6_PARK"": 0.122, ""M6_GK"": 0.122, ""M5_RGARCH"": 0.122, ""M3_HARJ"": 0.122, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-B_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M6_GK|M6_PARK,2768131305,"{""M4_HARQ"": 0.0001, ""M5_RGARCH"": 0.0001, ""M1_EWMA"": 0.2021, ""M6_PARK"": 0.2021, ""M6_GK"": 0.2021, ""M3_HARJ"": 0.2331, ""M2_HAR"": 1.0}"
ES,RTH,B0,1day,S-C_q0.90,140,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M5_RGARCH|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_GK|M6_PARK,3441137014,"{""M4_HARQ"": 0.1856, ""M1_EWMA"": 0.1856, ""M5_RGARCH"": 0.2658, ""M6_GK"": 0.3003, ""M6_PARK"": 0.3003, ""M3_HARJ"": 0.3643, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-A,10906,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M4_HARQ,310945355,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M3_HARJ"": 0.0058, ""M4_HARQ"": 0.1582, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-B_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,34901983,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0012, ""M4_HARQ"": 0.0352, ""M3_HARJ"": 0.0352, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-C_q0.80,2181,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,4016535017,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.6533, ""M3_HARJ"": 0.9607, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-B_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,2778071878,"{""M5_RGARCH"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0199, ""M4_HARQ"": 0.1559, ""M3_HARJ"": 0.1559, ""M2_HAR"": 1.0}"
ES,RTH,B0,1h,S-C_q0.90,1091,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,1734405981,"{""M5_RGARCH"": 0.0, ""M1_EWMA"": 0.0, ""M6_PARK"": 0.0, ""M6_GK"": 0.0, ""M4_HARQ"": 0.5576, ""M2_HAR"": 0.622, ""M3_HARJ"": 1.0}"
