cell,model,n_eval,n_replaced,share_replaced,replacement_value,mean_qlike,share_qlike_from_replaced,share_qlike_worst5,flag_replaced_over_quarter,ic
ES/GLOBEX/B0/30min,M4_HARQ,13019,0,0.0,2.474673692631768e-07,0.42130842771444094,0.0,0.10916295330408106,False,0.7959775829203045
ES/GLOBEX/B0/30min,M5_RGARCH,13019,0,0.0,2.474673692631768e-07,2.13972971224145e+115,0.0,0.9915819335022606,False,0.07116994682601013
ES/GLOBEX/B0/30min,M6_PARK,13019,13,0.0009985405945157077,2.474673692631768e-07,0.8423104212514982,0.002070787538808004,0.16956194805764643,False,0.8043239487052803
ES/GLOBEX/B0/30min,M6_GK,13019,13,0.0009985405945157077,2.474673692631768e-07,0.7487012610233121,0.0023296954539006884,0.15254634593628036,False,0.8096879367462215
NQ/RTH/B1/1day,M1_EWMA,1401,0,0.0,5.398064786277246e-06,0.2752353857775822,0.0,0.08116072308376694,False,0.7032070200986535
NQ/RTH/B1/1day,M2_HAR,1401,0,0.0,5.398064786277246e-06,0.1541909810118227,0.0,0.049998893359723434,False,0.8283085739402963
NQ/RTH/B1/1day,M3_HARJ,1401,1,0.0007137758743754461,5.398064786277246e-06,0.1677826924146339,0.030204444579381363,0.07136704533171631,False,0.8160778993753929
NQ/RTH/B1/1day,M4_HARQ,1401,2,0.0014275517487508922,5.398064786277246e-06,0.30948211332126857,0.4889385756149363,0.5078454985985693,True,0.8038051932778764
NQ/RTH/B1/1day,M5_RGARCH,1401,0,0.0,5.398064786277246e-06,0.6119449810489289,0.0,0.046476781837467035,False,0.8133223813841727
NQ/RTH/B1/1day,M6_PARK,1401,0,0.0,5.398064786277246e-06,0.34790009889894163,0.0,0.09268183829127681,False,0.757266600889624
