root,geom,btag,horizon,scheme,model,n,ic_pearson_log,r2_oos,ic_ir,ic_ir_n_blocks,ic_ir_block_len_windows,hit_rate,qlike_mean,lam_E2,ic_corrected_E2,r2_corrected_E2,lam_E4,ic_corrected_E4,r2_corrected_E4,lam_INT,ic_corrected_INT,r2_corrected_INT
NQ,RTH,B1,1day,S-A,M3_HARJ,1401,0.8160778993753929,0.6543613583873857,3.0856066463013723,22,63,0.39571428571428574,0.1677826924146339,0.9344009680731142,0.8442381565207232,0.7003003857506532,0.994621494991568,0.8182814316868838,0.6578998761663934,1.0097312791173454,0.8121359057272888,0.6480549547394376
NQ,RTH,B1,1day,S-A,M4_HARQ,1401,0.8038051932778764,0.6346446292789729,2.756894947629849,22,63,0.37214285714285716,0.30948211332126857,0.9344009680731142,0.8315419583033494,0.6791994560833051,0.994621494991568,0.8059755874484423,0.6380765270756119,1.0097312791173454,0.7999224818741738,0.6285282454889842
NQ,RTH,B1,1day,S-A,M5_RGARCH,1401,0.8133223813841727,0.204825858926595,3.0661607499892343,22,63,0.36857142857142855,0.6119449810489289,0.9344009680731142,0.8413875543527832,0.21920552945164323,0.994621494991568,0.8155184733852066,0.20593347314330002,1.0097312791173454,0.8093936980271902,0.20285185094557348
NQ,RTH,B1,1day,S-A,M6_PARK,1401,0.757266600889624,0.4147001369383636,3.141459715456071,22,63,0.5085714285714286,0.34790009889894163,0.9344009680731142,0.7833974668583552,0.44381389907326646,0.994621494991568,0.7593113339043894,0.4169426651511078,1.0097312791173454,0.7536086901277801,0.4107034668678115
NQ,RTH,B1,1day,S-A,M6_GK,1401,0.7613639407276012,0.46019018045743443,3.0621706312320525,22,63,0.4735714285714286,0.3152418924277181,0.9344009680731142,0.7876361928845106,0.4924975424698253,0.994621494991568,0.7634197371723785,0.46267870016355894,1.0097312791173454,0.7576862381203613,0.45575510036661315
NQ,RTH,B1,1day,S-B_q0.80,M1_EWMA,280,0.21404595374508248,-1.00826138645305,4.070118552519179,4,63,0.5806451612903226,0.4683745365772431,0.9344009680731142,0.22143199998281587,-1.0790457425705027,0.994621494991568,0.21462390981469567,-1.013713650398836,1.0097312791173454,0.21301202329467903,-0.9985442734173985
NQ,RTH,B1,1day,S-B_q0.80,M2_HAR,280,0.60101887279972,-0.5317109758278096,3.5175430981930655,4,63,0.4444444444444444,0.28349895516976975,0.9344009680731142,0.621758125780582,-0.5690394102697512,0.994621494991568,0.6026417135935263,-0.5345862506543931,1.0097312791173454,0.5981157031626296,-0.5265866145026266
NQ,RTH,B1,1day,S-B_q0.80,M3_HARJ,280,0.5933830817641165,-0.6051027309318224,3.221659670276699,4,63,0.4336917562724014,0.3029603354830266,0.9344009680731142,0.6138588478410503,-0.6475835873539836,0.994621494991568,0.5949853047807673,-0.6083748782615563,1.0097312791173454,0.5905167961546215,-0.5992710570091201
NQ,RTH,B1,1day,S-B_q0.80,M4_HARQ,280,0.4900978866575493,-1.0571871871961198,2.016889850237529,4,63,0.44802867383512546,1.0336741034633359,0.9344009680731142,0.5070096085963773,-1.1314063483647825,0.994621494991568,0.49142122420886625,-1.0629040218008583,1.0097312791173454,0.48773051124200134,-1.0469985520506584
NQ,RTH,B1,1day,S-B_q0.80,M5_RGARCH,280,0.5332548544101883,-4.201646176249436,3.9171426142691517,4,63,0.45161290322580644,1.2917965376807754,0.9344009680731142,0.5516557862767171,-4.496620101875439,0.994621494991568,0.5346947222253217,-4.22436695507476,1.0097312791173454,0.5306790129978495,-4.161152836547063
