root,geom,arm,ticks,n,ann_return,ann_vol,sharpe,sharpe_gross,max_drawdown,turnover,annual_cost_bps,share_invested
NQ,GLOBEX,A1_raw,0.5,640,0.029040240419253738,0.08101483114704118,0.3584558531825607,0.3609015300357305,-0.13114296353563404,45.14142648162479,1.9813609729977746,0.628125
NQ,GLOBEX,A1_raw,1.0,640,0.028842104321953957,0.08101483114704118,0.35601017632939086,0.3609015300357305,-0.13114296353563404,45.14142648162479,3.962721945995549,0.628125
NQ,GLOBEX,A1_raw,2.0,640,0.028445832127354406,0.08101483114704118,0.35111882262305133,0.3609015300357305,-0.13114296353563404,45.14142648162479,7.925443891991098,0.628125
NQ,GLOBEX,A1_raw,4.0,640,0.027653287738155296,0.08101483114704118,0.34133611521037216,0.3609015300357305,-0.13114296353563404,45.14142648162479,15.850887783982197,0.628125
NQ,GLOBEX,A2_ma5,0.5,640,0.029001973562325267,0.07552557342320353,0.384002030673958,0.38600772134748984,-0.07454203468550347,34.51196288601419,1.5148093822806223,0.55
NQ,GLOBEX,A2_ma5,1.0,640,0.028850492624097206,0.07552557342320353,0.3819963400004262,0.38600772134748984,-0.07454203468550347,34.51196288601419,3.0296187645612447,0.55
NQ,GLOBEX,A2_ma5,2.0,640,0.02854753074764108,0.07552557342320353,0.3779849586533625,0.38600772134748984,-0.07454203468550347,34.51196288601419,6.059237529122489,0.55
NQ,GLOBEX,A2_ma5,4.0,640,0.02794160699472883,0.07552557342320353,0.36996219595923524,0.38600772134748984,-0.07454203468550347,34.51196288601419,12.118475058244979,0.55
NQ,GLOBEX,A3_shrunk,0.5,640,0.029040240419253738,0.08101483114704118,0.3584558531825607,0.3609015300357305,-0.13114296353563404,45.14142648162479,1.9813609729977746,0.628125
NQ,GLOBEX,A3_shrunk,1.0,640,0.028842104321953957,0.08101483114704118,0.35601017632939086,0.3609015300357305,-0.13114296353563404,45.14142648162479,3.962721945995549,0.628125
NQ,GLOBEX,A3_shrunk,2.0,640,0.028445832127354406,0.08101483114704118,0.35111882262305133,0.3609015300357305,-0.13114296353563404,45.14142648162479,7.925443891991098,0.628125
NQ,GLOBEX,A3_shrunk,4.0,640,0.027653287738155296,0.08101483114704118,0.34133611521037216,0.3609015300357305,-0.13114296353563404,45.14142648162479,15.850887783982197,0.628125
NQ,GLOBEX,reference_kernel,0.5,640,0.01959420619205841,0.0832044627054514,0.2354946544324555,0.238064518646913,-0.1584593176114576,48.71564664544405,2.138241711899013,0.6421875
NQ,GLOBEX,reference_kernel,1.0,640,0.01938038202086851,0.0832044627054514,0.23292479021799806,0.238064518646913,-0.1584593176114576,48.71564664544405,4.276483423798026,0.6421875
NQ,GLOBEX,reference_kernel,2.0,640,0.018952733678488706,0.0832044627054514,0.2277850617890831,0.238064518646913,-0.1584593176114576,48.71564664544405,8.552966847596052,0.6421875
NQ,GLOBEX,reference_kernel,4.0,640,0.0180974369937291,0.0832044627054514,0.21750560493125318,0.238064518646913,-0.1584593176114576,48.71564664544405,17.105933695192103,0.6421875
NQ,GLOBEX,always_invested,0.5,640,0.06624480263607382,0.10276967364704735,0.6445948525981048,0.6460928103413572,-0.1217158508328211,35.07326640812788,1.5394462841112493,1.0
NQ,GLOBEX,always_invested,1.0,640,0.06609085800766269,0.10276967364704735,0.6430968948548522,0.6460928103413572,-0.1217158508328211,35.07326640812788,3.0788925682224986,1.0
NQ,GLOBEX,always_invested,2.0,640,0.06578296875084044,0.10276967364704735,0.6401009793683473,0.6460928103413572,-0.1217158508328211,35.07326640812788,6.157785136444997,1.0
NQ,GLOBEX,always_invested,4.0,640,0.06516719023719594,0.10276967364704735,0.6341091483953374,0.6460928103413572,-0.1217158508328211,35.07326640812788,12.315570272889994,1.0
ES,RTH,A1_raw,0.5,620,-0.023800892930562846,0.08207007052024115,-0.29000697549897647,-0.2741992066539075,-0.15185859683261782,78.69855199763775,12.973447038824803,0.682258064516129
ES,RTH,A1_raw,1.0,620,-0.02509823763444533,0.08207007052024115,-0.30581474434404543,-0.2741992066539075,-0.15185859683261782,78.69855199763775,25.946894077649606,0.682258064516129
