root,geom,H,M,sigma_w,implied_rq_rv2,measured_rq_rv2,constant_vol_value,abs_discrepancy,prop_discrepancy,sd_log_within_window_var,is_calibration_point
ES,RTH,0.05,6,1.650273784607649,0.8003018465475077,0.8127350736684258,1.0,-0.0124332271209181,-0.015298007338108932,1.0723729647113518,False
ES,RTH,0.05,10,1.650273784607649,0.9264548531688334,0.9489043642702568,1.0,-0.02244951110142346,-0.023658349509950827,1.0723729647113518,False
ES,RTH,0.05,13,1.650273784607649,1.0088212911424592,1.0226997230727517,1.0,-0.013878431930292479,-0.013570387883350632,1.0723729647113518,False
ES,RTH,0.05,26,1.650273784607649,1.1682297888664792,1.2006506074244323,1.0,-0.03242081855795309,-0.027002708662681174,1.0723729647113518,False
ES,RTH,0.05,78,1.650273784607649,1.506036777684917,1.5060366662142837,1.0,1.114706333904536e-07,7.40158827561288e-08,1.0723729647113518,True
ES,RTH,0.05,195,1.650273784607649,2.059980714068887,1.7512306323795346,1.0,0.3087500816893525,0.1763046374250714,1.0723729647113518,False
ES,RTH,0.05,389,1.650273784607649,2.7427930938944813,1.9283603774237197,1.0,0.8144327164707617,0.42234466441321517,1.0723729647113518,False
ES,RTH,0.1,5,1.495183198481798,0.7500883131450804,0.7638973463386984,1.0,-0.013809033193618037,-0.018077079675435037,0.909996273923611,False
ES,RTH,0.1,6,1.495183198481798,0.7889944626835651,0.8127350736684258,1.0,-0.02374061098486069,-0.02921076222009611,0.909996273923611,False
ES,RTH,0.1,10,1.495183198481798,0.9342088196092582,0.9489043642702568,1.0,-0.01469554466099865,-0.015486855382207065,0.909996273923611,False
ES,RTH,0.1,13,1.495183198481798,1.0332552054339508,1.0226997230727517,1.0,0.010555482361199076,0.010321194113052767,0.909996273923611,False
ES,RTH,0.1,26,1.495183198481798,1.238035219851022,1.2006506074244323,1.0,0.03738461242658975,0.031136962073242236,0.909996273923611,False
ES,RTH,0.1,78,1.495183198481798,1.5060366148692095,1.5060366662142837,1.0,-5.13450741923549e-08,-3.409284465849538e-08,0.909996273923611,True
ES,RTH,0.1,195,1.495183198481798,1.7862881038433165,1.7512306323795346,1.0,0.03505747146378191,0.020018763271715034,0.909996273923611,False
ES,RTH,0.1,389,1.495183198481798,2.102710598365173,1.9283603774237197,1.0,0.17435022094145336,0.0904137125936928,0.909996273923611,False
ES,RTH,0.2,5,1.6030905067622665,0.7460911783168336,0.7638973463386984,1.0,-0.017806168021864854,-0.023309634608901897,0.8410883609141194,False
ES,RTH,0.2,6,1.6030905067622665,0.8065122798379641,0.8127350736684258,1.0,-0.006222793830461648,-0.007656607955128569,0.8410883609141194,False
ES,RTH,0.2,10,1.6030905067622665,0.9360083459171941,0.9489043642702568,1.0,-0.012896018353062755,-0.013590430014493893,0.8410883609141194,False
ES,RTH,0.2,13,1.6030905067622665,1.0370872865641472,1.0226997230727517,1.0,0.014387563491395472,0.01406821882005338,0.8410883609141194,False
ES,RTH,0.2,26,1.6030905067622665,1.2594330677845957,1.2006506074244323,1.0,0.058782460360163435,0.04895883947975532,0.8410883609141194,False
ES,RTH,0.2,78,1.6030905067622665,1.5060366268218406,1.5060366662142837,1.0,-3.939244308526213e-08,-2.6156363852614106e-08,0.8410883609141194,True
ES,RTH,0.2,195,1.6030905067622665,1.7324837158201303,1.7512306323795346,1.0,-0.018746916559404303,-0.010704995797116368,0.8410883609141194,False
ES,RTH,0.2,389,1.6030905067622665,1.8230274997240077,1.9283603774237197,1.0,-0.105332877699712,-0.054623025308389805,0.8410883609141194,False
ES,RTH,0.3,5,1.696414750963449,0.7860480386684935,0.7638973463386984,1.0,0.022150692329795052,0.028996948917235477,0.8102124398419005,False
ES,RTH,0.3,6,1.696414750963449,0.8468321836647926,0.8127350736684258,1.0,0.03409710999636684,0.041953535784377216,0.8102124398419005,False
ES,RTH,0.3,10,1.696414750963449,0.9896138138482979,0.9489043642702568,1.0,0.040709449578041124,0.04290153055555623,0.8102124398419005,False
ES,RTH,0.3,13,1.696414750963449,1.0712091470944196,1.0226997230727517,1.0,0.04850942402166791,0.047432714537087195,0.8102124398419005,False
ES,RTH,0.3,26,1.696414750963449,1.2411407236142844,1.2006506074244323,1.0,0.0404901161898521,0.03372347953640675,0.8102124398419005,False
ES,RTH,0.3,78,1.696414750963449,1.5060367391571798,1.5060366662142837,1.0,7.294289616766036e-08,4.843367884532768e-08,0.8102124398419005,True
ES,RTH,0.3,195,1.696414750963449,1.6536588378617216,1.7512306323795346,1.0,-0.09757179451781295,-0.055716130539148034,0.8102124398419005,False
ES,RTH,0.3,389,1.696414750963449,1.7319231396847174,1.9283603774237197,1.0,-0.19643723773900224,-0.10186749325426481,0.8102124398419005,False
ES,RTH,0.45,5,1.881388389617205,0.8252133653453315,0.7638973463386984,1.0,0.06131601900663308,0.08026735437754318,0.7644863250526278,False
ES,RTH,0.45,6,1.881388389617205,0.8788525312998423,0.8127350736684258,1.0,0.06611745763141652,0.08135179565092909,0.7644863250526278,False
ES,RTH,0.45,10,1.881388389617205,1.01028110263086,0.9489043642702568,1.0,0.0613767383606032,0.0646816904544476,0.7644863250526278,False
ES,RTH,0.45,13,1.881388389617205,1.0977986184360353,1.0226997230727517,1.0,0.07509889536328362,0.07343200909221448,0.7644863250526278,False
ES,RTH,0.45,26,1.881388389617205,1.2394055691862058,1.2006506074244323,1.0,0.03875496176177351,0.032278301049552205,0.7644863250526278,False
ES,RTH,0.45,78,1.881388389617205,1.5060367228837104,1.5060366662142837,1.0,5.6669426706790205e-08,3.762818523433964e-08,0.7644863250526278,True
ES,RTH,0.45,195,1.881388389617205,1.5850820369265255,1.7512306323795346,1.0,-0.16614859545300908,-0.09487533645254365,0.7644863250526278,False
ES,RTH,0.45,389,1.881388389617205,1.617061195007145,1.9283603774237197,1.0,-0.3112991824165747,-0.16143205702684527,0.7644863250526278,False
ES,RTH,0.5,5,1.9641432735025883,0.807926401279297,0.7638973463386984,1.0,0.04402905494059861,0.057637397422083625,0.7751640954007181,False
ES,RTH,0.5,6,1.9641432735025883,0.861319408802461,0.8127350736684258,1.0,0.04858433513403526,0.05977880948922398,0.7751640954007181,False
ES,RTH,0.5,10,1.9641432735025883,1.0083567279119274,0.9489043642702568,1.0,0.059452363641670614,0.062653693965663,0.7751640954007181,False
