root,geom,q,lag,S_naive,nugget,S_corrected,nugget_share
NQ,GLOBEX,0.5,10,0.8863581444970685,0.13868386397758925,0.7476742805194793,0.15646481598731213
NQ,GLOBEX,0.5,11,0.9218758790585658,0.13868386397758925,0.7831920150809766,0.1504365903566274
NQ,GLOBEX,0.5,12,0.9333557644771319,0.13868386397758925,0.7946719004995426,0.14858628323282524
NQ,GLOBEX,0.5,13,0.9631726246844355,0.13868386397758925,0.8244887607068463,0.14398650919198028
NQ,GLOBEX,0.5,14,0.9803853259035876,0.13868386397758925,0.8417014619259984,0.14145852688050903
NQ,GLOBEX,0.5,15,0.9568667270108516,0.13868386397758925,0.8181828630332624,0.1449354022485688
NQ,GLOBEX,0.5,16,0.985234533963183,0.13868386397758925,0.8465506699855937,0.1407622847117656
NQ,GLOBEX,0.5,17,1.0434659968687894,0.13868386397758925,0.9047821328912001,0.13290693170045678
NQ,GLOBEX,0.5,18,1.0375065679991171,0.13868386397758925,0.8988227040215279,0.13367034798155347
NQ,GLOBEX,0.5,19,1.0511950569821271,0.13868386397758925,0.9125111930045379,0.13192971471511325
NQ,GLOBEX,0.5,20,1.0522246842057383,0.13868386397758925,0.9135408202281491,0.13180061830831638
NQ,GLOBEX,0.5,21,1.1195206640731825,0.13868386397758925,0.9808368000955933,0.12387789562812711
NQ,GLOBEX,0.5,22,1.155627453076545,0.13868386397758925,1.0169435890989558,0.12000741554588466
NQ,GLOBEX,0.5,23,1.1724753613396,0.13868386397758925,1.0337914973620106,0.11828296657691587
NQ,GLOBEX,0.5,24,1.1887753725892503,0.13868386397758925,1.050091508611661,0.11666111796673952
NQ,GLOBEX,0.5,25,1.180237125932759,0.13868386397758925,1.04155326195517,0.11750508514802507
NQ,GLOBEX,0.5,26,1.2122690423477198,0.13868386397758925,1.0735851783701307,0.11440023553600738
NQ,GLOBEX,0.5,27,1.1958682954560658,0.13868386397758925,1.0571844314784764,0.11596917863325382
NQ,GLOBEX,0.5,28,1.2242819214405194,0.13868386397758925,1.08559805746293,0.11327771941156371
NQ,GLOBEX,0.5,29,1.202745468619794,0.13868386397758925,1.064061604642205,0.11530607896343636
NQ,GLOBEX,0.5,30,1.1873448362493502,0.13868386397758925,1.0486609722717608,0.11680167356913046
NQ,GLOBEX,0.5,31,1.2017633640130212,0.13868386397758925,1.0630795000354318,0.11540030935415219
NQ,GLOBEX,0.5,32,1.2332514004204584,0.13868386397758925,1.0945675364428693,0.11245384674228391
NQ,GLOBEX,0.5,33,1.2193989679050934,0.13868386397758925,1.080715103927504,0.11373132799664884
NQ,GLOBEX,0.5,34,1.2251306781187647,0.13868386397758925,1.0864468141411754,0.1131992418886642
NQ,GLOBEX,0.5,35,1.2196799898708468,0.13868386397758925,1.0809961258932574,0.11370512358104246
NQ,GLOBEX,0.5,36,1.2211465791696212,0.13868386397758925,1.0824627151920319,0.11356856444858092
NQ,GLOBEX,0.5,37,1.2592619303703076,0.13868386397758925,1.1205780663927185,0.11013107013947994
NQ,GLOBEX,0.5,38,1.2714322051237057,0.13868386397758925,1.1327483411461166,0.10907688464922581
NQ,GLOBEX,0.5,39,1.272312936994616,0.13868386397758925,1.1336290730170266,0.10900137846997002
NQ,GLOBEX,0.5,40,1.2689113938280812,0.13868386397758925,1.130227529850492,0.10929357609376063
NQ,GLOBEX,1.0,1,0.36872973261042147,0.13868386397758925,0.23004586863283222,0.3761125065661971
NQ,GLOBEX,1.0,2,0.5056898380639885,0.13868386397758925,0.36700597408639923,0.2742468871997396
NQ,GLOBEX,1.0,3,0.596061090921751,0.13868386397758925,0.4573772269441617,0.23266719819461465
NQ,GLOBEX,1.0,4,0.6461330103223784,0.13868386397758925,0.5074491463447891,0.21463671064939868
NQ,GLOBEX,1.0,5,0.6935859356370316,0.13868386397758925,0.5549020716594424,0.1999519552688356
NQ,GLOBEX,1.0,6,0.7476049539680868,0.13868386397758925,0.6089210899904975,0.18550420678928417
NQ,GLOBEX,1.0,7,0.8201892430669757,0.13868386397758925,0.6815053790893865,0.16908764062669435
