root,geom,kappa,seed_index,seed,b,c,A,rmse,cond,corr_cb,corr_Ab,first_share
NQ,GLOBEX,6.0,3,440114029,-1.3504685678471902,1.039932484689879,4.259805431539604,0.01404835350962976,151.26960466622154,-0.5914417014905587,-0.9839596289251094,0.0065805971686929005
NQ,GLOBEX,6.0,4,270725836,-1.0114210580015361,1.0028288290015899,2.6668336928653913,0.003062907985337231,70.79233294202756,-0.6758293641417477,-0.9736301363296227,0.006446190783259849
NQ,GLOBEX,10.0,0,1454030217,-1.1894984172373761,1.0179994078863526,3.397098171591609,0.008317166232253993,105.31505193495315,-0.6245844192379053,-0.9798671198826872,0.009332051612614991
NQ,GLOBEX,10.0,1,3224282933,-1.0827640571719752,0.9793554891254649,2.866143980050711,0.008321618451093173,82.81049247036661,-0.6531848506394091,-0.9764035451335685,0.0091773832649912
NQ,GLOBEX,10.0,2,3729810799,-1.0603621213523948,1.0040143349352066,2.5221745864475698,0.018250204097706467,78.36110891104661,-0.6599721347926587,-0.9755782543986902,0.009779107087372167
NQ,GLOBEX,10.0,3,4198968083,-1.0999717562085134,1.0948402649785254,3.0767715158654316,0.0055681037528222815,86.34937495279041,-0.6481610715224156,-0.9770124594190125,0.009089775442572466
NQ,GLOBEX,10.0,4,3175594224,-1.2418109561968154,0.9781320171630566,3.468949357596249,0.010829543455560265,118.10838472334945,-0.6126276966960259,-0.9813263082728343,0.008936780576600578
NQ,GLOBEX,20.0,0,3211166961,-1.2967466002117343,1.0393717936827247,3.6911122460519885,0.006908958051676706,133.57641717431306,-0.6013458354868645,-0.9827192833862276,0.016465778377040205
NQ,GLOBEX,20.0,1,1589708200,-1.2065325315200495,1.0292482312810685,3.5901228196011394,0.006974057277000823,109.65196391963782,-0.6205532936180045,-0.9803575453280108,0.016703357689963748
NQ,GLOBEX,20.0,2,2098631362,-1.1424049264394347,1.009780709406626,2.9959248773454057,0.004856433639643807,94.42123366081488,-0.6364678519778038,-0.9784270655186763,0.01621184129628061
NQ,GLOBEX,20.0,3,346421995,-1.1964821133453398,0.9758578447613764,3.658418374089097,0.013667094035073095,107.47684113752572,-0.6229123811409565,-0.9800703849186642,0.016334448699103225
