cell,root,geom,btag,horizon,model,n_eval,n_nonpositive,n_below_1e12,n_below_1e6,n_above_100x_mean_rv,min_forecast,p001_forecast,max_forecast,in_sample_mean_rv,worst1_share_of_qlike,worst5_share_of_qlike
ES/RTH/B0/1day,ES,RTH,B0,1day,M2_HAR,1401,0,0,0,0,1.0778894043987329e-05,1.1482690039375243e-05,0.002793777296483569,8.94786517924438e-05,,
ES/RTH/B0/1day,ES,RTH,B0,1day,M3_HARJ,1401,0,0,1,0,6.90907538484123e-07,8.71285635202034e-06,0.0027272088305338314,8.94786517924438e-05,,
ES/RTH/B0/1day,ES,RTH,B0,1day,M4_HARQ,1401,0,2,2,0,1e-300,2.369689355536551e-06,0.0026751026425571606,8.94786517924438e-05,0.6903533682708637,1.0
ES/RTH/B0/1day,ES,RTH,B0,1day,M5_RGARCH,1401,0,0,0,0,4.705885634722126e-06,5.307391540601523e-06,0.0011277609011082824,8.94786517924438e-05,,
ES/RTH/B0/1day,ES,RTH,B0,1day,M6_PARK,1401,0,0,0,0,1.0901545164284648e-06,1.3429323524663163e-06,0.0019262990344569905,8.94786517924438e-05,,
ES/RTH/B0/1day,ES,RTH,B0,1day,M6_GK,1401,0,0,0,0,1.2379649391915974e-06,1.4932799281352364e-06,0.002495843775670069,8.94786517924438e-05,,
ES/RTH/B0/1h,ES,RTH,B0,1h,M1_EWMA,10906,0,0,440,0,3.2518711427870987e-07,3.743541025027754e-07,0.00021227594021855085,1.0959379844948846e-05,,
ES/RTH/B0/1h,ES,RTH,B0,1h,M2_HAR,10906,0,0,2,0,9.515737867762421e-07,1.0724988774164928e-06,0.0004696150919966292,1.0959379844948846e-05,,
ES/RTH/B0/1h,ES,RTH,B0,1h,M3_HARJ,10906,0,0,5,0,8.78263544200796e-07,1.0481522367785011e-06,0.0006511676566955725,1.0959379844948846e-05,,
ES/RTH/B0/1h,ES,RTH,B0,1h,M4_HARQ,10906,0,2,114,0,1e-300,7.20490703394635e-07,0.0007220965567824923,1.0959379844948846e-05,0.8255455113177376,1.0
ES/RTH/B0/1h,ES,RTH,B0,1h,M5_RGARCH,10906,0,0,2095,0,1.7022052191316894e-07,1.9649134674171596e-07,0.0001780567714624434,1.0959379844948846e-05,,
ES/RTH/B0/1h,ES,RTH,B0,1h,M6_PARK,10906,0,0,2587,1,2.8161122501223103e-08,6.993555907614547e-08,0.0013248280008279294,1.0959379844948846e-05,,
ES/RTH/B0/1h,ES,RTH,B0,1h,M6_GK,10906,0,0,2628,1,1.811227905923246e-08,6.327069193543136e-08,0.0015992650940953488,1.0959379844948846e-05,,
ES/RTH/B0/30min,ES,RTH,B0,30min,M1_EWMA,22312,0,0,4695,0,1.4982931778220398e-07,1.7792705531345613e-07,0.0001390646190069409,5.417101878367372e-06,,
ES/RTH/B0/30min,ES,RTH,B0,30min,M2_HAR,22312,0,0,2589,0,4.102349208753688e-07,4.6787202627424853e-07,0.00037051002077980697,5.417101878367372e-06,,
ES/RTH/B0/30min,ES,RTH,B0,30min,M3_HARJ,22312,0,0,2601,0,4.1429448233996344e-07,4.6391191837513337e-07,0.00039297546083003044,5.417101878367372e-06,,
ES/RTH/B0/30min,ES,RTH,B0,30min,M4_HARQ,22312,0,2,3354,0,1e-300,3.4058451299496106e-07,0.0003607921909810596,5.417101878367372e-06,0.8128852594328605,1.0
ES/RTH/B0/30min,ES,RTH,B0,30min,M5_RGARCH,22312,0,0,9277,0,5.4581740095742015e-08,7.091440259851341e-08,0.00013609507705288645,5.417101878367372e-06,,
ES/RTH/B0/30min,ES,RTH,B0,30min,M6_PARK,22312,0,0,9790,0,1.439735706716802e-08,2.8973218367004656e-08,0.0004758105246493829,5.417101878367372e-06,,
ES/RTH/B0/30min,ES,RTH,B0,30min,M6_GK,22312,0,0,10116,1,4.53889598871476e-09,1.859147681471818e-08,0.0005803847273643193,5.417101878367372e-06,,
ES/RTH/B1/1day,ES,RTH,B1,1day,M1_EWMA,1401,0,0,0,0,9.37285705324756e-06,9.63679800295276e-06,0.000482882970821611,8.791473470957887e-05,,
ES/RTH/B1/1day,ES,RTH,B1,1day,M2_HAR,1401,0,0,0,0,1.0031810980659356e-05,1.088846119900979e-05,0.0027231248610526133,8.791473470957887e-05,,
ES/RTH/B1/1day,ES,RTH,B1,1day,M3_HARJ,1401,0,0,0,0,2.177677810753047e-06,8.82649165227669e-06,0.002734218495335264,8.791473470957887e-05,,
ES/RTH/B1/1day,ES,RTH,B1,1day,M4_HARQ,1401,0,2,2,0,1e-300,2.060195081416471e-06,0.0025995346718850295,8.791473470957887e-05,0.6795455837031924,1.0
ES/RTH/B1/1day,ES,RTH,B1,1day,M5_RGARCH,1401,0,0,0,0,3.959863763016886e-06,4.762616288059606e-06,0.0010646983190147215,8.791473470957887e-05,,
ES/RTH/B1/1day,ES,RTH,B1,1day,M6_PARK,1401,0,0,1,0,8.887392953968453e-07,1.3442588437145596e-06,0.0018403793330087753,8.791473470957887e-05,,
ES/RTH/B1/1day,ES,RTH,B1,1day,M6_GK,1401,0,0,1,0,9.771952359953329e-07,1.1841262550702308e-06,0.0025245222074699323,8.791473470957887e-05,,
ES/RTH/B1/1h,ES,RTH,B1,1h,M1_EWMA,10906,0,0,468,0,3.3642576405860535e-07,3.7401454670127395e-07,0.00020392382031851638,1.087633038879267e-05,,
ES/RTH/B1/1h,ES,RTH,B1,1h,M2_HAR,10906,0,0,4,0,9.397327515006805e-07,1.0479171608509947e-06,0.0004689949065461874,1.087633038879267e-05,,
ES/RTH/B1/1h,ES,RTH,B1,1h,M3_HARJ,10906,0,0,7,0,8.787545579633997e-07,1.0299697324610855e-06,0.00061671195533319,1.087633038879267e-05,,
ES/RTH/B1/1h,ES,RTH,B1,1h,M4_HARQ,10906,0,2,123,0,1e-300,7.051958380170077e-07,0.0005919282042492402,1.087633038879267e-05,0.8100606215419266,1.0
ES/RTH/B1/1h,ES,RTH,B1,1h,M5_RGARCH,10906,0,0,1622,0,2.057562422962486e-07,2.394035206456444e-07,0.00019763632717696334,1.087633038879267e-05,,
ES/RTH/B1/1h,ES,RTH,B1,1h,M6_PARK,10906,0,0,2604,1,2.8161122501223103e-08,6.994910716127988e-08,0.0013248280008279294,1.087633038879267e-05,,
ES/RTH/B1/1h,ES,RTH,B1,1h,M6_GK,10906,0,0,2641,1,1.811227905923246e-08,6.334409011400474e-08,0.0015992650940953488,1.087633038879267e-05,,
ES/RTH/B1/30min,ES,RTH,B1,30min,M1_EWMA,22312,0,0,4851,0,1.499517430439169e-07,1.827908518220286e-07,0.00013180132040671404,5.376249228656165e-06,,
ES/RTH/B1/30min,ES,RTH,B1,30min,M2_HAR,22312,0,0,2654,0,4.062444441740691e-07,4.586062435860614e-07,0.0003676136366485408,5.376249228656165e-06,,
ES/RTH/B1/30min,ES,RTH,B1,30min,M3_HARJ,22312,0,0,2663,0,3.99371807485279e-07,4.5063012688920295e-07,0.00039032829245106587,5.376249228656165e-06,,
ES/RTH/B1/30min,ES,RTH,B1,30min,M4_HARQ,22312,0,2,3542,0,1e-300,3.292095509724333e-07,0.00035891669798879673,5.376249228656165e-06,0.5739606754739329,1.0
ES/RTH/B1/30min,ES,RTH,B1,30min,M5_RGARCH,22312,0,0,8839,0,7.440894935622486e-08,9.237941954395199e-08,0.00016089961368100718,5.376249228656165e-06,,
ES/RTH/B1/30min,ES,RTH,B1,30min,M6_PARK,22312,0,0,9821,0,1.439735706716802e-08,2.8973218367004656e-08,0.0004758105246493829,5.376249228656165e-06,,
ES/RTH/B1/30min,ES,RTH,B1,30min,M6_GK,22312,0,0,10157,1,4.53889598871476e-09,1.859147681471818e-08,0.0005803847273643193,5.376249228656165e-06,,
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M1_EWMA,1401,0,0,0,0,1.8335512318438473e-05,1.9472181110970658e-05,0.0005413269536610778,0.00013851156411203802,,
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M2_HAR,1401,0,0,0,0,1.4979398928063345e-05,1.5982424650932342e-05,0.002897679681946243,0.00013851156411203802,,
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M3_HARJ,1401,0,0,0,0,1.4074684191742149e-05,1.5118211118956401e-05,0.0026652148647450438,0.00013851156411203802,,
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M4_HARQ,1401,0,1,1,0,1e-300,1.3940267122183153e-05,0.0026791463452228246,0.00013851156411203802,1.0,1.0
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M5_RGARCH,1401,0,0,0,0,3.4724899337667563e-06,3.7781575249573515e-06,0.0007133067061750909,0.00013851156411203802,,
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M6_PARK,1401,0,0,0,0,1.754955006892871e-06,3.428691209540027e-06,0.0019163575103530825,0.00013851156411203802,,
NQ/RTH/B0/1day,NQ,RTH,B0,1day,M6_GK,1401,0,0,0,0,2.1077455142110593e-06,3.0819638621217134e-06,0.002235450489898732,0.00013851156411203802,,
NQ/RTH/B0/1h,NQ,RTH,B0,1h,M1_EWMA,10906,0,0,54,0,6.630936884987873e-07,8.521854226992097e-07,0.0002664612103667473,1.738784185390015e-05,,
NQ/RTH/B0/1h,NQ,RTH,B0,1h,M2_HAR,10906,0,0,0,0,1.3196565878154424e-06,1.5836249683707685e-06,0.0005739726370197391,1.738784185390015e-05,,
NQ/RTH/B0/1h,NQ,RTH,B0,1h,M3_HARJ,10906,0,0,0,0,1.300554101576306e-06,1.5380090420074197e-06,0.0006455483459137834,1.738784185390015e-05,,
