root,geom,btag,horizon,year,n_windows,n_rv_exact_zero,share_rv_exact_zero,n_rv_lt_1e14,share_rv_lt_1e14,min_rv
NQ,RTH,B0,1h,2017,1422,0,0.0,0,0.0,3.32537638314534e-07
NQ,RTH,B0,1h,2018,1416,0,0.0,0,0.0,5.100919224787503e-07
NQ,RTH,B0,1h,2019,1422,0,0.0,0,0.0,1.8816535884980112e-07
NQ,RTH,B0,1h,2020,1434,0,0.0,0,0.0,5.628926373901777e-07
NQ,RTH,B0,1h,2021,1434,0,0.0,0,0.0,3.4143431548727676e-07
NQ,RTH,B0,1h,2022,1428,0,0.0,0,0.0,2.158918505301699e-06
NQ,RTH,B0,1h,2023,1416,0,0.0,0,0.0,6.612208380829543e-07
NQ,RTH,B0,1h,0,11406,0,0.0,0,0.0,1.8816535884980112e-07
NQ,RTH,B0,30min,2016,2868,0,0.0,0,0.0,1.52806933328975e-07
NQ,RTH,B0,30min,2017,2844,0,0.0,0,0.0,9.315954230260104e-08
NQ,RTH,B0,30min,2018,2832,0,0.0,0,0.0,1.714552126941271e-07
NQ,RTH,B0,30min,2019,2844,0,0.0,0,0.0,6.821301212767139e-08
NQ,RTH,B0,30min,2020,2868,0,0.0,0,0.0,1.7313413991359994e-07
NQ,RTH,B0,30min,2021,2868,0,0.0,0,0.0,1.661173882894218e-07
NQ,RTH,B0,30min,2022,2856,0,0.0,0,0.0,7.83124050940387e-07
NQ,RTH,B0,30min,2023,2832,0,0.0,0,0.0,2.6125508156837896e-07
NQ,RTH,B0,30min,0,22812,0,0.0,0,0.0,6.821301212767139e-08
NQ,RTH,B1,1day,2016,239,0,0.0,0,0.0,8.311114470416214e-06
NQ,RTH,B1,1day,2017,237,0,0.0,0,0.0,5.3973208196111955e-06
NQ,RTH,B1,1day,2018,236,0,0.0,0,0.0,1.1619265933404677e-05
NQ,RTH,B1,1day,2019,237,0,0.0,0,0.0,4.210405677440576e-06
NQ,RTH,B1,1day,2020,239,0,0.0,0,0.0,1.1966327292611822e-05
NQ,RTH,B1,1day,2021,239,0,0.0,0,0.0,1.238874301634496e-05
NQ,RTH,B1,1day,2022,238,0,0.0,0,0.0,5.8939173868566286e-05
NQ,RTH,B1,1day,2023,236,0,0.0,0,0.0,1.1471118341432884e-05
NQ,RTH,B1,1day,0,1901,0,0.0,0,0.0,4.210405677440576e-06
NQ,RTH,B1,1h,2016,1434,0,0.0,0,0.0,4.5225078793009743e-07
NQ,RTH,B1,1h,2017,1422,0,0.0,0,0.0,3.326113073853776e-07
NQ,RTH,B1,1h,2018,1416,0,0.0,0,0.0,5.093052095617168e-07
NQ,RTH,B1,1h,2019,1422,0,0.0,0,0.0,1.8662831280380487e-07
NQ,RTH,B1,1h,2020,1434,0,0.0,0,0.0,5.627971404464915e-07
NQ,RTH,B1,1h,2021,1434,0,0.0,0,0.0,3.411878424230963e-07
NQ,RTH,B1,1h,2022,1428,0,0.0,0,0.0,2.1599344108835794e-06
NQ,RTH,B1,1h,2023,1416,0,0.0,0,0.0,6.620275598834269e-07
NQ,RTH,B1,1h,0,11406,0,0.0,0,0.0,1.8662831280380487e-07
NQ,RTH,B1,30min,2016,2868,0,0.0,0,0.0,1.52806933328975e-07
NQ,RTH,B1,30min,2017,2844,0,0.0,0,0.0,9.323321137344465e-08
NQ,RTH,B1,30min,2018,2832,0,0.0,0,0.0,1.7123966244980693e-07
NQ,RTH,B1,30min,2019,2844,0,0.0,0,0.0,6.793925422243774e-08
NQ,RTH,B1,30min,2020,2868,0,0.0,0,0.0,1.7381626093992963e-07
NQ,RTH,B1,30min,2021,2868,0,0.0,0,0.0,1.661173882894218e-07
NQ,RTH,B1,30min,2022,2856,0,0.0,0,0.0,7.822682164260186e-07
NQ,RTH,B1,30min,2023,2832,0,0.0,0,0.0,2.615324774524197e-07
NQ,RTH,B1,30min,0,22812,0,0.0,0,0.0,6.793925422243774e-08
