root,geom,btag,horizon,reference,M,n_ref_nonpositive,var_log_ref,var_log_rv,lam_ref,elasticity,elasticity_r2,n_dropped
ES,RTH,B1,1day,tsrv,6,0,1.318447394596061,1.8424833951475572,0.715581697001113,-1.33406361136883,0.9883481991942217,3
ES,RTH,B1,1day,tsrv,10,0,1.318447394596061,1.6110380074526773,0.8183837926212235,-1.33406361136883,0.9883481991942217,3
ES,RTH,B1,1day,tsrv,13,0,1.318447394596061,1.5395361920738684,0.8563925949801905,-1.33406361136883,0.9883481991942217,3
ES,RTH,B1,1day,tsrv,26,0,1.318447394596061,1.3880202216140394,0.9498762151050821,-1.33406361136883,0.9883481991942217,3
ES,RTH,B1,1day,tsrv,78,0,1.318447394596061,1.296075064084177,1.0172616009148303,-1.33406361136883,0.9883481991942217,3
ES,RTH,B1,1day,tsrv,195,0,1.318447394596061,1.1909780923944289,1.1070290906404152,-1.33406361136883,0.9883481991942217,3
ES,RTH,B1,1day,tsrv,389,0,1.318447394596061,1.0981077479095862,1.200653940477084,-1.33406361136883,0.9883481991942217,3
NQ,RTH,B0,1day,kernel,5,0,1.12830138076677,1.8163782746876298,0.6211819401775264,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,6,0,1.12830138076677,1.663586383510003,0.6782343207126794,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,10,0,1.12830138076677,1.4517097176797054,0.7772224481421499,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,13,0,1.12830138076677,1.3351090740917526,0.845100525988358,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,26,0,1.12830138076677,1.2051036307441039,0.9362691738552712,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,78,0,1.12830138076677,1.1349450880328027,0.9941462302131742,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,195,0,1.12830138076677,1.080826877393913,1.0439242438967908,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,kernel,389,0,1.12830138076677,1.0468256676780079,1.0778312145034479,-1.6630712718941745,0.9777421177383125,2
NQ,RTH,B0,1day,tsrv,5,0,1.137133470890696,1.8163782746876298,0.6260444130704291,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,6,0,1.137133470890696,1.663586383510003,0.6835433868432227,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,10,0,1.137133470890696,1.4517097176797054,0.7833063711305849,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,13,0,1.137133470890696,1.3351090740917526,0.8517157833447163,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,26,0,1.137133470890696,1.2051036307441039,0.9435980789374612,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,78,0,1.137133470890696,1.1349450880328027,1.0019281839103655,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,195,0,1.137133470890696,1.080826877393913,1.0520958487195926,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B0,1day,tsrv,389,0,1.137133470890696,1.0468256676780079,1.0862682354866233,-1.3812201029413487,0.9905982013695354,3
NQ,RTH,B1,1day,kernel,5,0,1.1352047023710694,1.8290644792899533,0.620647721950053,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,6,0,1.1352047023710694,1.6687166754392468,0.6802860659807669,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,10,0,1.1352047023710694,1.4544993355579572,0.780477979342353,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,13,0,1.1352047023710694,1.3365058948082371,0.8493824881587593,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,26,0,1.1352047023710694,1.2109025819433092,0.9374864000613852,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,78,0,1.1352047023710694,1.1394686502729452,0.9962579506677481,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,195,0,1.1352047023710694,1.0875639072138068,1.0438050535157166,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,kernel,389,0,1.1352047023710694,1.0533883925697205,1.0776696519331863,-1.8095682959167763,0.9658075081535293,2
NQ,RTH,B1,1day,tsrv,5,0,1.1349146238804722,1.8290644792899533,0.6204891280383119,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,6,0,1.1349146238804722,1.6687166754392468,0.6801122327022561,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,10,0,1.1349146238804722,1.4544993355579572,0.7802785440566119,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,13,0,1.1349146238804722,1.3365058948082371,0.8491654457261564,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,26,0,1.1349146238804722,1.2109025819433092,0.9372468444646569,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,78,0,1.1349146238804722,1.1394686502729452,0.9960033771956937,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,195,0,1.1349146238804722,1.0875639072138068,1.0435383303478427,-1.7878630030009846,0.967660830966517,2
NQ,RTH,B1,1day,tsrv,389,0,1.1349146238804722,1.0533883925697205,1.077394275355427,-1.7878630030009846,0.967660830966517,2
