root,geom,btag,M,variant,median,ref_2overM,med_over_ref,trigamma,median_over_trigamma,p95,share_gt10x_med
ES,RTH,B0,13,TQ_BV,0.1223457981040345,0.1538461538461538,0.7952476876762247,0.16628453574995827,0.7357617324560212,0.2163745631773177,0.0
ES,RTH,B0,13,TRQ3_TRV3,0.1348069229132929,0.1538461538461538,0.8762449989364042,0.16628453574995827,0.8107002993712044,0.2179150911890336,0.0
ES,RTH,B0,13,TRQ5_TRV5,0.1408783939268303,0.1538461538461538,0.9157095605243972,0.16628453574995827,0.8472128408781732,0.2732342425888814,0.0
ES,RTH,B0,13,TRQ10_TRV10,0.1412414565131088,0.1538461538461538,0.9180694673352072,0.16628453574995827,0.8493962224213879,0.2854614625332195,0.0
ES,RTH,B0,13,MEDRQ_MEDRV,0.1275962459318691,0.1538461538461538,0.8293755985571494,0.16628453574995827,0.7673368143128795,0.2471637538011271,0.0
ES,RTH,B0,26,RQ_RV,0.0818489540022728,0.0769230769230769,1.0640364020295476,0.07995742842732394,1.0236566584512923,0.1658350087725761,0.0
ES,RTH,B0,26,TQ_BV,0.0711797500782543,0.0769230769230769,0.925336751017306,0.07995742842732394,0.8902206021164379,0.1306814400648489,0.0
ES,RTH,B0,26,TRQ3_TRV3,0.0745973070188982,0.0769230769230769,0.9697649912456776,0.07995742842732394,0.9329628089115231,0.1145323284109135,0.0
ES,RTH,B0,26,TRQ5_TRV5,0.0813306199035088,0.0769230769230769,1.0572980587456149,0.07995742842732394,1.0171740325219814,0.1564597024003343,0.0
ES,RTH,B0,26,TRQ10_TRV10,0.0818489540022728,0.0769230769230769,1.0640364020295476,0.07995742842732394,1.0236566584512923,0.1658350087725761,0.0
ES,RTH,B0,26,MEDRQ_MEDRV,0.0749248803822111,0.0769230769230769,0.9740234449687442,0.07995742842732394,0.9370596560682651,0.1485035383255028,0.0
ES,RTH,B0,78,RQ_RV,0.033551213881907,0.0256410256410256,1.3084973413943732,0.025972566037214765,1.291794343070807,0.0725365695856143,0.0
ES,RTH,B0,78,TQ_BV,0.0287441192938502,0.0256410256410256,1.12102065246016,0.025972566037214765,1.1067107983348359,0.0548712212964097,0.0
ES,RTH,B0,78,TRQ3_TRV3,0.0274815738717355,0.0256410256410256,1.0717813809976855,0.025972566037214765,1.0581000672924867,0.0367020823065893,0.0
ES,RTH,B0,78,TRQ5_TRV5,0.0330759698644419,0.0256410256410256,1.2899628247132362,0.025972566037214765,1.2734964199166545,0.0590043226431723,0.0
ES,RTH,B0,78,TRQ10_TRV10,0.033551213881907,0.0256410256410256,1.3084973413943732,0.025972566037214765,1.291794343070807,0.0725365695856143,0.0
ES,RTH,B0,78,MEDRQ_MEDRV,0.0302655301117189,0.0256410256410256,1.1803556743570387,0.025972566037214765,1.1652884073276766,0.060755926851424,0.0
ES,RTH,B0,195,RQ_RV,0.0150211567933482,0.0102564102564102,1.4645627873514546,0.01030918704702152,1.4570651133629435,0.035738120969193,0.0010520778537611
ES,RTH,B0,195,TQ_BV,0.0129674213592141,0.0102564102564102,1.2643235825233827,0.01030918704702152,1.257851011924416,0.0246597699527269,0.0
ES,RTH,B0,195,TRQ3_TRV3,0.0112385515117039,0.0102564102564102,1.0957587723911326,0.01030918704702152,1.090149151474644,0.0144643951113602,0.0
ES,RTH,B0,195,TRQ5_TRV5,0.0143580567075096,0.0102564102564102,1.399910528982192,0.01030918704702152,1.3927438353791302,0.0218464323826447,0.0
