root,geom,btag,horizon,estimator,elasticity_raw,r2_raw,elasticity_noise_corrected,r2_corrected,shift,mean_delta,mean_var_log,delta_share_of_var
NQ,RTH,B0,1day,E1_d_model_L1-10,-1.4087442509845964,0.9920691445900239,-1.4088708422124514,0.9920713386975706,-0.00012659122785496635,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
NQ,RTH,B0,1day,E2,-0.3724576774027832,0.8195572109133732,-0.37552166794260217,0.8226130587493601,-0.0030639905398189837,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
NQ,RTH,B0,1day,E4,-0.7076470944337411,0.9911704038846799,-0.7268511029212497,0.9885985753314127,-0.019204008487508584,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
NQ,RTH,B0,1day,E4_asS05,-0.7920583679883544,0.9825502503742433,-0.8300573551064344,0.9763959062105365,-0.03799898711808003,0.00021661064448597926,1.3418105892272398,0.00020392223675921563
NQ,RTH,B1,1day,E1_a_exp_L1-5,-0.3721985935757247,0.9053609465854858,-0.37376244616948406,0.9072607639905723,-0.0015638525937593517,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
NQ,RTH,B1,1day,E1_a_exp_L1-10,-0.3326304668493659,0.9101894494368215,-0.3339731667127677,0.9119984141473834,-0.0013426998634017973,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
NQ,RTH,B1,1day,E1_d_model_L1-5,-0.9770474678662513,0.9900640226308638,-1.0034635666886023,0.9879044382896304,-0.026416098822350964,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
NQ,RTH,B1,1day,E1_d_model_L1-10,-1.3986334931142277,0.984417746096552,-1.3987666131508127,0.9844075883191575,-0.0001331200365850549,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
NQ,RTH,B1,1day,E2,-0.48624634537037836,0.9442810080611311,-0.48952570124704875,0.9467917639404748,-0.0032793558766703867,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
NQ,RTH,B1,1day,E4,-0.7088633652698744,0.9919249505725132,-0.7294795873048647,0.9890472366044851,-0.02061622203499036,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
NQ,RTH,B1,1day,E4_asS05,-0.7939893460044704,0.9823469166135491,-0.8343839645854874,0.9758817324990322,-0.040394618581017006,0.0002299183806307523,1.3475137396368968,0.00021482947914279127
