root,geom,btag,horizon,M,variant,n,n_Q_zero,n_Q_lt_1e14,n_P_zero,n_P_lt_1e14,min_Q,min_P
NQ,GLOBEX,B0,1day,12,MEDRQ_MEDRV,1948,0,0,0,0,2.3383916701805224e-13,3.546352172527661e-07
NQ,GLOBEX,B0,1day,23,RQ_RV,1948,0,0,0,0,6.8949829309246826e-12,2.8965123419766314e-06
NQ,GLOBEX,B0,1day,23,TQ_BV,1948,0,0,0,0,1.3197658326084517e-12,2.285896450528771e-06
NQ,GLOBEX,B0,1day,23,TRQ3_TRV3,1948,0,0,0,0,4.049005647978497e-12,1.8887585611082613e-06
NQ,GLOBEX,B0,1day,23,TRQ5_TRV5,1948,0,0,0,0,6.8949829309246826e-12,2.7912601581192575e-06
NQ,GLOBEX,B0,1day,23,TRQ10_TRV10,1948,0,0,0,0,6.8949829309246826e-12,2.8965123419766314e-06
NQ,GLOBEX,B0,1day,23,MEDRQ_MEDRV,1948,0,0,0,0,7.426463609461752e-12,2.8539340045767325e-06
NQ,GLOBEX,B0,1day,46,RQ_RV,1948,0,0,0,0,1.3344908529203834e-11,2.9911570891272277e-06
NQ,GLOBEX,B0,1day,46,TQ_BV,1948,0,0,0,0,8.91594918998113e-12,2.5465025164956772e-06
NQ,GLOBEX,B0,1day,46,TRQ3_TRV3,1948,0,0,0,0,7.154185827032532e-12,2.1960540834697895e-06
NQ,GLOBEX,B0,1day,46,TRQ5_TRV5,1948,0,0,0,0,8.832568427402062e-12,2.9742668630206026e-06
NQ,GLOBEX,B0,1day,46,TRQ10_TRV10,1948,0,0,0,0,1.3344908529203834e-11,2.9911570891272277e-06
NQ,GLOBEX,B0,1day,46,MEDRQ_MEDRV,1948,0,0,0,0,6.650345771983944e-12,2.4439014310144684e-06
NQ,GLOBEX,B0,1day,138,RQ_RV,1948,0,0,0,0,2.4263405472205407e-11,3.569006366888061e-06
NQ,GLOBEX,B0,1day,138,TQ_BV,1948,0,0,0,0,1.9000667249087427e-11,3.4845271466277266e-06
NQ,GLOBEX,B0,1day,138,TRQ3_TRV3,1948,0,0,0,0,8.11281516680357e-12,2.5983472369262017e-06
NQ,GLOBEX,B0,1day,138,TRQ5_TRV5,1948,0,0,0,0,2.4263405472205407e-11,3.569006366888061e-06
NQ,GLOBEX,B0,1day,138,TRQ10_TRV10,1948,0,0,0,0,2.4263405472205407e-11,3.569006366888061e-06
NQ,GLOBEX,B0,1day,138,MEDRQ_MEDRV,1948,0,0,0,0,2.1670517315419602e-11,3.636514585453772e-06
NQ,GLOBEX,B0,1day,345,RQ_RV,1948,0,0,0,0,2.1583862617743404e-11,4.219563379592728e-06
NQ,GLOBEX,B0,1day,345,TQ_BV,1948,0,0,0,0,2.125714268742948e-11,4.098743507358254e-06
NQ,GLOBEX,B0,1day,345,TRQ3_TRV3,1948,0,0,0,0,1.6320483959875585e-11,3.568013198673725e-06
NQ,GLOBEX,B0,1day,345,TRQ5_TRV5,1948,0,0,0,0,2.1583862617743404e-11,4.219563379592728e-06
NQ,GLOBEX,B0,1day,345,TRQ10_TRV10,1948,0,0,0,0,2.1583862617743404e-11,4.219563379592728e-06
NQ,GLOBEX,B0,1day,345,MEDRQ_MEDRV,1948,0,0,0,0,2.4272159235596438e-11,4.354925872387032e-06
NQ,GLOBEX,B1,1day,5,RQ_RV,1948,0,0,0,0,4.0628519360123944e-13,7.125008778530173e-07
NQ,GLOBEX,B1,1day,5,TQ_BV,1948,12,12,0,0,0.0,2.388135189702115e-07
NQ,GLOBEX,B1,1day,5,TRQ3_TRV3,1948,0,3,0,0,4.4215163962973816e-17,6.293703336268663e-09
NQ,GLOBEX,B1,1day,5,TRQ5_TRV5,1948,0,1,0,0,1.2392629368642673e-15,4.2696228774730116e-08
