root,geom,btag,horizon,M,session_minutes,L_returns_per_window,M_divides_session,M_divides_L,subbar_size_min,subbar_size_max,n_stub_subbars,n_windows,var_log_rv,n_nonfinite_log,share_full_M,share_below_0p9M,mean_eff_M,mean_first_share,mean_last_share,trigamma_M_over_2,two_over_M,mean_trv_over_rv,note
NQ,RTH,B1,1h,15,60,60,True,True,4,4,0,11406,1.6863366861527254,0,0.9997369805365596,0.0002630194634402,14.99929861476416,0.0762567917448242,0.0591349632826563,0.1426158966967038,0.1333333333333333,0.9341572934847074,
NQ,RTH,B1,1h,20,60,60,True,True,3,3,0,11406,1.6480263909810628,0,0.9997369805365596,0.0002630194634402,19.99894792214624,0.0569754779845478,0.0455351595929015,0.1051663356816857,0.1,0.9285969383187952,
NQ,RTH,B1,1h,30,60,60,True,True,2,2,0,11406,1.5823670641794036,0,0.9997369805365596,0.0002630194634402,29.998246536910397,0.0383921504915793,0.0314759471208587,0.0689382278476838,0.0666666666666666,0.9154408132505006,
NQ,RTH,B1,1h,60,60,60,True,True,1,1,0,11406,1.4887290100198989,0,0.9997369805365596,0.0002630194634402,59.99614238120287,0.0167916519475572,0.0201892613213912,0.0338950603577399,0.0333333333333333,0.9015878217464308,
NQ,RTH,B1,30min,5,30,30,True,True,6,6,0,22812,2.1130034078482853,0,0.9998684902682798,0.0001315097317201,4.9997808171138,0.2218453814050232,0.1896047361629527,0.4903577561002349,0.4,0.9304858482671844,
NQ,RTH,B1,30min,6,30,30,True,True,5,5,0,22812,2.0080509633456165,0,0.9998684902682798,0.0001315097317201,5.99973698053656,0.1875482369281998,0.1566381848428101,0.3949340668482264,0.3333333333333333,0.9361042922838988,
NQ,RTH,B1,30min,10,30,30,True,True,3,3,0,22812,1.821779019337527,0,0.9998246536910398,0.0001315097317201,9.99947396107312,0.1156224984339192,0.0989035319008367,0.2213229557371153,0.2,0.9372639612934356,
NQ,RTH,B1,30min,15,30,30,True,True,2,2,0,22812,1.7076030629971868,0,0.9998246536910398,0.0001315097317201,14.999123268455198,0.0803693386002822,0.0703618795883147,0.1426158966967038,0.1333333333333333,0.9300168391737218,
NQ,RTH,B1,30min,30,30,30,True,True,1,1,0,22812,1.5693971697047446,0,0.9998246536910398,0.0001315097317201,29.998071190601436,0.0393968007923525,0.0465618056985353,0.0689382278476838,0.0666666666666666,0.9193598378758744,
ES,GLOBEX,B0,1day,1379,1380,1379,False,True,1,1,0,1953,1.0427598409404542,0,1.0,0.0,1379.0,0.0016811025335236908,0.0005715743398076086,0.001451378555092054,0.0014503263234227702,0.7062061224344145,finest attainable (= L); nominal M=1380 unattainable from the panel
ES,GLOBEX,B1,1day,1379,1380,1379,False,True,1,1,0,1953,1.0459490460855796,0,1.0,0.0,1379.0,0.0,0.0005856432767917767,0.001451378555092054,0.0014503263234227702,0.7092360401856576,finest attainable (= L); nominal M=1380 unattainable from the panel
NQ,GLOBEX,B0,1day,1379,1380,1379,False,True,1,1,0,1948,1.0759255735059792,0,1.0,0.0,1379.0,0.0016520083237893989,0.0005036513012937319,0.001451378555092054,0.0014503263234227702,0.6503181731229637,finest attainable (= L); nominal M=1380 unattainable from the panel
NQ,GLOBEX,B1,1day,1379,1380,1379,False,True,1,1,0,1948,1.0807412909247482,0,1.0,0.0,1379.0,0.0,0.0005183500766082538,0.001451378555092054,0.0014503263234227702,0.6539445932616604,finest attainable (= L); nominal M=1380 unattainable from the panel
