cell,model,rank,window_index,trade_date,coef,regressors,components,linear_fit,fit_negative_by_construction,forecast_stored,realized,coef_fit_at_step
ES/GLOBEX/B1/30min,M3_HARJ,2,75955,2022-11-24,"[2.4937871097413136e-07, 0.5034084286017619, 0.5282834930786854, -0.08322392997571218, -0.31273689622764217]","[1.0, 0.0, 1.640317528249903e-06, 4.483205548515825e-06, 0.0]","[2.4937871097413136e-07, 0.0, 8.665526735820539e-07, -3.7310998463640537e-07, -0.0]",7.428213999197799e-07,False,7.428213999197799e-07,0.0,75915
ES/GLOBEX/B1/30min,M3_HARJ,3,75954,2022-11-24,"[2.4937871097413136e-07, 0.5034084286017619, 0.5282834930786854, -0.08322392997571218, -0.31273689622764217]","[1.0, 0.0, 1.6549168342155302e-06, 4.486845700923386e-06, 0.0]","[2.4937871097413136e-07, 0.0, 8.742652459341e-07, -3.734129324254731e-07, -0.0]",7.502310244827582e-07,False,7.502310244827583e-07,0.0,75915
ES/GLOBEX/B1/30min,M4_HARQ,1,31948,2018-11-22,"[5.815110858503572e-08, 0.8139060311179522, 0.19083933845967493, -0.016081610612735796, -1699.553577110848]","[1.0, 0.0, 3.2040616487291926e-06, 4.166967665705761e-06, 0.0]","[5.815110858503572e-08, 0.0, 6.114610054274944e-07, -6.701155143574067e-08, -0.0]",6.026005625767895e-07,False,6.026005625767895e-07,0.0,31905
ES/GLOBEX/B1/30min,M4_HARQ,2,31943,2018-11-22,"[5.815110858503572e-08, 0.8139060311179522, 0.19083933845967493, -0.016081610612735796, -1699.553577110848]","[1.0, 5.136032541486202e-07, 3.602981844071312e-06, 4.227875867877858e-06, 3.0301636873717923e-13]","[5.815110858503572e-08, 4.1802478615336837e-07, 6.875906716047889e-07, -6.799105342619413e-08, -5.149925534104127e-10]",1.0952605203635883e-06,False,1.0952605203635883e-06,0.0,31905
ES/GLOBEX/B1/30min,M4_HARQ,3,78473,2023-02-20,"[9.768662593293942e-08, 0.6510230923561929, 0.4233945644083608, -0.08397904220515266, -384.9660731594424]","[1.0, 3.833665687125176e-07, 2.5670227639946257e-06, 2.5769813791240183e-06, 1.7761226920950558e-13]","[9.768662593293942e-08, 2.4958048906920615e-07, 1.086863484987851e-06, -2.1641242799934846e-07, -6.83746978225211e-11]",1.2176497972928255e-06,False,1.2176497972928255e-06,0.0,78435
NQ/GLOBEX/B0/1day,M4_HARQ,1,1013,2020-03-04,"[5.738460270328875e-06, 0.9219661535273379, 0.24731493312844818, -0.10072770206753073, -136.2850857013559]","[1.0, 0.0021203681781116757, 0.0016295611299938172, 0.0004736151975273308, 2.1979181193977524e-05]","[5.738460270328875e-06, 0.001954907693235391, 0.0004030148018931394, -4.7706170511187696e-05, -0.002995434592666857]",-0.0006794798077791853,True,1e-300,0.0006766630485799396,1013
NQ/GLOBEX/B0/1day,M4_HARQ,2,508,2018-02-06,"[4.576864414268788e-06, 1.0543789319278856, -0.05494293173650789, 0.06766270799096658, -340.698341729366]","[1.0, 0.0008415572428930318, 0.00028107583148084814, 0.0001009988697495084, 2.3611303360170466e-06]","[4.576864414268788e-06, 0.0008873202269177311, -1.5443130221834436e-05, 6.833857031278655e-06, -0.0008044331900879085]",7.885462805353545e-05,False,7.885462805353554e-05,0.0019932422146666795,508
NQ/GLOBEX/B0/1day,M4_HARQ,3,713,2018-12-06,"[1.0907534227107698e-05, 0.8192809685716494, 0.14349807740497048, 0.027216710725786106, -171.88504273498154]","[1.0, 4.398431792651536e-05, 0.0001493911206125631, 0.0002390275062266896, 3.4385408287998252e-09]","[1.0907534227107698e-05, 3.603551459279887e-05, 2.1437338589276857e-05, 6.505542492477849e-06, -5.910337373042368e-07]",7.429489616435703e-05,False,7.429489616435703e-05,0.0008144144003381371,713
NQ/GLOBEX/B0/1h,M3_HARJ,1,22362,2020-03-09,"[3.325286720582472e-07, 0.6332330703349979, 0.3561195740000315, -0.02169852379394807, -0.3051877327625204]","[1.0, 0.0, 5.0188655834724406e-05, 2.525780313747922e-05, 0.0]","[3.325286720582472e-07, 0.0, 1.787316273549625e-05, -5.480570423614491e-07, -0.0]",1.765763436519305e-05,False,1.765763436519305e-05,0.0,22352
NQ/GLOBEX/B0/1h,M3_HARJ,2,27367,2021-02-15,"[5.689453376551773e-07, 0.550392128779247, 0.45188440200632324, -0.06845072889905032, -0.12875064801938974]","[1.0, 0.0, 2.6032785337354818e-06, 6.106684051611252e-06, 0.0]","[5.689453376551773e-07, 0.0, 1.1763809634729563e-06, -4.1800697448899604e-07, -0.0]",1.3273193266391374e-06,False,1.3273193266391374e-06,0.0,27346
