root,geom,btag,horizon,proxy,trimmed,estimator,n_grid,n_valid,product_min,product_max,ratio_max_min,cv,elasticity,elasticity_r2,n_used,n_dropped,elasticity_s05grid,elasticity_s05grid_r2,n_used_s05grid
ES,GLOBEX,B0,1day,RV,True,E1_d_model_L1-5,8,8,1.2114871667671294,1.4268114635860354,1.177735516087638,0.05146332526750673,-0.8571266615615039,0.9905325812910837,8,0,-0.906442084787205,0.981980887360741,4
ES,GLOBEX,B0,1day,RV,True,E2,8,7,1.0524244823897722,1.3014589560643044,1.2366293048495434,0.06260943574180788,-0.3121140699548782,0.9004803333015651,7,1,-0.18284321890282818,0.8809127060999915,4
ES,GLOBEX,B0,1day,RV,True,E4,8,8,1.207182285313858,1.7464492156886493,1.4467154107008668,0.1267265156986529,-0.6113511188355413,0.9910061547463462,8,0,-0.6921918301764659,0.9994836551960603,4
ES,GLOBEX,B0,1day,RV,True,E4_asS05,8,8,1.2168478531335756,2.0515671388335,1.6859684910898192,0.17071419056343776,-0.3187634990757415,0.0824984545103663,8,0,-0.8846532477993826,0.9996842391112387,4
ES,GLOBEX,B0,1day,TRV3,False,E1_a_exp_L1-10,9,9,0.6944861551489097,1.5263995384472224,2.1978833229871033,0.19258616167122575,-1.1045499162763368,0.4931225395108011,9,0,-0.2334096235374924,0.9041434263870196,5
ES,GLOBEX,B0,1day,TRV3,False,E1_a_exp_L1-5,9,9,0.9133466087146898,1.443477726634702,1.5804270940098428,0.112452327149427,-1.105688813283882,0.507960675848313,9,0,-0.2538092081468292,0.8657473184560275,5
ES,GLOBEX,B0,1day,TRV3,False,E1_d_model_L1-10,9,5,0.7783300751282294,1.705576408263603,2.191327899005586,0.2284872105622377,-5.939631864674974,0.8308081587726435,5,4,,,1
ES,GLOBEX,B0,1day,TRV3,False,E1_d_model_L1-5,9,7,1.3470373313887356,2.974147975904787,2.2079180039045934,0.3367397930054532,-3.1396588282535958,0.8413162323339093,7,2,-2.6467898856304655,0.9626878910364444,3
ES,GLOBEX,B0,1day,TRV3,False,E2,9,9,0.8816857463805374,2.247488277399506,2.5490808790159183,0.2884673698392233,-0.9955143440321177,0.47890295325946386,9,0,-0.16848896326607146,0.9206915506004041,5
ES,GLOBEX,B0,1day,TRV3,False,E4,9,9,1.0085466998515085,239.11591733651377,237.089583825637,1.822806699199154,-0.16912029393429046,0.030539557968696673,9,0,-0.8878271218016931,0.9997371412168555,5
ES,GLOBEX,B0,1day,TRV3,False,E4_asS05,9,9,1.0085466998515085,239.11591733651377,237.089583825637,1.822806699199154,-0.16912029393429046,0.030539557968696673,9,0,-0.8878271218016931,0.9997371412168555,5
ES,GLOBEX,B1,1day,RV,False,E1_a_exp_L1-10,9,9,0.9064407299646587,1.235093774930153,1.3625753279845534,0.08542813419357788,-0.2736803912401553,0.9110019753138356,9,0,-0.17555369844084395,0.9607980661907723,5
ES,GLOBEX,B1,1day,RV,False,E1_a_exp_L1-5,9,9,0.918397309302537,1.2650031778232347,1.3774029660255889,0.08838895785975637,-0.28765518376388455,0.8958515658842612,9,0,-0.18148787248030193,0.8911706410243488,5
ES,GLOBEX,B1,1day,RV,False,E1_d_model_L1-10,9,5,1.4441621716214714,1.5550446973146799,1.0767798297671183,0.025886102411848563,-1.1347918609389083,0.9765371510453768,5,4,,,1
ES,GLOBEX,B1,1day,RV,False,E1_d_model_L1-5,9,9,1.043623269722837,1.4247522747651684,1.3651978794450903,0.08734953329443292,-0.9254676600928108,0.9904424520720418,9,0,-1.0118160429067105,0.9899542434960401,5
ES,GLOBEX,B1,1day,RV,False,E2,9,8,0.8832587226320364,1.2935012822342153,1.4644647701634814,0.10448819319355665,-0.22252506608328093,0.7622664744673289,8,1,-0.097188975646876,0.5373856076449653,5
ES,GLOBEX,B1,1day,RV,False,E4,9,9,1.0397063958461534,1.7577615231765593,1.69063259608596,0.15159307787617707,-0.6267003425525822,0.9945764229979941,9,0,-0.6811022528702849,0.9997454959098496,5
ES,GLOBEX,B1,1day,RV,False,E4_asS05,9,9,1.0439280157726911,2.0187265688957203,1.9337794736752094,0.1915302651521639,-0.46252792803917303,0.25400702990730706,9,0,-0.8871748717692459,0.9996281054436121,5
ES,GLOBEX,B1,1day,RV,True,E1_a_exp_L1-10,8,8,1.047260970917801,1.2336242796814358,1.1779530737217385,0.04916972506676343,-0.33435198278069395,0.938418049943776,8,0,-0.21539573884716598,0.990630000635588,4
ES,GLOBEX,B1,1day,RV,True,E1_a_exp_L1-5,8,8,1.0723534198961995,1.2658923904754238,1.180480583162553,0.05173127736687177,-0.3588456909815994,0.9429097590069067,8,0,-0.25532521108695294,0.9876755455827753,4
ES,GLOBEX,B1,1day,RV,True,E1_d_model_L1-10,8,6,1.403473190921259,1.5531827054921001,1.1066707333914727,0.03781892019853215,-1.3532752842485107,0.985545826888369,6,2,,,2
ES,GLOBEX,B1,1day,RV,True,E1_d_model_L1-5,8,8,1.2186210630501217,1.425730996723087,1.1699543360547073,0.051527446492499414,-0.8757571222396903,0.9857348643534688,8,0,-0.9488679854320372,0.9728608121594167,4
ES,GLOBEX,B1,1day,RV,True,E2,8,7,1.054996152522153,1.2910787431677235,1.223775783524114,0.0605432549555918,-0.31124359971324655,0.9002182028062669,7,1,-0.18413317199103613,0.8850295038944158,4
ES,GLOBEX,B1,1day,RV,True,E4,8,8,1.2128506808202908,1.7485419645304299,1.4416795011796781,0.12403795663231842,-0.6130162902145594,0.9911404677039377,8,0,-0.6952712812205784,0.9997210582610293,4
ES,GLOBEX,B1,1day,RV,True,E4_asS05,8,8,1.2223915793196098,1.8144788430100658,1.4843679175375333,0.13574542393355077,-0.7383184412410092,0.97630629076442,8,0,-0.8849860132292209,0.9996847034044105,4
ES,GLOBEX,B1,1day,TRV3,False,E1_a_exp_L1-10,9,9,0.891128987505887,1.2781743232526528,1.4343314393015512,0.11308764567320297,-0.7500112706102053,0.386497917134505,9,0,-0.20193179084509988,0.8461272526064952,5
