root,geom,btag,horizon,M,omega2_N1,iv_hat,bias_2Momega2_over_IV,bias_min_across_estimates,bias_max_across_estimates,trigamma
ES,RTH,B1,1day,26,6.343065749071181e-09,7.038187425831277e-05,0.004686425623465749,-1.2498117108923653e-05,0.019938470120769134,0.07995742842732394
ES,RTH,B1,1day,78,6.343065749071181e-09,7.038187425831277e-05,0.014059276870397248,-3.749435132677096e-05,0.05981541036230741,0.025972566037214765
ES,RTH,B1,1day,195,6.343065749071181e-09,7.038187425831277e-05,0.03514819217599312,-9.373587831692739e-05,0.14953852590576852,0.01030918704702152
ES,RTH,B1,1day,389,6.343065749071181e-09,7.038187425831277e-05,0.07011613721262218,-0.0001869910598219731,0.2983101875761228,0.0051546277620026035
NQ,RTH,B0,1day,5,1.9800242715552407e-09,0.0001141360008978,0.00017347938038657934,-0.0007799326623385287,0.0015650702203064701,0.4903577561002349
NQ,RTH,B0,1day,6,1.9800242715552407e-09,0.0001141360008978,0.0002081752564638952,-0.0009359191948062344,0.0018780842643677641,0.39493406684822646
NQ,RTH,B0,1day,10,1.9800242715552407e-09,0.0001141360008978,0.0003469587607731587,-0.0015598653246770575,0.0031301404406129402,0.22132295573711533
NQ,RTH,B0,1day,13,1.9800242715552407e-09,0.0001141360008978,0.00045104638900510626,-0.0020278249220801745,0.004069182572796822,0.16628453574995827
NQ,RTH,B0,1day,26,1.9800242715552407e-09,0.0001141360008978,0.0009020927780102125,-0.004055649844160349,0.008138365145593645,0.07995742842732394
NQ,RTH,B0,1day,78,1.9800242715552407e-09,0.0001141360008978,0.0027062783340306377,-0.012166949532481049,0.024415095436780932,0.025972566037214765
NQ,RTH,B0,1day,195,1.9800242715552407e-09,0.0001141360008978,0.006765695835076594,-0.03041737383120262,0.061037738591952335,0.01030918704702152
NQ,RTH,B0,1day,389,1.9800242715552407e-09,0.0001141360008978,0.013496695794075872,-0.06067876112993754,0.12176246313984337,0.0051546277620026035
NQ,RTH,B1,1day,5,1.9800242715552407e-09,0.0001141360008978,0.00017347938038657934,-0.0007799326623385287,0.0015650702203064701,0.4903577561002349
NQ,RTH,B1,1day,6,1.9800242715552407e-09,0.0001141360008978,0.0002081752564638952,-0.0009359191948062344,0.0018780842643677641,0.39493406684822646
NQ,RTH,B1,1day,10,1.9800242715552407e-09,0.0001141360008978,0.0003469587607731587,-0.0015598653246770575,0.0031301404406129402,0.22132295573711533
NQ,RTH,B1,1day,13,1.9800242715552407e-09,0.0001141360008978,0.00045104638900510626,-0.0020278249220801745,0.004069182572796822,0.16628453574995827
NQ,RTH,B1,1day,26,1.9800242715552407e-09,0.0001141360008978,0.0009020927780102125,-0.004055649844160349,0.008138365145593645,0.07995742842732394
NQ,RTH,B1,1day,78,1.9800242715552407e-09,0.0001141360008978,0.0027062783340306377,-0.012166949532481049,0.024415095436780932,0.025972566037214765
NQ,RTH,B1,1day,195,1.9800242715552407e-09,0.0001141360008978,0.006765695835076594,-0.03041737383120262,0.061037738591952335,0.01030918704702152
NQ,RTH,B1,1day,389,1.9800242715552407e-09,0.0001141360008978,0.013496695794075872,-0.06067876112993754,0.12176246313984337,0.0051546277620026035
