cell,rank,estimator,ratio_max_min,cv,elasticity
NQ/RTH/B0/1day,7,E2,1.5699494507466396,0.1507786113716358,-0.3724576774027832
NQ/RTH/B0/1h,1,E1_a_exp_L1-10,1.0938331658753095,0.024023234522956426,-0.32739218390856056
NQ/RTH/B0/1h,2,E1_d_model_L1-10,1.1002687355824807,0.029006881094017303,-0.5471462684859985
NQ/RTH/B0/1h,3,E1_a_exp_L1-5,1.1041796819816883,0.028371914855387988,-0.32211220233853544
NQ/RTH/B0/1h,4,E1_d_model_L1-5,1.1226339894977595,0.03309876632953699,-0.6010075298645251
NQ/RTH/B0/1h,5,E4,1.305584280018594,0.08165103683221862,-0.677683431134601
NQ/RTH/B0/1h,6,E2,1.306367789594816,0.07762941790914746,-0.5308547532051413
NQ/RTH/B0/1h,7,E4_asS05,1.5266473247781323,0.1440264785656026,0.862653443861716
NQ/RTH/B0/30min,1,E1_d_model_L1-5,1.015203436971217,0.007544368321476906,
NQ/RTH/B0/30min,2,E2,1.065071465994016,0.02323982626275227,-0.8566366967495203
NQ/RTH/B0/30min,3,E1_d_model_L1-10,1.068893981259681,0.024583668769487605,-2.6802534268879254
NQ/RTH/B0/30min,4,E1_a_exp_L1-10,1.0805776987040177,0.028150735106654015,-0.4051008559332277
NQ/RTH/B0/30min,5,E1_a_exp_L1-5,1.0861851565493033,0.029400787716664805,-0.7510168480798576
NQ/RTH/B0/30min,6,E4,1.21640787067258,0.07015093773504033,-0.659822989289926
NQ/RTH/B0/30min,7,E4_asS05,1.4004680617166148,0.13370456871731898,2.32286132524757
NQ/RTH/B1/1day,1,E1_d_model_L1-10,1.0640424039245515,0.02223601699822321,-1.3986334931142277
NQ/RTH/B1/1day,2,E1_d_model_L1-5,1.0736111632455076,0.02247337240800987,-0.9770474678662513
NQ/RTH/B1/1day,3,E1_a_exp_L1-5,1.1024704880605414,0.030763727081565728,-0.3721985935757247
NQ/RTH/B1/1day,4,E1_a_exp_L1-10,1.1331451997607216,0.03832770469401527,-0.3326304668493659
NQ/RTH/B1/1day,5,E2,1.1846788224687634,0.056819926196168415,-0.48624634537037836
NQ/RTH/B1/1day,6,E4,1.4521382995553838,0.130350610586087,-0.7088633652698744
NQ/RTH/B1/1day,7,E4_asS05,1.5254131865990208,0.14595503733495913,-0.7939893460044704
NQ/RTH/B1/1h,1,E1_a_exp_L1-10,1.0932775875150673,0.023902190527331137,-0.3341558117283324
NQ/RTH/B1/1h,2,E1_d_model_L1-5,1.09666373566102,0.029581667460686568,-0.6558033873600331
NQ/RTH/B1/1h,3,E1_d_model_L1-10,1.0975318609345135,0.02648495600559169,-0.5884506992218856
NQ/RTH/B1/1h,4,E1_a_exp_L1-5,1.1035468279211809,0.0282182150409766,-0.3301191405623186
NQ/RTH/B1/1h,5,E4,1.305172255997941,0.08153659618760654,-0.6776477198269586
NQ/RTH/B1/1h,6,E2,1.3233910535556725,0.08160179702508447,-0.5304165557337076
NQ/RTH/B1/1h,7,E4_asS05,1.5274613003900215,0.1442915565942823,0.8410349966065307
NQ/RTH/B1/30min,1,E1_d_model_L1-5,1.0154272682649854,0.007654589430193722,
NQ/RTH/B1/30min,2,E2,1.0656051559309543,0.023219385574738294,-0.8657977405912066
NQ/RTH/B1/30min,3,E1_d_model_L1-10,1.0685959480478664,0.025984515100360837,-5.32625875979242
NQ/RTH/B1/30min,4,E1_a_exp_L1-10,1.0804067066795793,0.02800490167938698,-0.4159875026239375
NQ/RTH/B1/30min,5,E1_a_exp_L1-5,1.0949019060562446,0.031059091454719946,-0.7422368006467371
NQ/RTH/B1/30min,6,E4,1.2160853411355546,0.07005667795225236,-0.6584655731883761
NQ/RTH/B1/30min,7,E4_asS05,1.4013886462578746,0.13398527029098675,2.3293795472262357
