root,geom,btag,horizon,model,window_index,session_date,window_in_session,window_start_min_from_1800NY,ny_clock,overnight,rv,forecast
ES,GLOBEX,B0,1h,M1_EWMA,25167,2020-09-07,21,1260,15:00,False,0.0,1.0583045367925611e-05
ES,GLOBEX,B0,1h,M1_EWMA,26375,2020-11-26,19,1140,13:00,False,0.0,1.327293849570293e-06
ES,GLOBEX,B0,1h,M1_EWMA,26376,2020-11-26,20,1200,14:00,False,0.0,1.2476562185960754e-06
ES,GLOBEX,B0,1h,M1_EWMA,26377,2020-11-26,21,1260,15:00,False,0.0,1.1727968454803108e-06
ES,GLOBEX,B0,1h,M1_EWMA,27035,2021-01-18,19,1140,13:00,False,0.0,1.5481415871808774e-06
ES,GLOBEX,B0,1h,M1_EWMA,27036,2021-01-18,20,1200,14:00,False,0.0,1.4552530919500246e-06
ES,GLOBEX,B0,1h,M1_EWMA,27037,2021-01-18,21,1260,15:00,False,0.0,1.367937906433023e-06
ES,GLOBEX,B0,1h,M1_EWMA,27475,2021-02-15,19,1140,13:00,False,0.0,1.0093027640714448e-06
ES,GLOBEX,B0,1h,M1_EWMA,27476,2021-02-15,20,1200,14:00,False,0.0,9.48744598227158e-07
ES,GLOBEX,B0,1h,M1_EWMA,27477,2021-02-15,21,1260,15:00,False,0.0,8.918199223335285e-07
ES,GLOBEX,B0,1h,M1_EWMA,28154,2021-04-02,16,960,10:00,False,0.0,7.943376573193944e-07
ES,GLOBEX,B0,1h,M1_EWMA,28155,2021-04-02,17,1020,11:00,False,0.0,7.466773978802307e-07
ES,GLOBEX,B0,1h,M1_EWMA,28156,2021-04-02,18,1080,12:00,False,0.0,7.018767540074168e-07
ES,GLOBEX,B0,1h,M1_EWMA,28157,2021-04-02,19,1140,13:00,False,0.0,6.597641487669717e-07
ES,GLOBEX,B0,1h,M1_EWMA,28158,2021-04-02,20,1200,14:00,False,0.0,6.201782998409533e-07
ES,GLOBEX,B0,1h,M1_EWMA,28159,2021-04-02,21,1260,15:00,False,0.0,5.829676018504961e-07
ES,GLOBEX,B0,1h,M1_EWMA,29059,2021-05-31,19,1140,13:00,False,0.0,3.5420414390141583e-07
ES,GLOBEX,B0,1h,M1_EWMA,29060,2021-05-31,20,1200,14:00,False,0.0,3.3295189526733087e-07
ES,GLOBEX,B0,1h,M1_EWMA,29061,2021-05-31,21,1260,15:00,False,0.0,3.12974781551291e-07
ES,GLOBEX,B0,1h,M1_EWMA,29543,2021-07-05,19,1140,13:00,False,0.0,3.3407200476884486e-07
ES,GLOBEX,B0,1h,M1_EWMA,29544,2021-07-05,20,1200,14:00,False,0.0,3.1402768448271415e-07
ES,GLOBEX,B0,1h,M1_EWMA,29545,2021-07-05,21,1260,15:00,False,0.0,2.951860234137513e-07
ES,GLOBEX,B0,1h,M1_EWMA,30533,2021-09-06,19,1140,13:00,False,0.0,3.859938692765032e-07
ES,GLOBEX,B0,1h,M1_EWMA,30534,2021-09-06,20,1200,14:00,False,0.0,3.6283423711991296e-07
ES,GLOBEX,B0,1h,M1_EWMA,30535,2021-09-06,21,1260,15:00,False,0.0,3.410641828927182e-07
ES,GLOBEX,B0,1h,M1_EWMA,31743,2021-11-25,19,1140,13:00,False,0.0,1.020028286647838e-06
ES,GLOBEX,B0,1h,M1_EWMA,31744,2021-11-25,20,1200,14:00,False,0.0,9.588265894489677e-07
ES,GLOBEX,B0,1h,M1_EWMA,31745,2021-11-25,21,1260,15:00,False,0.0,9.012969940820296e-07
ES,GLOBEX,B0,1h,M1_EWMA,32447,2022-01-17,19,1140,13:00,False,0.0,3.5393758693340825e-06
ES,GLOBEX,B0,1h,M1_EWMA,32448,2022-01-17,20,1200,14:00,False,0.0,3.3270133171740373e-06
ES,GLOBEX,B0,1h,M1_EWMA,32449,2022-01-17,21,1260,15:00,False,0.0,3.127392518143595e-06
ES,GLOBEX,B0,1h,M1_EWMA,32997,2022-02-21,19,1140,13:00,False,0.0,8.41368889601137e-06
ES,GLOBEX,B0,1h,M1_EWMA,32998,2022-02-21,20,1200,14:00,False,0.0,7.908867562250687e-06
ES,GLOBEX,B0,1h,M1_EWMA,32999,2022-02-21,21,1260,15:00,False,0.0,7.4343355085156455e-06
ES,GLOBEX,B0,1h,M1_EWMA,34449,2022-05-30,19,1140,13:00,False,0.0,4.44567178466434e-06
ES,GLOBEX,B0,1h,M1_EWMA,34450,2022-05-30,20,1200,14:00,False,0.0,4.1789314775844795e-06
ES,GLOBEX,B0,1h,M1_EWMA,34451,2022-05-30,21,1260,15:00,False,0.0,3.928195588929411e-06
ES,GLOBEX,B0,1h,M1_EWMA,34713,2022-06-20,19,1140,13:00,False,0.0,8.166819820499394e-06
ES,GLOBEX,B0,1h,M1_EWMA,34714,2022-06-20,20,1200,14:00,False,0.0,7.67681063126943e-06
