arm,root,geom,range,rule,te_mean,te_sd,turnover_mean,turnover_sd,cost_0.5t,cost_1.0t,cost_2.0t,cost_4.0t,lam_in_unit,n_seeds
A4p,NQ,GLOBEX,restricted_S05,R2,1.466818081558331,0.22941455409820338,122.69925526146218,46.39931292431463,31.929849616719395,63.85969923343879,127.71939846687758,255.43879693375516,True,5
A4p,NQ,GLOBEX,restricted_S05,R3,1.274013534329404,0.1900204037328771,17.018480935563424,6.4373775863336204,4.428694663383327,8.857389326766654,17.71477865353331,35.42955730706662,True,5
A4p,NQ,RTH,extended,R0,4.0856118303818364e-17,9.595446974642768e-18,0.0048649915607624095,1.5660473620683876e-05,0.0012681651858547107,0.0025363303717094213,0.005072660743418843,0.010145321486837685,True,5
A4p,NQ,RTH,extended,R1,1.6690016346684602,0.10342914684806037,170.98464978704197,32.44697660284274,44.570844053325644,89.14168810665129,178.28337621330257,356.56675242660515,True,5
A4p,NQ,RTH,extended,R2,1.631099921211162,0.10048685531743844,122.76784893865651,23.3032098199453,32.002092916657745,64.00418583331549,128.00837166663098,256.01674333326196,True,5
A4p,NQ,RTH,extended,R3,1.5606837316568907,0.09499229500804708,66.19390815869028,12.570760252464632,17.254872653748208,34.509745307496416,69.01949061499283,138.03898122998567,True,5
A4p,NQ,RTH,restricted_S05,R0,4.0856118303818364e-17,9.595446974642768e-18,0.0048649915607624095,1.5660473620683876e-05,0.0012681651858547107,0.0025363303717094213,0.005072660743418843,0.010145321486837685,True,5
A4p,NQ,RTH,restricted_S05,R1,1.6690016346684602,0.10342914684806037,170.98464978704197,32.44697660284274,44.570844053325644,89.14168810665129,178.28337621330257,356.56675242660515,True,5
A4p,NQ,RTH,restricted_S05,R2,1.6297145945868199,0.10037912008775736,121.28844522540172,23.022617545603865,31.616454367948744,63.23290873589749,126.46581747179498,252.93163494358996,True,5
A4p,NQ,RTH,restricted_S05,R3,1.5078937971807973,0.09084663601362482,41.56958112704599,7.8973052662900205,10.836009665681985,21.67201933136397,43.34403866272794,86.68807732545588,True,5
