root,geom,btag,horizon,arm,range,rule,seed_index,seed,lam_used,lam_in_unit,te,turnover,0.5t,1.0t,2.0t,4.0t
ES,GLOBEX,B0,1day,A2,extended,R1,2,3527105160,,True,0.5669535887245363,2.8846341323654654e-05,2.212393567008128e-05,4.424787134016256e-05,8.849574268032512e-05,0.00017699148536065023
ES,GLOBEX,B0,1day,A2,extended,R2,2,3527105160,0.9930149647327526,True,0.5661124603441381,2.8700238023124817e-05,2.2011880557585672e-05,4.4023761115171344e-05,8.804752223034269e-05,0.00017609504446068538
ES,GLOBEX,B0,1day,A2,extended,R3,2,3527105160,0.8272250642225776,True,0.5478229801099593,2.50304885091557e-05,1.919733637461895e-05,3.83946727492379e-05,7.67893454984758e-05,0.0001535786909969516
ES,GLOBEX,B0,1day,A4p,restricted_S05,R0,2,3527105160,,True,3.481045681351083e-17,0.004769006956886198,0.0036576286032433646,0.007315257206486729,0.014630514412973458,0.029261028825946916
ES,GLOBEX,B0,1day,A4p,restricted_S05,R1,2,3527105160,,True,1.9768180381746212,260.3067180713493,199.64435075092163,399.28870150184326,798.5774030036865,1597.154806007373
ES,GLOBEX,B0,1day,A4p,restricted_S05,R2,2,3527105160,1.0000065365203092,False,1.9768307230765885,260.33022793880724,199.6623818346357,399.3247636692714,798.6495273385428,1597.2990546770857
ES,GLOBEX,B0,1day,A4p,restricted_S05,R3,2,3527105160,-890.2105121888576,False,130.7865243329773,1077453490.189966,826361701.7150129,1652723403.4300258,3305446806.8600516,6610893613.720103
ES,GLOBEX,B0,1day,A4p,extended,R0,2,3527105160,,True,3.481045681351083e-17,0.004769006956886198,0.0036576286032433646,0.007315257206486729,0.014630514412973458,0.029261028825946916
ES,GLOBEX,B0,1day,A4p,extended,R1,2,3527105160,,True,1.9768180381746212,260.3067180713493,199.64435075092163,399.28870150184326,798.5774030036865,1597.154806007373
ES,GLOBEX,B0,1day,A4p,extended,R2,2,3527105160,0.9930149647327526,True,1.9632659566355697,236.35898456902257,181.2774421192449,362.5548842384898,725.1097684769796,1450.2195369539593
ES,GLOBEX,B0,1day,A4p,extended,R3,2,3527105160,0.8272250642225776,True,1.6438781273894756,23.92022574181344,18.345811331426592,36.691622662853185,73.38324532570637,146.76649065141274
ES,GLOBEX,B0,1day,A2,restricted_S05,R0,3,1168436609,,True,5.317385110796821e-17,0.004165615290649212,0.0031948524661273756,0.006389704932254751,0.012779409864509502,0.025558819729019005
ES,GLOBEX,B0,1day,A2,restricted_S05,R1,3,1168436609,,True,0.5863724976719306,0.00010987087631225574,8.426636058537209e-05,0.00016853272117074418,0.00033706544234148836,0.0006741308846829767
ES,GLOBEX,B0,1day,A2,restricted_S05,R2,3,1168436609,1.0000065365203092,False,0.586373363574693,0.00010987139712309589,8.426676002547419e-05,0.00016853352005094838,0.00033706704010189677,0.0006741340802037935
ES,GLOBEX,B0,1day,A2,restricted_S05,R3,3,1168436609,-890.2105121888576,False,27.61837747383301,0.0,0.0,0.0,0.0,0.0
ES,GLOBEX,B0,1day,A2,extended,R0,3,1168436609,,True,5.317385110796821e-17,0.004165615290649212,0.0031948524661273756,0.006389704932254751,0.012779409864509502,0.025558819729019005
ES,GLOBEX,B0,1day,A2,extended,R1,3,1168436609,,True,0.5863724976719306,0.00010987087631225574,8.426636058537209e-05,0.00016853272117074418,0.00033706544234148836,0.0006741308846829767
ES,GLOBEX,B0,1day,A2,extended,R2,3,1168436609,0.9930149647327526,True,0.5854494549385615,0.00010931306445811746,8.383854225518946e-05,0.00016767708451037892,0.00033535416902075784,0.0006707083380415157
