root,geom,btag,horizon,range,candidate,n_oos,ic_oos,r2_oos,r2_oos_corr_theory,r2_oos_corr_measured,keep_oos_raw,keep_oos_measured,r2_is,r2_is_corr_measured,keep_is_raw,keep_is_measured,partition_is,degradation_r2
ES,RTH,B0,1day,extended,Parkinson,620,0.6275348486959119,0.39379998632780105,0.40326213087605384,0.4689323187344683,True,True,0.608208921246901,0.7242479167530739,True,True,clears_both,0.2144089349190999
ES,RTH,B0,1day,extended,GarmanKlass,620,0.6352749579691156,0.40357427222266157,0.4132712712889542,0.4805714215983146,True,True,0.6068728252296992,0.7226569095789985,True,True,clears_both,0.20329855300703764
ES,RTH,B0,1day,extended,VolumeSurprise,620,0.36941228015450656,0.13646543272895165,0.13974439589591925,0.1625014068523145,True,True,0.0804463400059553,0.0957945405343221,True,True,clears_both,-0.05601909272299635
ES,RTH,B0,1day,extended,CrossLeadLag,620,0.6354860315909259,0.4038424963471832,0.413545940247213,0.48089081968114683,True,True,0.610407186874479,0.726865585198284,True,True,clears_both,0.2065646905272958
ES,RTH,B0,1day,extended,RealizedQuarticity,620,0.6310922694125414,0.3982774525122717,0.407847180691094,0.474264031971734,True,True,0.6283224179496165,0.7481988283176348,True,True,clears_both,0.23004496543734482
ES,RTH,B0,1day,extended,SignatureSlope,620,-0.05464193045584199,0.002985740563941072,0.0030574813201128498,0.003555384190955728,False,False,0.0063778062419922,0.0075946154731632,False,False,clears_neither,0.0033920656780511284
ES,RTH,B0,1h,extended,RS_up,3725,0.48673275357582724,0.23690877340350697,0.27774487608427706,0.4028690433259379,True,True,0.0127615361148653,0.0217012978122536,False,True,only_after_measured,-0.22414723728864167
ES,RTH,B0,1h,extended,RS_down,3725,0.10099408521002648,0.01019980524741009,0.011957951593884441,0.01734501311665715,False,False,0.0087714968975846,0.0149161405586596,False,False,clears_neither,-0.0014283083498254894
ES,RTH,B0,1h,extended,JumpVar,3725,-0.014565901421343072,0.00021216548421628415,0.0002487365717885236,0.00036079248744163856,False,False,0.0010249027412155,0.0017428716586715,False,False,clears_neither,0.000812737256999216
ES,RTH,B0,1h,extended,Parkinson,3725,0.6014396729365067,0.36172968018197216,0.42408123496138866,0.6151299848625673,True,True,0.5524271874941276,0.9394156634036384,True,True,clears_both,0.1906975073121554
ES,RTH,B0,1h,extended,GarmanKlass,3725,0.6141059037355985,0.3771260610029161,0.44213149887447734,0.6413118992041308,True,True,0.5630633582178372,0.9575027264640424,True,True,clears_both,0.18593729721492103
ES,RTH,B0,1h,extended,VolumeSurprise,3725,0.3061724372253259,0.09374156131649612,0.10989984861156459,0.1594097702035441,True,True,0.0645374849838129,0.1097475389389944,True,True,clears_both,-0.029204076332683224
ES,RTH,B0,1h,extended,CrossLeadLag,3725,0.5525644624642406,0.3053274851783952,0.35795696089126755,0.51921670138162,True,True,0.4775269682560507,0.8120460466695526,True,True,clears_both,0.17219948307765548
ES,RTH,B0,1h,extended,RealizedQuarticity,3725,0.6125433074834923,0.3752093035428162,0.4398843488192435,0.6380524072353674,True,True,0.5520649368927352,0.938799647579781,True,True,clears_both,0.176855633349919
ES,RTH,B0,1h,extended,SignatureSlope,3725,0.036919498043852264,0.0013630493358100112,0.0015979989404043893,0.0023178980416590413,False,False,0.0003394358337307,0.000577218765017,False,False,clears_neither,-0.0010236135020793111
ES,RTH,B0,30min,extended,RS_up,7451,-0.04620447443115544,0.002134853457459297,0.003168956383066635,0.005393440657056221,False,False,9.422820048862583e-06,2.380557811970048e-05,False,False,clears_neither,-0.0021254306374104345
ES,RTH,B0,30min,extended,RS_down,7451,0.06574479870619016,0.004322378556917463,0.006416098055870937,0.010919949639920948,False,False,0.0038667066744712,0.0097687515338046,False,False,clears_neither,-0.0004556718824462627
ES,RTH,B0,30min,extended,JumpVar,7451,0.007904067206335814,6.247427840227324e-05,9.273623097108548e-05,0.00015783346251600698,False,False,0.0001520460316386,0.0003841253112331,False,False,clears_neither,8.957175323632676e-05
ES,RTH,B0,30min,extended,Parkinson,7451,0.6232704070054312,0.3884660002487159,0.5766352752650256,0.9814108375002517,True,True,0.5519159237624901,1.3943466574234922,True,True,clears_both,0.1634499235137742
ES,RTH,B0,30min,extended,GarmanKlass,7451,0.6343743413537098,0.4024308049679532,0.5973644999800432,1.016691172680832,True,True,0.563604595248911,1.423876626237775,True,True,clears_both,0.16117379028095785
ES,RTH,B0,30min,extended,VolumeSurprise,7451,0.21555031745736666,0.046461939355971545,0.06896766556847761,0.11738028755678899,True,True,0.0346177743970974,0.0874574839025759,True,True,clears_both,-0.011844164958874144
ES,RTH,B0,30min,extended,CrossLeadLag,7451,0.5668278861898003,0.3212938525623972,0.47692557133612584,0.8117087949139943,True,True,0.4609253337654477,1.1644702948165573,True,True,clears_both,0.13963148120305052
ES,RTH,B0,30min,extended,RealizedQuarticity,7451,0.6017466329221537,0.36209901023314917,0.5374963634019486,0.9147979299691668,True,True,0.5156606689841388,1.3027522838283103,True,True,clears_both,0.1535616587509896
