root,geom,btag,horizon,range,candidate,n,ic_raw,r2_raw,lam_theory,lam_intercept,r2_corr_theory,r2_corr_measured,ic_corr_theory,ic_corr_measured,keep_raw,keep_theory,keep_measured,band_lo,band_hi,in_flip_band,lam_in_unit
NQ,GLOBEX,B1,1day,extended,GarmanKlass,1947,0.7694288322229118,0.5920207278559138,0.9933437324775314,0.9399469453085768,0.5959877819728477,0.6298448341268434,0.7720024494603938,0.7936276419876286,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,VolumeSurprise,1947,0.16661646268860061,0.02776104563886184,0.9933437324775314,0.9399469453085768,0.027947068805298746,0.029534694247820677,0.16717376829305114,0.17185660955523555,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,CrossLeadLag,1947,0.6386871406633694,0.4079212636487506,0.9933437324775314,0.9399469453085768,0.4106546911322838,0.4339832856362264,0.6408234477079345,0.6587740778417336,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,RealizedQuarticity,1947,0.7614788580025851,0.5798500511849212,0.9933437324775314,0.9399469453085768,0.5837355511759238,0.6168965749386645,0.764025883838973,0.7854276382574428,True,True,True,0.018798938906171538,0.02,False,True
NQ,GLOBEX,B1,1day,extended,SignatureSlope,1947,0.024414953071242498,0.0005960899334709734,0.9933437324775314,0.9399469453085768,0.0006000842548069899,0.0006341740206148359,0.024496617211504736,0.02518281200769358,False,False,False,0.018798938906171538,0.02,False,True
ES,RTH,B0,1day,restricted_S05,RS_up,1900,0.8011678062543423,0.6418698537783953,0.9449916624649066,0.3466401547514712,0.6792333512278284,1.8516892661745823,0.8241561449311825,1.3607678957759777,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,RS_down,1900,0.7935941391800414,0.629791657740911,0.9449916624649066,0.3466401547514712,0.6664520786333382,1.8168456513425266,0.8163651625549305,1.3479041699403287,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,JumpVar,1900,-0.046686068191662586,0.002179588963196569,0.9449916624649066,0.3466401547514712,0.0023064636967392404,0.006287756722123719,-0.04802565665078657,-0.07929537642336859,False,False,False,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,Parkinson,1900,0.7798775040010456,0.608208921246901,0.9449916624649066,0.3466401547514712,0.6436130025321652,1.7545829959687311,0.8022549485868973,1.3246067325696074,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,GarmanKlass,1900,0.7790204267088888,0.6068728252296992,0.9449916624649066,0.3466401547514712,0.6421991318386221,1.7507285780691093,0.8013732787151204,1.323151003502287,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,VolumeSurprise,1900,0.28363064010426536,0.0804463400059553,0.9449916624649066,0.3466401547514712,0.08512915319921435,0.23207449830396162,0.2917690065774882,0.4817411112869252,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,CrossLeadLag,1900,0.7812855987886114,0.610407186874479,0.9449916624649066,0.3466401547514712,0.6459392300692888,1.7609246318047589,0.8037034465953775,1.3269983541077806,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,RealizedQuarticity,1900,0.7926679115175639,0.6283224179496165,0.9449916624649066,0.3466401547514712,0.6648973138140782,1.8126071354892557,0.8154123581440731,1.3463309903174834,True,True,True,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,restricted_S05,SignatureSlope,1900,0.07986116854887747,0.006377806241992216,0.9449916624649066,0.3466401547514712,0.006749060859813738,0.01839892509442502,0.08215266800179856,0.1356426374501212,False,False,False,0.006932803095029424,0.02,False,True
ES,RTH,B0,1day,extended,RS_up,1900,0.8011678062543423,0.6418698537783953,0.9765359952651714,0.8397800078923314,0.6572925697471091,0.7643309530425136,0.8107358199482179,0.8742602318775077,True,True,True,0.01679560015784663,0.02,False,True
ES,RTH,B0,1day,extended,RS_down,1900,0.7935941391800414,0.629791657740911,0.9765359952651714,0.8397800078923314,0.6449241613156261,0.7499483815071445,0.803071703719927,0.8659956013208984,True,True,True,0.01679560015784663,0.02,False,True
