ny_min,sum,count,rate
477,0,3799,0.0
478,0,3799,0.0
479,0,3800,0.0
480,5,3800,0.0013157894736842105
481,2,3799,0.0005264543300868649
482,1,3797,0.0002633658151171978
483,2,3798,0.000526592943654555
484,2,3798,0.000526592943654555
485,0,3799,0.0
486,0,3799,0.0
487,2,3798,0.000526592943654555
488,0,3797,0.0
489,2,3800,0.0005263157894736842
490,0,3798,0.0
491,2,3797,0.0005267316302343956
492,0,3799,0.0
493,0,3799,0.0
494,0,3799,0.0
495,3,3800,0.0007894736842105263
496,1,3797,0.0002633658151171978
497,2,3799,0.0005264543300868649
498,1,3799,0.00026322716504343247
499,0,3797,0.0
500,2,3800,0.0005263157894736842
501,0,3799,0.0
502,0,3799,0.0
503,0,3800,0.0
504,0,3799,0.0
505,0,3799,0.0
506,0,3799,0.0
507,2,3798,0.000526592943654555
508,1,3801,0.00026308866087871614
509,6,3799,0.0015793629902605948
510,107,3801,0.028150486714022625
511,8,3799,0.0021058173203474598
512,14,3799,0.0036851803106080546
513,5,3799,0.0013161358252171624
514,2,3799,0.0005264543300868649
515,3,3798,0.0007898894154818325
516,0,3798,0.0
517,3,3799,0.0007896814951302974
518,1,3800,0.0002631578947368421
519,0,3801,0.0
520,1,3800,0.0002631578947368421
521,0,3798,0.0
522,0,3799,0.0
523,0,3799,0.0
524,0,3798,0.0
525,2,3800,0.0005263157894736842
526,0,3799,0.0
527,0,3799,0.0
528,0,3800,0.0
529,2,3797,0.0005267316302343956
530,2,3798,0.000526592943654555
531,0,3798,0.0
532,0,3798,0.0
533,0,3801,0.0
534,0,3799,0.0
535,0,3800,0.0
536,1,3800,0.0002631578947368421
537,0,3798,0.0
538,0,3801,0.0
539,0,3800,0.0
540,2,3800,0.0005263157894736842
541,2,3798,0.000526592943654555
542,0,3799,0.0
543,0,3799,0.0
544,0,3797,0.0
545,0,3798,0.0
546,0,3800,0.0
547,0,3800,0.0
548,0,3799,0.0
549,0,3798,0.0
550,0,3800,0.0
551,0,3799,0.0
552,0,3798,0.0
553,0,3798,0.0
554,0,3799,0.0
555,0,3801,0.0
556,0,3799,0.0
557,0,3799,0.0
558,0,3797,0.0
559,0,3799,0.0
560,0,3800,0.0
561,0,3798,0.0
562,0,3799,0.0
563,0,3797,0.0
564,1,3797,0.0002633658151171978
565,0,3795,0.0
566,0,3795,0.0
567,0,3795,0.0
568,5,3795,0.0013175230566534915
569,0,3795,0.0
570,30,3802,0.007890583903208837
571,23,3802,0.006049447659126775
572,9,3802,0.002367175170962651
573,12,3801,0.0031570639305445935
574,8,3802,0.0021041557075223566
575,6,3802,0.0015781167806417674
576,9,3800,0.002368421052631579
577,5,3798,0.0013164823591363876
578,5,3798,0.0013164823591363876
579,5,3798,0.0013164823591363876
580,8,3798,0.00210637177461822
581,2,3798,0.000526592943654555
582,7,3798,0.0018430753027909425
583,3,3798,0.0007898894154818325
584,5,3798,0.0013164823591363876
585,12,3798,0.00315955766192733
586,5,3798,0.0013164823591363876
587,3,3798,0.0007898894154818325
588,4,3798,0.00105318588730911
589,4,3800,0.0010526315789473684
590,4,3802,0.0010520778537611783
591,5,3802,0.0013150973172014729
592,3,3802,0.0007890583903208837
593,3,3802,0.0007890583903208837
594,2,3802,0.0005260389268805891
595,10,3802,0.0026301946344029457
596,4,3802,0.0010520778537611783
597,4,3802,0.0010520778537611783
598,4,3802,0.0010520778537611783
599,2,3802,0.0005260389268805891
600,25,3802,0.006575486586007364
601,4,3802,0.0010520778537611783
602,5,3802,0.0013150973172014729
603,7,3802,0.001841136244082062
604,4,3802,0.0010520778537611783
605,8,3802,0.0021041557075223566
606,3,3802,0.0007890583903208837
607,2,3802,0.0005260389268805891
608,0,3802,0.0
609,8,3802,0.0021041557075223566
610,3,3802,0.0007890583903208837
611,2,3802,0.0005260389268805891
612,7,3802,0.001841136244082062
613,5,3802,0.0013150973172014729
614,2,3802,0.0005260389268805891
615,2,3802,0.0005260389268805891
616,6,3802,0.0015781167806417674
617,0,3802,0.0
618,1,3802,0.0002630194634402946
619,2,3802,0.0005260389268805891
620,1,3802,0.0002630194634402946
621,2,3802,0.0005260389268805891
622,2,3802,0.0005260389268805891
623,0,3802,0.0
624,0,3802,0.0
625,3,3802,0.0007890583903208837
626,2,3802,0.0005260389268805891
627,5,3802,0.0013150973172014729
628,0,3802,0.0
629,3,3802,0.0007890583903208837
630,2,3802,0.0005260389268805891
631,1,3802,0.0002630194634402946
632,0,3802,0.0
633,2,3802,0.0005260389268805891
634,0,3802,0.0
635,2,3802,0.0005260389268805891
636,1,3802,0.0002630194634402946
637,5,3802,0.0013150973172014729
638,2,3802,0.0005260389268805891
639,2,3802,0.0005260389268805891
640,0,3802,0.0
641,0,3802,0.0
642,1,3802,0.0002630194634402946
643,2,3802,0.0005260389268805891
644,2,3802,0.0005260389268805891
645,1,3802,0.0002630194634402946
646,3,3802,0.0007890583903208837
647,2,3802,0.0005260389268805891
648,0,3802,0.0
649,0,3802,0.0
650,0,3802,0.0
651,2,3802,0.0005260389268805891
652,2,3802,0.0005260389268805891
653,2,3802,0.0005260389268805891
654,2,3802,0.0005260389268805891
655,1,3802,0.0002630194634402946
656,0,3802,0.0
657,1,3802,0.0002630194634402946
658,2,3802,0.0005260389268805891
659,5,3802,0.0013150973172014729
660,3,3802,0.0007890583903208837
661,1,3802,0.0002630194634402946
662,2,3802,0.0005260389268805891
663,2,3802,0.0005260389268805891
664,1,3802,0.0002630194634402946
665,2,3802,0.0005260389268805891
666,2,3802,0.0005260389268805891
667,3,3802,0.0007890583903208837
668,2,3802,0.0005260389268805891
669,2,3802,0.0005260389268805891
670,1,3802,0.0002630194634402946
671,1,3802,0.0002630194634402946
672,2,3802,0.0005260389268805891
673,6,3802,0.0015781167806417674
674,2,3802,0.0005260389268805891
675,2,3802,0.0005260389268805891
676,0,3802,0.0
677,2,3802,0.0005260389268805891
678,0,3802,0.0
679,1,3802,0.0002630194634402946
680,2,3802,0.0005260389268805891
681,1,3802,0.0002630194634402946
682,0,3802,0.0
683,0,3802,0.0
684,2,3802,0.0005260389268805891
685,1,3802,0.0002630194634402946
686,0,3802,0.0
687,0,3802,0.0
688,1,3802,0.0002630194634402946
689,1,3802,0.0002630194634402946
690,1,3802,0.0002630194634402946
691,0,3802,0.0
692,2,3802,0.0005260389268805891
693,3,3802,0.0007890583903208837
694,2,3802,0.0005260389268805891
695,1,3802,0.0002630194634402946
696,2,3802,0.0005260389268805891
697,1,3802,0.0002630194634402946
698,2,3802,0.0005260389268805891
699,0,3802,0.0
700,0,3802,0.0
701,1,3802,0.0002630194634402946
702,0,3802,0.0
703,0,3802,0.0
704,0,3802,0.0
705,1,3802,0.0002630194634402946
706,0,3802,0.0
707,0,3802,0.0
708,0,3802,0.0
709,1,3802,0.0002630194634402946
710,0,3802,0.0
711,0,3802,0.0
712,1,3802,0.0002630194634402946
713,0,3802,0.0
714,0,3802,0.0
715,6,3802,0.0015781167806417674
716,0,3802,0.0
717,3,3802,0.0007890583903208837
718,0,3802,0.0
719,0,3802,0.0
720,3,3802,0.0007890583903208837
721,0,3802,0.0
722,2,3802,0.0005260389268805891
723,0,3802,0.0
724,0,3802,0.0
725,1,3802,0.0002630194634402946
726,0,3802,0.0
727,0,3802,0.0
728,2,3802,0.0005260389268805891
729,0,3802,0.0
730,3,3802,0.0007890583903208837
731,1,3802,0.0002630194634402946
732,0,3802,0.0
733,0,3802,0.0
734,2,3802,0.0005260389268805891
735,3,3802,0.0007890583903208837
736,0,3802,0.0
737,0,3802,0.0
738,3,3802,0.0007890583903208837
739,0,3802,0.0
740,0,3802,0.0
