ny_min,sum,count,rate
591,5,3863,0.0012943308309603934
592,3,3863,0.000776598498576236
593,3,3863,0.000776598498576236
594,2,3863,0.0005177323323841574
595,10,3863,0.0025886616619207868
596,4,3863,0.0010354646647683149
597,4,3863,0.0010354646647683149
598,4,3863,0.0010354646647683149
599,3,3863,0.000776598498576236
600,28,3863,0.007248252653378203
601,4,3863,0.0010354646647683149
602,6,3863,0.001553196997152472
603,7,3863,0.0018120631633445508
604,4,3863,0.0010354646647683149
605,7,3863,0.0018120631633445508
606,3,3863,0.000776598498576236
607,2,3863,0.0005177323323841574
608,0,3863,0.0
609,8,3863,0.0020709293295366298
610,3,3863,0.000776598498576236
611,2,3863,0.0005177323323841574
612,9,3863,0.0023297954957287085
613,6,3863,0.001553196997152472
614,2,3863,0.0005177323323841574
615,2,3863,0.0005177323323841574
616,7,3862,0.0018125323666494044
617,0,3863,0.0
618,1,3863,0.0002588661661920787
619,2,3863,0.0005177323323841574
620,1,3863,0.0002588661661920787
621,2,3863,0.0005177323323841574
622,2,3863,0.0005177323323841574
623,0,3863,0.0
624,0,3863,0.0
625,4,3863,0.0010354646647683149
626,2,3863,0.0005177323323841574
627,5,3863,0.0012943308309603934
628,0,3863,0.0
629,1,3863,0.0002588661661920787
630,2,3863,0.0005177323323841574
631,1,3863,0.0002588661661920787
632,0,3863,0.0
633,2,3863,0.0005177323323841574
634,0,3863,0.0
635,2,3863,0.0005177323323841574
636,1,3863,0.0002588661661920787
637,5,3863,0.0012943308309603934
638,2,3863,0.0005177323323841574
639,3,3863,0.000776598498576236
640,0,3863,0.0
641,0,3863,0.0
642,1,3863,0.0002588661661920787
643,2,3863,0.0005177323323841574
644,2,3863,0.0005177323323841574
645,1,3863,0.0002588661661920787
646,3,3863,0.000776598498576236
647,2,3863,0.0005177323323841574
648,0,3863,0.0
649,0,3863,0.0
650,0,3863,0.0
651,2,3863,0.0005177323323841574
652,2,3863,0.0005177323323841574
653,2,3863,0.0005177323323841574
654,2,3863,0.0005177323323841574
655,1,3863,0.0002588661661920787
656,0,3863,0.0
657,1,3863,0.0002588661661920787
658,3,3863,0.000776598498576236
659,5,3863,0.0012943308309603934
660,3,3863,0.000776598498576236
661,1,3863,0.0002588661661920787
662,2,3863,0.0005177323323841574
663,2,3863,0.0005177323323841574
664,1,3863,0.0002588661661920787
665,2,3863,0.0005177323323841574
666,2,3863,0.0005177323323841574
667,3,3863,0.000776598498576236
668,2,3863,0.0005177323323841574
669,2,3863,0.0005177323323841574
670,1,3863,0.0002588661661920787
671,1,3863,0.0002588661661920787
672,2,3863,0.0005177323323841574
673,6,3863,0.001553196997152472
674,2,3863,0.0005177323323841574
675,3,3863,0.000776598498576236
676,0,3863,0.0
677,2,3863,0.0005177323323841574
678,0,3863,0.0
679,1,3863,0.0002588661661920787
680,2,3863,0.0005177323323841574
681,1,3863,0.0002588661661920787
682,0,3863,0.0
683,0,3863,0.0
684,2,3863,0.0005177323323841574
685,1,3863,0.0002588661661920787
686,0,3863,0.0
687,0,3863,0.0
688,1,3863,0.0002588661661920787
689,1,3863,0.0002588661661920787
690,1,3863,0.0002588661661920787
691,0,3863,0.0
692,2,3863,0.0005177323323841574
693,3,3863,0.000776598498576236
694,2,3863,0.0005177323323841574
695,1,3863,0.0002588661661920787
696,2,3863,0.0005177323323841574
697,1,3863,0.0002588661661920787
698,2,3863,0.0005177323323841574
699,0,3863,0.0
700,0,3863,0.0
701,1,3863,0.0002588661661920787
702,1,3862,0.0002589331952356292
703,0,3863,0.0
704,0,3863,0.0
705,1,3863,0.0002588661661920787
706,0,3863,0.0
707,0,3863,0.0
708,0,3863,0.0
709,3,3863,0.000776598498576236
710,0,3863,0.0
711,0,3863,0.0
712,1,3863,0.0002588661661920787
713,0,3862,0.0
714,0,3863,0.0
715,6,3863,0.001553196997152472
716,0,3863,0.0
717,3,3863,0.000776598498576236
718,0,3863,0.0
719,0,3863,0.0
720,3,3863,0.000776598498576236
721,1,3863,0.0002588661661920787
722,2,3862,0.0005178663904712584
723,0,3862,0.0
724,0,3862,0.0
725,1,3862,0.0002589331952356292
726,0,3863,0.0
727,0,3863,0.0
728,2,3863,0.0005177323323841574
729,0,3863,0.0
730,3,3863,0.000776598498576236
731,1,3862,0.0002589331952356292
732,0,3863,0.0
733,0,3863,0.0
734,2,3863,0.0005177323323841574
735,3,3863,0.000776598498576236
736,0,3863,0.0
737,0,3862,0.0
738,3,3861,0.000777000777000777
739,0,3862,0.0
740,0,3862,0.0
741,0,3863,0.0
742,0,3862,0.0
743,2,3863,0.0005177323323841574
744,0,3861,0.0
745,6,3862,0.0015535991714137752
746,0,3863,0.0
747,0,3862,0.0
748,0,3863,0.0
749,0,3863,0.0
750,1,3863,0.0002588661661920787
751,1,3863,0.0002588661661920787
752,0,3863,0.0
753,0,3862,0.0
754,0,3863,0.0
755,1,3863,0.0002588661661920787
756,1,3863,0.0002588661661920787
757,0,3863,0.0
758,2,3863,0.0005177323323841574
759,0,3863,0.0
760,0,3863,0.0
761,2,3863,0.0005177323323841574
762,2,3863,0.0005177323323841574
763,0,3862,0.0
764,2,3863,0.0005177323323841574
765,8,3863,0.0020709293295366298
766,2,3863,0.0005177323323841574
767,2,3863,0.0005177323323841574
768,0,3863,0.0
769,0,3863,0.0
770,0,3863,0.0
771,3,3863,0.000776598498576236
772,1,3863,0.0002588661661920787
773,2,3863,0.0005177323323841574
774,0,3863,0.0
775,0,3863,0.0
776,2,3863,0.0005177323323841574
