root,geom,btag,horizon,M,lam_E2,lam_E4,lam_intercept,var_log_rv,n,mean_eff_M,trigamma,lam_theory,is_five_min_equiv
ES,RTH,B0,1day,5,0.6681976406529087,0.9987897623545032,0.5539697630500022,1.9512589903075641,1901,5.0,0.4903577561002349,0.6879278746583601,False
ES,RTH,B0,1day,6,0.7071537201046348,0.8761839861370304,0.5909212008921977,1.8292430173055587,1901,6.0,0.39493406684822646,0.7324063872892117,False
ES,RTH,B0,1day,10,0.7959273835410857,0.9005538566727119,0.673023775819617,1.606092562173583,1901,10.0,0.22132295573711533,0.8300472166518645,False
ES,RTH,B0,1day,13,0.8105435113855197,0.9118438605248205,0.706033459439244,1.5310017762733032,1901,13.0,0.16628453574995827,0.8666761809378626,False
ES,RTH,B0,1day,26,0.8624183890436348,0.9466733993319896,0.7812317207817918,1.3836336284811304,1901,26.0,0.07995742842732394,0.9311243774641902,False
ES,RTH,B0,1day,78,0.9005401772673063,0.9794131170438535,0.8397800078923314,1.2871686279157712,1901,77.99684376643872,0.025972566037214765,0.9765359952651714,True
ES,RTH,B0,1day,195,0.9100081630088289,0.9905099893699846,0.9150310581469699,1.1813134329001653,1901,194.98947922146237,0.01030918704702152,0.9905528439111334,False
ES,RTH,B0,1day,389,0.9115033560507677,0.9948439727147731,0.9919787732169962,1.0896790432363532,1901,388.977906365071,0.0051546277620026035,0.9952539724976209,False
ES,RTH,B0,1h,4,1.9996972701837608,0.9998812887290579,0.45892532456095025,2.29217421692296,11406,4.0,0.6449340668482266,0.6199274318411899,False
ES,RTH,B0,1h,5,1.9989952994919333,0.9998205818291815,0.49201671712430356,2.138010274528638,11406,5.0,0.4903577561002349,0.6820595940711196,False
ES,RTH,B0,1h,6,1.2883335877858657,0.9995549351187264,0.5136507526795152,2.047961170044176,11406,5.99982465369104,0.39493406684822646,0.7270426291206726,False
ES,RTH,B0,1h,10,0.8498317812792847,0.9986219283690858,0.5741256640618497,1.8322413755367115,11406,9.9995616342276,0.22132295573711533,0.8261761157873229,False
ES,RTH,B0,1h,12,0.8645049114599402,0.9227607023017259,0.588054052124918,1.7888437170876814,11406,11.99947396107312,0.18132295573711532,0.8529726155294435,True
ES,RTH,B0,1h,15,0.8708502825005807,0.9318381433661874,0.6154617137920799,1.709183159371933,11406,14.99929861476416,0.1426158966967038,0.8806114644295591,False
ES,RTH,B0,1h,20,0.8987540394586279,0.9451945996158317,0.6394829335438772,1.6449802508755058,11406,19.99894792214624,0.10516633568168576,0.909112392179083,False
ES,RTH,B0,1h,30,0.913732237942956,0.9594499526291678,0.6793783837733695,1.5483813167693043,11406,29.99833421006488,0.0689382278476838,0.9384960621361156,False
ES,RTH,B0,1h,60,0.930985664293965,0.9763629103264524,0.7627026364969165,1.3792227089749471,11406,59.99631772751184,0.033895060357739946,0.968784245787982,False
ES,RTH,B0,30min,5,2.8268305690274387,0.9999309541860327,0.37955597850230655,2.148092917726672,22812,4.9997808171138,0.4903577561002349,0.6244424116290807,False
ES,RTH,B0,30min,6,1.5425957485729558,0.999852446186099,0.3958240376050629,2.059807974863609,22812,5.99973698053656,0.39493406684822646,0.6736771351183367,True
ES,RTH,B0,30min,10,0.9353474689147558,0.9995811069662871,0.4496567472313304,1.8132086626561201,22812,9.99947396107312,0.22132295573711533,0.786500615011874,False
ES,RTH,B0,30min,15,0.7801997140652711,0.994532714164301,0.4882368801194382,1.6699301967974403,22812,14.99916710503244,0.1426158966967038,0.8511219044128724,False
ES,RTH,B0,30min,30,0.8036308834779807,0.9989807302415732,0.5608079747699993,1.453833657832709,22812,29.99815886375592,0.0689382278476838,0.9220384860336079,False
ES,RTH,B1,1day,5,0.6681976406529087,0.9987897623545032,0.5539697630500022,1.9512589903075641,1901,5.0,0.4903577561002349,0.6879278746583601,False
ES,RTH,B1,1day,6,0.7071537201046348,0.8761839861370304,0.5909212008921977,1.8292430173055587,1901,6.0,0.39493406684822646,0.7324063872892117,False
ES,RTH,B1,1day,10,0.7959273835410857,0.9005538566727119,0.673023775819617,1.606092562173583,1901,10.0,0.22132295573711533,0.8300472166518645,False
ES,RTH,B1,1day,13,0.8105435113855197,0.9118438605248205,0.706033459439244,1.5310017762733032,1901,13.0,0.16628453574995827,0.8666761809378626,False
ES,RTH,B1,1day,26,0.8624183890436348,0.9466733993319896,0.7812317207817918,1.3836336284811304,1901,26.0,0.07995742842732394,0.9311243774641902,False
ES,RTH,B1,1day,78,0.9005401772673063,0.9794131170438535,0.8397800078923314,1.2871686279157712,1901,77.99684376643872,0.025972566037214765,0.9765359952651714,True
ES,RTH,B1,1day,195,0.9100081630088289,0.9905099893699846,0.9150310581469699,1.1813134329001653,1901,194.98947922146237,0.01030918704702152,0.9905528439111334,False
ES,RTH,B1,1day,389,0.9115033560507677,0.9948439727147731,0.9919787732169962,1.0896790432363532,1901,388.977906365071,0.0051546277620026035,0.9952539724976209,False
ES,RTH,B1,1h,4,1.9996972701837608,0.9998812887290579,0.45892532456095025,2.29217421692296,11406,4.0,0.6449340668482266,0.6199274318411899,False
ES,RTH,B1,1h,5,1.9989952994919333,0.9998205818291815,0.49201671712430356,2.138010274528638,11406,5.0,0.4903577561002349,0.6820595940711196,False
ES,RTH,B1,1h,6,1.2883335877858657,0.9995549351187264,0.5136507526795152,2.047961170044176,11406,5.99982465369104,0.39493406684822646,0.7270426291206726,False
ES,RTH,B1,1h,10,0.8498317812792847,0.9986219283690858,0.5741256640618497,1.8322413755367115,11406,9.9995616342276,0.22132295573711533,0.8261761157873229,False
ES,RTH,B1,1h,12,0.8645049114599402,0.9227607023017259,0.588054052124918,1.7888437170876814,11406,11.99947396107312,0.18132295573711532,0.8529726155294435,True
ES,RTH,B1,1h,15,0.8708502825005807,0.9318381433661874,0.6154617137920799,1.709183159371933,11406,14.99929861476416,0.1426158966967038,0.8806114644295591,False
ES,RTH,B1,1h,20,0.8987540394586279,0.9451945996158317,0.6394829335438772,1.6449802508755058,11406,19.99894792214624,0.10516633568168576,0.909112392179083,False
ES,RTH,B1,1h,30,0.913732237942956,0.9594499526291678,0.6793783837733695,1.5483813167693043,11406,29.99833421006488,0.0689382278476838,0.9384960621361156,False
ES,RTH,B1,1h,60,0.930985664293965,0.9763629103264524,0.7627026364969165,1.3792227089749471,11406,59.99631772751184,0.033895060357739946,0.968784245787982,False
ES,RTH,B1,30min,5,2.8268305690274387,0.9999309541860327,0.37955597850230655,2.148092917726672,22812,4.9997808171138,0.4903577561002349,0.6244424116290807,False
ES,RTH,B1,30min,6,1.5425957485729558,0.999852446186099,0.3958240376050629,2.059807974863609,22812,5.99973698053656,0.39493406684822646,0.6736771351183367,True
ES,RTH,B1,30min,10,0.9353474689147558,0.9995811069662871,0.4496567472313304,1.8132086626561201,22812,9.99947396107312,0.22132295573711533,0.786500615011874,False
