root,geom,btag,horizon,scheme,n_obs,model_set,mcs75,mcs90,seed,pvals
NQ,GLOBEX,B0,30min,S-A,80551,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-B_q0.80,16110,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,884277221,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0004, ""M3_HARJ"": 0.002, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,30min,S-C_q0.80,16110,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B0,30min,S-B_q0.90,8055,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,483590025,"{""M1_EWMA"": 0.0, ""M4_HARQ"": 0.0014, ""M3_HARJ"": 0.0024, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B0,30min,S-C_q0.90,8055,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,HALTED,HALTED,-1,
NQ,GLOBEX,B1,1day,S-A,1448,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR|M3_HARJ|M4_HARQ,3337662334,"{""M6_PARK"": 0.0, ""M5_RGARCH"": 0.0, ""M6_GK"": 0.0, ""M1_EWMA"": 0.0, ""M4_HARQ"": 0.2662, ""M3_HARJ"": 0.2662, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-B_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,1967094566,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0156, ""M3_HARJ"": 0.0156, ""M6_PARK"": 0.0156, ""M6_GK"": 0.0156, ""M1_EWMA"": 0.0156, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-C_q0.80,290,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,2186999783,"{""M4_HARQ"": 0.0004, ""M3_HARJ"": 0.0004, ""M5_RGARCH"": 0.0004, ""M1_EWMA"": 0.0018, ""M6_PARK"": 0.0188, ""M6_GK"": 0.0188, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-B_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR,979901154,"{""M5_RGARCH"": 0.0, ""M4_HARQ"": 0.0645, ""M3_HARJ"": 0.0645, ""M6_PARK"": 0.0645, ""M1_EWMA"": 0.0645, ""M6_GK"": 0.0645, ""M2_HAR"": 1.0}"
NQ,GLOBEX,B1,1day,S-C_q0.90,145,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M5_RGARCH|M6_PARK|M6_GK,M2_HAR,M2_HAR|M6_PARK,1250553518,"{""M3_HARJ"": 0.0124, ""M4_HARQ"": 0.0124, ""M1_EWMA"": 0.0124, ""M5_RGARCH"": 0.0124, ""M6_GK"": 0.0807, ""M6_PARK"": 0.1197, ""M2_HAR"": 1.0}"
