cell,t,converged,om,beta,gamma,xi,phi,tau1,tau2,log_sigma_u,persistence
NQ/GLOBEX/B0/1h,24146,True,-0.15459467979661626,2.1537741763144284e-14,-0.91890987405494,0.006320348852900541,-3.0397270223425945,-0.0003167995406061141,0.4489226005444963,7.45390807389327,2.7932351752622524
NQ/GLOBEX/B0/1h,25532,True,-0.1562930310116889,2.1394201598135384e-14,-0.922100276795258,0.006465226316531027,-3.017769451560367,-0.00032333092849373506,0.4482408537838253,7.430786643333613,2.7826860465881094
NQ/GLOBEX/B0/1h,26918,True,-0.16042612429715766,2.0910624978224382e-14,-0.9244293255582591,0.006641978227584574,-3.001809256902197,-0.00032682929536148033,0.44709054214773575,7.409521345419612,2.7749605068126577
NQ/GLOBEX/B0/1h,28304,True,-0.16137329382020982,2.131119140679394e-14,-0.9206559984363314,0.006608717246566518,-3.0325777113112635,-0.00033393482283482234,0.435809029427557,7.475691308912049,2.7919608606430573
NQ/GLOBEX/B0/1h,29690,True,-0.1631390937364805,2.1660460059396943e-14,-0.9199240232639938,0.006497774578790591,-3.037325723020877,-0.00034211122569496026,0.43503400466441117,7.481392412375429,2.794108899084606
NQ/GLOBEX/B0/1h,31076,True,-0.1656866178665538,2.1748255014643102e-14,-0.920866143864242,0.0065945270173043925,-3.029950559061353,-0.0003444448219357744,0.4363266133570184,7.461564179052452,2.7901788874221545
NQ/GLOBEX/B0/1h,32462,True,-0.16746240874717816,2.198389328648186e-14,-0.9208510340512814,0.0065748657819211746,-3.0308602220450878,-0.00035016178092855423,0.4354592511055184,7.467530976648596,2.7909707695351376
NQ/GLOBEX/B0/1h,33848,True,-0.17134265184698422,2.1544574430645163e-14,-0.9236786788903726,0.006729207501807128,-3.0109446918316722,-0.00035431703066697063,0.43691421371607525,7.4498876151035756,2.781145415163081
NQ/GLOBEX/B0/1h,35234,True,-0.17180043076383125,2.1925236585614664e-14,-0.9233032030875614,0.006674489122467949,-3.016007251881282,-0.0003617015085670681,0.43284202135173855,7.478249926049729,2.7846891561973233
NQ/GLOBEX/B0/1h,36620,True,-0.17552990478822056,2.1539561973858947e-14,-0.9257197547832444,0.006835455275830439,-2.9993587173210963,-0.0003667829491395806,0.43407743182491854,7.461696438692771,2.7765656163054935
NQ/GLOBEX/B0/1h,38006,True,-0.17797026349224168,2.1652821500815078e-14,-0.925981848633646,0.00691069235507933,-2.997976684167602,-0.0003690122805399252,0.433315979574287,7.466839468682314,2.776071992166106
NQ/GLOBEX/B0/1h,39392,True,-0.18030891881806788,2.1822099688869065e-14,-0.9242928276675806,0.006919064308031724,-3.0108232078885893,-0.0003746993686067222,0.4299798932619455,7.491110018958192,2.782882296426542
NQ/GLOBEX/B0/1h,40778,True,-0.18216957233466674,2.2179887637504695e-14,-0.9222115577628335,0.0068678693679062475,-3.0260422570424033,-0.00038120691273869103,0.4271531955141046,7.513163207342243,2.7906511437232573
NQ/GLOBEX/B0/1h,42164,True,-0.18713815048315158,2.131678561383348e-14,-0.9232484015386344,0.007028602945765772,-3.013724277081314,-0.00037990012334644305,0.4499937578425435,7.498035515983001,2.782416121493521
NQ/GLOBEX/B0/30min,1090,True,1.6781714131377259,0.627877531695604,0.011539861125790675,2.847649965814872,15.787723503235956,0.5674809408520796,0.4499999999874638,7.570657125846324,0.8100656684153283
NQ/GLOBEX/B0/30min,3925,True,-12.928587916756317,1.7354011565334876e-12,-0.04144795619056487,60.424506394074896,22.93785821485952,-3.647580588989193,0.4499999999745455,11.328508579200285,-0.9507273423931506
NQ/GLOBEX/B0/30min,6760,True,-12.777926144682247,4.155136742285006e-11,-0.013174064867906102,-828.7173512576647,-64.68196758482327,-0.06782166171951844,-0.44999999997929363,5.546886992604412,0.8521244367878129
NQ/GLOBEX/B0/30min,9595,True,-12.809060644355014,2.267712663924566e-09,-0.00229850384391679,-4769.746852558241,-372.2062133049658,0.6160281956549198,0.05588539428997813,5.184848024805159,0.8555174142788893
NQ/GLOBEX/B0/30min,12430,True,-12.988723224678395,6.413880029675948e-07,-0.0004621955930902552,-24016.32582749029,-1848.836528263725,0.030246891642454837,0.061534583083399874,5.601456926305687,0.8545247370957837
NQ/GLOBEX/B0/30min,15265,True,-13.110963422735495,0.00017179017746266474,-0.00022038248461200453,-50958.72867002253,-3886.559633702738,0.050603849276260264,0.04046826468784463,5.406565623655538,0.8567014588455943
NQ/GLOBEX/B0/30min,18100,True,-13.187036381588864,8.95625346864528e-10,-0.00022235882172138308,-50800.743188045206,-3852.1553100294295,-0.004508320374660455,0.04266920033123607,5.461039853684726,0.8565607167215384
NQ/GLOBEX/B0/30min,20935,True,-13.27336186092042,5.765052668548897e-10,-0.00022389140030853533,-50785.73216074916,-3825.967378377298,0.024214343202622807,0.04312178821036726,5.650626547005384,0.8566011944561743
NQ/GLOBEX/B0/30min,23770,True,-13.140728612449726,7.653183656648923e-10,-0.0002243126461496852,-50182.224376585,-3818.6558443800814,-0.14390783086579642,0.027946930730942572,5.775121259999434,0.8565727979531749
NQ/GLOBEX/B0/30min,26605,True,-13.103518496328043,2.1464351347377534e-13,-0.00022034045086077305,-50200.8100958124,-3830.899771064762,-0.02631718625601656,0.005151230329094654,5.8572667932793685,0.8441021827590565
NQ/GLOBEX/B0/30min,29440,True,-13.085153561419729,8.890653597478675e-25,-0.00021938653402879364,-50490.10986983932,-3858.3904544396833,0.052656131156418054,0.02571354939854088,5.923269612480501,0.8464789087293041
NQ/GLOBEX/B0/30min,32275,True,-12.946523734915726,7.598373880378675e-22,-0.0001459704379922682,-76041.01454435242,-5873.289331964663,0.06311406908606473,0.05141802344975854,5.979911451659762,0.8573266162421981
NQ/GLOBEX/B0/30min,35110,True,-12.90357875748731,7.093611413654744e-20,-7.491622933703015e-05,-147336.71865383547,-11418.10117870471,0.07462236910376074,0.05097579338635502,6.076603825076351,0.8554010864972563
NQ/GLOBEX/B0/30min,37945,True,-12.91233645583402,3.500781936779225e-29,-7.486283981913833e-05,-147546.32657571964,-11426.58874243118,0.039625552816667124,0.05672727512578522,6.054098993563635,0.8554268827037947
