root,geom,group,n_days,intercept_EIV,omega2_N1,omega2_N2,NSR_N1,NSR_N2,signature_R2,mean_rv_coarsest,mean_rv_finest
NQ,GLOBEX,terc2,633,9.927329581694815e-05,3.2928379850103145e-09,3.885350545135376e-08,3.3169423437719235e-05,0.00039137922370378886,0.5480862502629034,9.452295621701533e-05,0.00010723567504573638
NQ,GLOBEX,terc3,634,0.0004157981897877441,-4.903241495006781e-10,1.503854376923384e-07,-1.179235892659797e-06,0.0003616789139200122,0.018093073577844176,0.00041970615151586214,0.000415063808030854
NQ,RTH,all,1901,0.00011413600089787174,1.9800242715552407e-09,1.469708643769286e-07,1.734793803864703e-05,0.0012876819164922147,0.14124090559167712,0.0001128848006549366,0.00011463727421400432
NQ,RTH,y2016,239,6.902686544086463e-05,-3.1728004882801513e-09,8.649029781389708e-08,-4.596471921498872e-05,0.0012529947182375446,0.2822786760666991,7.128358186199548e-05,6.746243229483972e-05
NQ,RTH,y2017,237,2.5088532776128476e-05,1.6048139404809017e-09,3.378851343551022e-08,6.396603399653041e-05,0.0013467712016885939,0.8962589437170692,2.5273341219509543e-05,2.6355040479697974e-05
NQ,RTH,y2018,236,0.00012710236396597314,5.989324044125058e-09,1.6828469978797518e-07,4.71220507411528e-05,0.0013240092043687484,0.533666115476398,0.0001263175738755559,0.00013126206583462065
NQ,RTH,y2019,237,5.665006766892539e-05,4.3145060817081397e-10,7.290757443932384e-08,7.616065186228899e-06,0.0012869812418479472,0.032378377918813483,5.734612909340848e-05,5.686790806267259e-05
NQ,RTH,y2020,239,0.0002203573516961718,1.786308560700193e-08,2.919163175864422e-07,8.106416903953134e-05,0.0013247405423030122,0.2726509470062136,0.00020984971697766242,0.0002276947277174249
NQ,RTH,y2021,239,8.512785517574936e-05,-6.871779804784794e-10,1.0756589840183314e-07,-8.072304641762407e-06,0.0012635805069886898,0.012717179352697894,8.241722567165363e-05,8.390140075342985e-05
NQ,RTH,y2022,238,0.00024149530337603796,-3.152615903827501e-09,3.046174628524108e-07,-1.3054564042260024e-05,0.0012613804848125095,0.11551253217254931,0.00024311327864370258,0.00023760162102488044
NQ,RTH,y2023,236,8.737315262353334e-05,-3.0867332760454313e-09,1.0908078070614602e-07,-3.53281664145199e-05,0.0012484473483078357,0.5294496671838753,8.666401894422479e-05,8.50830089507939e-05
NQ,RTH,terc1,634,2.1888263763163486e-05,8.407255046396027e-09,3.482424894471312e-08,0.00038409876349100315,0.0015910009730109361,0.5196075927139597,1.8457098535351627e-05,2.7162914176876233e-05
NQ,RTH,terc2,633,6.346785886607175e-05,6.441694608074699e-09,8.607311644447722e-08,0.00010149538243708202,0.0013561685864668367,0.33728926441147133,5.947204158700081e-05,6.713703082669224e-05
NQ,RTH,terc3,634,0.0002569719618592825,-8.901839504889386e-09,3.199191745114181e-07,-3.4641287090161305e-05,0.001244957512861288,0.45968776351271423,0.000260641014588407,0.0002495369561189061
